measurementSiteReference,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,LocationTableNumber,LocationTableVersion,specificLocation,offsetDistance,LOC_TYPE,LOC_DES,trafficID
RWS01_MONIBAS_0021hrr0369ra,A2 southBound naar Utrecht op knppnt Holendrecht ri afrit 2 thv hmp 37.0,52.2819,4.95132,negative,A2,5.11,A,8006,2170,P1.1,Knooppunt,126
RWS01_MONIBAS_0021hrr0375ra,A2 southBound naar Utrecht op knppnt Holendrecht ri afrit 2 thv hmp 37.5,52.2773,4.95468,negative,A2,5.11,A,8006,2740,P1.1,Knooppunt,127
RWS01_MONIBAS_0021hrr0381ra,A2 southBound naar Utrecht op knppnt Holendrecht ri afrit 2 thv hmp 38.1,52.2724,4.95809,negative,A2,5.11,A,8006,3331,P1.1,Knooppunt,128
RWS01_MONIBAS_0021hrr0387ra,A2 southBound naar Utrecht op knppnt Holendrecht ri afrit 2 thv hmp 38.7,52.2672,4.96064,negative,A2,5.11,A,8006,3932,P1.1,Knooppunt,129
RWS01_MONICA_10D00205901E60200307,"A2 southBound naar Utrecht op knppnt Holendrecht ri afrit 2 thv hmp 35.6, rstr 1",52.2923,4.942,negative,A2,5.11,A,8006,830,P1.1,Knooppunt,130
RWS01_MONICA_10D00205F400D0070017,"A2 southBound naar Utrecht op knppnt Holendrecht ri afrit 2 thv hmp 38.1, rstr 5",52.2726,4.95794,negative,A2,5.11,A,8006,3300,P1.1,Knooppunt,131
RWS01_MONICA_10D002060C00D0070013,"A2 southBound naar Utrecht op knppnt Holendrecht ri afrit 2 thv hmp 38.7, rstr 4",52.2674,4.96049,negative,A2,5.11,A,8006,3900,P1.1,Knooppunt,132
RWS01_MONIBAS_0021hrr0331ra,A2 southBound naar Utrecht na afrit 1 ri knppnt Holendrecht thv hmp 33.1,52.3121,4.92363,negative,A2,5.11,A,8009,105,P1.3,Afrit,133
RWS01_MONIBAS_0021hrr0335ra,A2 southBound naar Utrecht na afrit 1 ri knppnt Holendrecht thv hmp 33.6,52.3086,4.9273,negative,A2,5.11,A,8009,565,P1.3,Afrit,134
RWS01_MONIBAS_0021hrr0340ra,A2 southBound naar Utrecht na afrit 1 ri knppnt Holendrecht thv hmp 34.0,52.3053,4.93073,negative,A2,5.11,A,8009,1000,P1.3,Afrit,135
RWS01_MONIBAS_0021hrr0343ra,A2 southBound naar Utrecht na afrit 1 ri knppnt Holendrecht thv hmp 34.3,52.303,4.9331,negative,A2,5.11,A,8009,1300,P1.3,Afrit,136
GEO02_R_RWSTI4468,A2 naar Utrecht op knppnt Amstel ri afrit 1 thv hmp 31.8,52.3224,4.91495,negative,A2,5.11,A,8012,903,P1.1,Knooppunt,137
RWS01_MONIBAS_0021hrr0310ra,A2 southBound naar Utrecht op knppnt Amstel ri afrit 1 thv hmp 31.1,52.3286,4.9131,negative,A2,5.11,A,8012,190,P1.1,Knooppunt,138
RWS01_MONIBAS_0021hrr0313ra,A2 southBound naar Utrecht op knppnt Amstel ri afrit 1 thv hmp 31.3,52.3266,4.91343,negative,A2,5.11,A,8012,415,P1.1,Knooppunt,139
RWS01_MONIBAS_0021hrr0318ra,A2 southBound naar Utrecht op knppnt Amstel ri afrit 1 thv hmp 31.8,52.3223,4.91443,negative,A2,5.11,A,8012,900,P1.1,Knooppunt,140
RWS01_MONIBAS_0021hrr0323ra,A2 southBound naar Utrecht op knppnt Amstel ri afrit 1 thv hmp 32.3,52.3181,4.91717,negative,A2,5.11,A,8012,1400,P1.1,Knooppunt,141
RWS01_MONIBAS_0021hrr0326ra,A2 southBound naar Utrecht op knppnt Amstel ri afrit 1 thv hmp 32.6,52.3158,4.91954,negative,A2,5.11,A,8012,1700,P1.1,Knooppunt,142
RWS01_MONIBAS_0021hrr0329ra,A2 southBound naar Utrecht op knppnt Amstel ri afrit 1 thv hmp 32.9,52.3136,4.92196,negative,A2,5.11,A,8012,2000,P1.1,Knooppunt,143
RWS01_MONIBAS_0021hrr0308ra,A2 southBound naar Utrecht na afrit s110 ri knppnt Amstel thv hmp 30.9,52.3307,4.91276,negative,A2,5.11,A,8016,755,P1.3,Afrit,144
RWS01_MONIBAS_0041hrr0112ra,A4 southBound naar Den Haag na afrit 3 ri afrit 3a thv hmp 11.3,52.2853,4.72226,negative,A4,5.11,A,9225,286,P1.3,Afrit,145
RWS01_MONIBAS_0041hrr0118ra,A4 southBound naar Den Haag na afrit 3 ri afrit 3a thv hmp 11.9,52.2812,4.7165,negative,A4,5.11,A,9225,880,P1.3,Afrit,146
RWS01_MONIBAS_0041hrr0121ra,A4 southBound naar Den Haag na afrit 3 ri afrit 3a thv hmp 12.2,52.2791,4.71345,negative,A4,5.11,A,9225,1195,P1.3,Afrit,147
RWS01_MONIBAS_0041hrr0125ra,A4 southBound naar Den Haag na afrit 3 ri afrit 3a thv hmp 12.6,52.2765,4.70972,negative,A4,5.11,A,9225,1580,P1.3,Afrit,148
RWS01_MONIBAS_0041hrr0090ra,A4 southBound naar Den Haag na afrit 2 ri knppnt De Hoek thv hmp 9.0,52.3011,4.74325,negative,A4,5.11,A,9226,200,P3.47,Viaduct,149
RWS01_MONIBAS_0041hrr0092ra,A4 southBound naar Den Haag na afrit 2 ri knppnt De Hoek thv hmp 9.3,52.2991,4.74154,negative,A4,5.11,A,9226,459,P3.47,Viaduct,150
RWS01_MONIBAS_0041hrr0096ra,A4 southBound naar Den Haag na afrit 2 ri knppnt De Hoek thv hmp 9.6,52.2965,4.73839,negative,A4,5.11,A,9226,817,P3.47,Viaduct,151
RWS01_MONIBAS_0041hrr0063ra,A4 southBound naar Den Haag na afrit 2 ri knppnt De Hoek thv hmp 6.4,52.322,4.76066,negative,A4,5.11,A,9227,269,P1.3,Afrit,152
RWS01_MONIBAS_0041hrr0066ra,A4 southBound naar Den Haag na afrit 2 ri knppnt De Hoek thv hmp 6.6,52.3207,4.75797,negative,A4,5.11,A,9227,500,P1.3,Afrit,153
RWS01_MONIBAS_0041hrr0069ra,A4 southBound naar Den Haag op knppnt Badhoevedorp ri afrit 2 thv hmp 6.9,52.3187,4.75495,negative,A4,5.11,A,9228,2,P3.1,Tunnel,154
RWS01_MONIBAS_0041hrr0070ra,A4 southBound naar Den Haag op knppnt Badhoevedorp ri afrit 2 thv hmp 7.1,52.3174,4.75352,negative,A4,5.11,A,9228,172,P3.1,Tunnel,155
RWS01_MONIBAS_0041hrr0071ra,A4 southBound naar Den Haag op knppnt Badhoevedorp ri afrit 2 thv hmp 7.2,52.3167,4.75293,negative,A4,5.11,A,9228,255,P3.1,Tunnel,156
RWS01_MONIBAS_0041hrr0073ra,A4 southBound naar Den Haag op knppnt Badhoevedorp ri afrit 2 thv hmp 7.3,52.3155,4.75198,negative,A4,5.11,A,9228,404,P3.1,Tunnel,157
RWS01_MONIBAS_0041hrr0074ra,A4 southBound naar Den Haag op knppnt Badhoevedorp ri afrit 2 thv hmp 7.4,52.3143,4.7512,negative,A4,5.11,A,9228,545,P3.1,Tunnel,158
RWS01_MONIBAS_0041hrr0077ra,A4 southBound naar Den Haag op knppnt Badhoevedorp ri afrit 2 thv hmp 7.8,52.3116,4.74951,negative,A4,5.11,A,9228,862,P3.1,Tunnel,159
RWS01_MONIBAS_0041hrr0081ra,A4 southBound naar Den Haag op knppnt Badhoevedorp ri afrit 2 thv hmp 8.1,52.3083,4.74781,negative,A4,5.11,A,9228,1240,P3.1,Tunnel,160
RWS01_MONIBAS_0041hrr0084ra,A4 southBound naar Den Haag op knppnt Badhoevedorp ri afrit 2 thv hmp 8.4,52.3062,4.74641,negative,A4,5.11,A,9228,1500,P3.1,Tunnel,161
RWS01_MONIBAS_0041hrr0087ra,A4 southBound naar Den Haag op knppnt Badhoevedorp ri afrit 2 thv hmp 8.7,52.3036,4.74479,negative,A4,5.11,A,9228,1809,P3.1,Tunnel,162
RWS01_MONIBAS_0041hrr0034ra,A4 southBound naar Den Haag op knppnt Badhoevedorp ri afrit 2 thv hmp 3.4,52.3317,4.80022,negative,A4,5.11,A,9231,5,P1.1,Knooppunt,163
RWS01_MONIBAS_0041hrr0037ra,A4 southBound naar Den Haag op knppnt Badhoevedorp ri afrit 2 thv hmp 3.7,52.3299,4.79712,negative,A4,5.11,A,9231,300,P1.1,Knooppunt,164
RWS01_MONIBAS_0041hrr0044ra,A4 southBound naar Den Haag op knppnt Badhoevedorp ri afrit 2 thv hmp 4.5,52.3269,4.78742,negative,A4,5.11,A,9231,1055,P1.1,Knooppunt,165
RWS01_MONIBAS_0041hrr0047ra,A4 southBound naar Den Haag op knppnt Badhoevedorp ri afrit 2 thv hmp 4.8,52.3261,4.78288,negative,A4,5.11,A,9231,1380,P1.1,Knooppunt,166
RWS01_MONIBAS_0041hrr0052ra,A4 southBound naar Den Haag op knppnt Badhoevedorp ri afrit 2 thv hmp 5.2,52.3252,4.77674,negative,A4,5.11,A,9231,1810,P1.1,Knooppunt,167
RWS01_MONIBAS_0041hrr0059ra,A4 southBound naar Den Haag op knppnt Badhoevedorp ri afrit 2 thv hmp 5.9,52.3238,4.76643,negative,A4,5.11,A,9231,2529,P1.1,Knooppunt,168
RWS01_MONIBAS_0041hrr0018ra,A4 southBound naar Den Haag na afrit 1 ri knppnt Badhoevedorp thv hmp 1.8,52.3388,4.82007,negative,A4,5.11,A,9234,1,P1.3,Afrit,169
RWS01_MONIBAS_0041hrr0020ra,A4 southBound naar Den Haag na afrit 1 ri knppnt Badhoevedorp thv hmp 2.1,52.3387,4.81615,negative,A4,5.11,A,9234,260,P1.3,Afrit,170
RWS01_MONIBAS_0041hrr0023ra,A4 southBound naar Den Haag na afrit 1 ri knppnt Badhoevedorp thv hmp 2.4,52.3379,4.81163,negative,A4,5.11,A,9234,572,P1.3,Afrit,171
RWS01_MONIBAS_0041hrr0027ra,A4 southBound naar Den Haag na afrit 1 ri knppnt Badhoevedorp thv hmp 2.7,52.3361,4.80752,negative,A4,5.11,A,9234,901,P1.3,Afrit,172
RWS01_MONIBAS_0041hrr0030ra,A4 southBound naar Den Haag na afrit 1 ri knppnt Badhoevedorp thv hmp 3.0,52.3341,4.80429,negative,A4,5.11,A,9234,1214,P1.3,Afrit,173
GEO02_R_RWSTI4352,A4 naar Den Haag op knppnt De Nieuwe Meer ri afrit 1 thv hmp 1.2,52.339,4.82655,negative,A4,5.11,A,9237,1203,P1.2,Knooppunt (triangle),174
RWS01_MONIBAS_0041hrr0002ra,A4 southBound naar Den Haag op knppnt De Nieuwe Meer ri afrit 1 thv hmp 0.3,52.3385,4.84191,negative,A4,5.11,A,9237,275,P1.2,Knooppunt (triangle),175
RWS01_MONIBAS_0041hrr0005ra,A4 southBound naar Den Haag op knppnt De Nieuwe Meer ri afrit 1 thv hmp 0.5,52.3389,4.8386,negative,A4,5.11,A,9237,515,P1.2,Knooppunt (triangle),176
RWS01_MONIBAS_0041hrr0010ra,A4 southBound naar Den Haag op knppnt De Nieuwe Meer ri afrit 1 thv hmp 1.1,52.3389,4.8309,negative,A4,5.11,A,9237,1060,P1.2,Knooppunt (triangle),177
RWS01_MONIBAS_0041hrr0015ra,A4 southBound naar Den Haag op knppnt De Nieuwe Meer ri afrit 1 thv hmp 1.6,52.3389,4.82371,negative,A4,5.11,A,9237,1560,P1.2,Knooppunt (triangle),178
RWS01_MONIBAS_0041hrr0099ra,A4 southBound naar Den Haag op knppnt De Hoek ri afrit 3 thv hmp 9.9,52.2946,4.73566,negative,A4,5.11,A,9240,0,P1.2,Knooppunt (triangle),179
RWS01_MONIBAS_0041hrr0101ra,A4 southBound naar Den Haag op knppnt De Hoek ri afrit 3 thv hmp 10.2,52.2928,4.73316,negative,A4,5.11,A,9240,260,P1.2,Knooppunt (triangle),180
RWS01_MONIBAS_0041hrr0105ra,A4 southBound naar Den Haag op knppnt De Hoek ri afrit 3 thv hmp 10.5,52.2905,4.72989,negative,A4,5.11,A,9240,600,P1.2,Knooppunt (triangle),181
RWS01_MONIBAS_0041hrr0107ra,A4 southBound naar Den Haag op knppnt De Hoek ri afrit 3 thv hmp 10.8,52.2888,4.72738,negative,A4,5.11,A,9240,860,P1.2,Knooppunt (triangle),182
RWS01_MONIBAS_0081hrr0049ra,A8 westBound naar Zaandam op knppnt Zaandam ri afrit 2 thv hmp 4.9,52.4521,4.84551,negative,A8,5.11,A,10545,100,P1.1,Knooppunt,183
RWS01_MONIBAS_0081hrr0021ra,A8 westBound naar Zaandam na afrit 1 ri knppnt Zaandam thv hmp 2.1,52.4317,4.86852,negative,A8,5.11,A,10549,135,P1.3,Afrit,184
RWS01_MONIBAS_0081hrr0026ra,A8 westBound naar Zaandam na afrit 1 ri knppnt Zaandam thv hmp 2.6,52.4352,4.86453,negative,A8,5.11,A,10549,605,P1.3,Afrit,185
RWS01_MONIBAS_0081hrr0029ra,A8 westBound naar Zaandam na afrit 1 ri knppnt Zaandam thv hmp 2.9,52.4376,4.8618,negative,A8,5.11,A,10549,935,P1.3,Afrit,186
RWS01_MONIBAS_0081hrr0032ra,A8 westBound naar Zaandam na afrit 1 ri knppnt Zaandam thv hmp 3.2,52.4399,4.85921,negative,A8,5.11,A,10549,1245,P1.3,Afrit,187
RWS01_MONIBAS_0081hrr0036ra,A8 westBound naar Zaandam na afrit 1 ri knppnt Zaandam thv hmp 3.7,52.443,4.85571,negative,A8,5.11,A,10549,1665,P1.3,Afrit,188
RWS01_MONIBAS_0081hrr0042ra,A8 westBound naar Zaandam na afrit 1 ri knppnt Zaandam thv hmp 4.3,52.4475,4.85064,negative,A8,5.11,A,10549,2275,P1.3,Afrit,189
RWS01_MONIBAS_0081hrr0046ra,A8 westBound naar Zaandam na afrit 1 ri knppnt Zaandam thv hmp 4.7,52.4507,4.84716,negative,A8,5.11,A,10549,2695,P1.3,Afrit,190
RWS01_MONIBAS_0081hrr0008ra,A8 westBound naar Zaandam op knppnt Coenplein ri afrit 1 thv hmp 0.8,52.4221,4.87501,negative,A8,5.11,A,10552,340,P1.2,Knooppunt (triangle),191
RWS01_MONIBAS_0081hrr0013ra,A8 westBound naar Zaandam op knppnt Coenplein ri afrit 1 thv hmp 1.3,52.426,4.87581,negative,A8,5.11,A,10552,815,P1.2,Knooppunt (triangle),192
RWS01_MONIBAS_0081hrr0019ra,A8 westBound naar Zaandam op knppnt Coenplein ri afrit 1 thv hmp 1.9,52.43,4.87043,negative,A8,5.11,A,10552,1405,P1.2,Knooppunt (triangle),193
RWS01_MONIBAS_0091hrl0043ra,A9 southBound naar Diemen op knppnt Diemen thv hmp 4.3,52.3342,4.99887,negative,A9,5.11,A,10560,1560,P1.2,Knooppunt (triangle),194
RWS01_MONIBAS_0091hrl0050ra,A9 southBound naar Diemen op knppnt Diemen thv hmp 5.0,52.3325,5.00514,negative,A9,5.11,A,10560,880,P1.2,Knooppunt (triangle),195
RWS01_MONIBAS_0091hrl0054ra,A9 southBound naar Diemen op knppnt Diemen thv hmp 5.5,52.3284,5.00568,negative,A9,5.11,A,10560,422,P1.2,Knooppunt (triangle),196
RWS01_MONIBAS_0091hrl0059ra,A9 southBound naar Diemen na afrit 1 ri knppnt Diemen thv hmp 6.0,52.3243,5.00488,negative,A9,5.11,A,10563,1850,P1.3,Afrit,197
RWS01_MONIBAS_0091hrl0062ra,A9 southBound naar Diemen na afrit 1 ri knppnt Diemen thv hmp 6.3,52.3216,5.0029,negative,A9,5.11,A,10563,1522,P1.3,Afrit,198
RWS01_MONIBAS_0091hrl0066ra,A9 southBound naar Diemen na afrit 1 ri knppnt Diemen thv hmp 6.6,52.3192,4.99986,negative,A9,5.11,A,10563,1190,P1.3,Afrit,199
RWS01_MONIBAS_0091hrl0071ra,A9 southBound naar Diemen na afrit 1 ri knppnt Diemen thv hmp 7.2,52.316,4.99387,negative,A9,5.11,A,10563,650,P1.3,Afrit,200
RWS01_MONIBAS_0091hrl0075ra,A9 southBound naar Diemen na afrit 1 ri knppnt Diemen thv hmp 7.6,52.314,4.98905,negative,A9,5.11,A,10563,250,P1.3,Afrit,201
RWS01_MONIBAS_0091hrl0079ra,A9 southBound naar Diemen na afrit 2 ri afrit 1 thv hmp 7.9,52.3124,4.98458,negative,A9,5.11,A,10564,1500,P1.3,Afrit,202
RWS01_MONIBAS_0091hrl0084ra,A9 southBound naar Diemen na afrit 2 ri afrit 1 thv hmp 8.4,52.3101,4.97794,negative,A9,5.11,A,10564,985,P1.3,Afrit,203
RWS01_MONIBAS_0091hrl0089ra,A9 southBound naar Diemen na afrit 2 ri afrit 1 thv hmp 9.0,52.3077,4.97081,negative,A9,5.11,A,10564,430,P1.3,Afrit,204
RWS01_MONIBAS_0091hrl0098ra,A9 southBound naar Diemen na afrit 3 ri afrit 2 thv hmp 9.9,52.3038,4.95942,negative,A9,5.11,A,10565,940,P1.3,Afrit,205
RWS01_MONIBAS_0091hrl0109ra,A9 southBound naar Diemen op knppnt Holendrecht ri afrit 3 thv hmp 11.0,52.2989,4.9452,negative,A9,5.11,A,10568,2720,P1.1,Knooppunt,206
GEO02_R_RWSTI4324,A9 naar Diemen na afrit 4 ri afrit 2 thv hmp 24.2,52.2881,4.91733,negative,A9,5.11,A,10572,4400,P1.3,Afrit,207
GEO02_R_RWSTI4327,A9 naar Diemen na afrit 4 ri afrit 2 thv hmp 27.3,52.2971,4.87495,negative,A9,5.11,A,10572,1350,P1.3,Afrit,208
RWS01_MONIBAS_0091hrl0227ra,A9 southBound naar Diemen na afrit 4 ri afrit 2 thv hmp 22.7,52.286,4.93854,negative,A9,5.11,A,10572,5900,P1.3,Afrit,209
RWS01_MONIBAS_0091hrl0230ra,A9 southBound naar Diemen na afrit 4 ri afrit 2 thv hmp 23.0,52.2861,4.93402,negative,A9,5.11,A,10572,5590,P1.3,Afrit,210
RWS01_MONIBAS_0091hrl0233ra,A9 southBound naar Diemen na afrit 4 ri afrit 2 thv hmp 23.3,52.2864,4.92979,negative,A9,5.11,A,10572,5300,P1.3,Afrit,211
RWS01_MONIBAS_0091hrl0235ra,A9 southBound naar Diemen na afrit 4 ri afrit 2 thv hmp 23.5,52.2867,4.92689,negative,A9,5.11,A,10572,5100,P1.3,Afrit,212
RWS01_MONIBAS_0091hrl0241ra,A9 southBound naar Diemen na afrit 4 ri afrit 2 thv hmp 24.1,52.2878,4.91787,negative,A9,5.11,A,10572,4470,P1.3,Afrit,213
RWS01_MONIBAS_0091hrl0247ra,A9 southBound naar Diemen na afrit 4 ri afrit 2 thv hmp 24.8,52.2895,4.90922,negative,A9,5.11,A,10572,3850,P1.3,Afrit,214
RWS01_MONIBAS_0091hrl0253ra,A9 southBound naar Diemen na afrit 4 ri afrit 2 thv hmp 25.4,52.2916,4.90095,negative,A9,5.11,A,10572,3240,P1.3,Afrit,215
RWS01_MONIBAS_0091hrl0259ra,A9 southBound naar Diemen na afrit 4 ri afrit 2 thv hmp 26.0,52.294,4.89312,negative,A9,5.11,A,10572,2640,P1.3,Afrit,216
RWS01_MONIBAS_0091hrl0262ra,A9 southBound naar Diemen na afrit 4 ri afrit 2 thv hmp 26.3,52.2952,4.88856,negative,A9,5.11,A,10572,2305,P1.3,Afrit,217
RWS01_MONIBAS_0091hrl0267ra,A9 southBound naar Diemen na afrit 4 ri afrit 2 thv hmp 26.7,52.2962,4.88222,negative,A9,5.11,A,10572,1860,P1.3,Afrit,218
RWS01_MONIBAS_0091hrl0272ra,A9 southBound naar Diemen na afrit 4 ri afrit 2 thv hmp 27.3,52.2972,4.87467,negative,A9,5.11,A,10572,1330,P1.3,Afrit,219
RWS01_MONIBAS_0091hrl0278ra,A9 southBound naar Diemen na afrit 4 ri afrit 2 thv hmp 27.8,52.2989,4.86682,negative,A9,5.11,A,10572,760,P1.3,Afrit,220
RWS01_MONIBAS_0091hrl0280ra,A9 southBound naar Diemen na afrit 4 ri afrit 2 thv hmp 28.0,52.2995,4.86424,negative,A9,5.11,A,10572,570,P1.3,Afrit,221
RWS01_MONIBAS_0091hrl0282ra,A9 southBound naar Diemen na afrit 4 ri afrit 2 thv hmp 28.3,52.3002,4.86127,negative,A9,5.11,A,10572,350,P1.3,Afrit,222
RWS01_MONIBAS_0091hrl0287ra,A9 southBound naar Amstelveen na afrit 5 ri afrit 4 thv hmp 28.7,52.3017,4.8551,negative,A9,5.11,A,10573,200,P1.3,Afrit,223
GEO02_PNHTI542,A9 naar Amstelveen na afrit 6 ri afrit 5 thv hmp 30.4,52.3063,4.83181,negative,A9,5.11,A,10575,1400,P3.2,Brug,224
RWS01_MONIBAS_0091hrl0291ra,A9 southBound naar Amstelveen na afrit 6 ri afrit 5 thv hmp 29.2,52.3036,4.8493,negative,A9,5.11,A,10575,2650,P3.2,Brug,225
RWS01_MONIBAS_0091hrl0297ra,A9 southBound naar Amstelveen na afrit 6 ri afrit 5 thv hmp 29.7,52.3048,4.84153,negative,A9,5.11,A,10575,2100,P3.2,Brug,226
RWS01_MONIBAS_0091hrl0302ra,A9 southBound naar Amstelveen na afrit 6 ri afrit 5 thv hmp 30.3,52.3062,4.83315,negative,A9,5.11,A,10575,1530,P3.2,Brug,227
RWS01_MONIBAS_0091hrl0307ra,A9 southBound naar Amstelveen na afrit 6 ri afrit 5 thv hmp 30.7,52.3076,4.82705,negative,A9,5.11,A,10575,1071,P3.2,Brug,228
RWS01_MONIBAS_0091hrl0313ra,A9 southBound naar Amstelveen na afrit 6 ri afrit 5 thv hmp 31.4,52.3105,4.8193,negative,A9,5.11,A,10575,450,P3.2,Brug,229
RWS01_MONIBAS_0091hrl0318ra,A9 southBound naar Amstelveen na afrit 6 ri afrit 5 thv hmp 31.8,52.3137,4.81412,negative,A9,5.11,A,10576,751,P1.3,Afrit,230
RWS01_MONIBAS_0091hrl0322ra,A9 southBound naar Amstelveen na afrit 6 ri afrit 5 thv hmp 32.2,52.3164,4.8109,negative,A9,5.11,A,10576,376,P1.3,Afrit,231
RWS01_MONIBAS_0091hrl0326ra,A9 southBound naar Amstelveen op knppnt Badhoevedorp ri afrit 6 thv hmp 32.7,52.3197,4.80791,negative,A9,5.11,A,10579,2050,P1.1,Knooppunt,232
RWS01_MONIBAS_0091hrl0328ra,A9 southBound naar Amstelveen op knppnt Badhoevedorp ri afrit 6 thv hmp 32.8,52.3211,4.80667,negative,A9,5.11,A,10579,1875,P1.1,Knooppunt,233
RWS01_MONIBAS_0091hrl0330ra,A9 southBound naar Amstelveen op knppnt Badhoevedorp ri afrit 6 thv hmp 33.1,52.3228,4.80473,negative,A9,5.11,A,10579,1640,P1.1,Knooppunt,234
RWS01_MONIBAS_0091hrl0340ra,A9 southBound naar Amstelveen op knppnt Badhoevedorp ri afrit 6 thv hmp 34.1,52.3292,4.79406,negative,A9,5.11,A,10579,625,P1.1,Knooppunt,235
RWS01_MONIBAS_0091hrl0343ra,A9 southBound naar Amstelveen op knppnt Badhoevedorp ri afrit 6 thv hmp 34.4,52.3311,4.79047,negative,A9,5.11,A,10579,305,P1.1,Knooppunt,236
RWS01_MONIBAS_0091hrl0346ra,A9 southBound naar Amstelveen op knppnt Badhoevedorp ri afrit 6 thv hmp 34.6,52.3325,4.78786,negative,A9,5.11,A,10579,70,P1.1,Knooppunt,237
RWS01_MONIBAS_0091hrl0350ra,A9 southBound naar Amstelveen na afrit 7 ri knppnt Badhoevedorp thv hmp 35.0,52.3347,4.78358,negative,A9,5.11,A,10582,1885,P1.3,Afrit,238
RWS01_MONIBAS_0091hrl0353ra,A9 southBound naar Amstelveen na afrit 7 ri knppnt Badhoevedorp thv hmp 35.3,52.3364,4.78044,negative,A9,5.11,A,10582,1600,P1.3,Afrit,239
RWS01_MONIBAS_0091hrl0356ra,A9 southBound naar Amstelveen na afrit 7 ri knppnt Badhoevedorp thv hmp 35.6,52.3384,4.77667,negative,A9,5.11,A,10582,1260,P1.3,Afrit,240
RWS01_MONIBAS_0091hrl0362ra,A9 southBound naar Amstelveen na afrit 7 ri knppnt Badhoevedorp thv hmp 36.2,52.3414,4.77008,negative,A9,5.11,A,10582,700,P1.3,Afrit,241
RWS01_MONIBAS_0091hrl0367ra,A9 southBound naar Amstelveen na afrit 7 ri knppnt Badhoevedorp thv hmp 36.7,52.3441,4.76421,negative,A9,5.11,A,10582,200,P1.3,Afrit,242
RWS01_MONIBAS_0091hrl0402ra,A9 southBound naar Amstelveen na afrit N205/A205 ri knppnt Raasdorp thv hmp 40.2,52.3647,4.7254,negative,A9,5.11,A,10583,1700,P1.3,Afrit,243
RWS01_MONIBAS_0091hrl0405ra,A9 southBound naar Amstelveen na afrit N205/A205 ri knppnt Raasdorp thv hmp 40.5,52.3666,4.72183,negative,A9,5.11,A,10583,1374,P1.3,Afrit,244
RWS01_MONIBAS_0091hrl0409ra,A9 southBound naar Amstelveen na afrit N205/A205 ri knppnt Raasdorp thv hmp 40.9,52.3689,4.71761,negative,A9,5.11,A,10583,990,P1.3,Afrit,245
RWS01_MONIBAS_0091hrl0411ra,A9 southBound naar Amstelveen na afrit N205/A205 ri knppnt Raasdorp thv hmp 41.1,52.37,4.71534,negative,A9,5.11,A,10583,785,P1.3,Afrit,246
RWS01_MONIBAS_0091hrl0414ra,A9 southBound naar Amstelveen na afrit N205/A205 ri knppnt Raasdorp thv hmp 41.4,52.3718,4.71218,negative,A9,5.11,A,10583,499,P1.3,Afrit,247
RWS01_MONIBAS_0091hrl0418ra,A9 southBound naar Amstelveen na afrit N205/A205 ri knppnt Raasdorp thv hmp 41.9,52.3755,4.70877,negative,A9,5.11,A,10583,18,P1.3,Afrit,248
RWS01_MONIBAS_0091hrl0420ra,A9 southBound naar Amstelveen op knppnt Rottepolderplein ri afrit Haarlem-Zuid thv hmp 42.1,52.3773,4.70844,negative,A9,5.11,A,10586,1410,P1.1,Knooppunt,249
RWS01_MONIBAS_0091hrl0425ra,A9 southBound naar Amstelveen op knppnt Rottepolderplein ri afrit Haarlem-Zuid thv hmp 42.5,52.3811,4.70788,negative,A9,5.11,A,10586,990,P1.1,Knooppunt,250
RWS01_MONIBAS_0091hrl0429ra,A9 southBound naar Amstelveen op knppnt Rottepolderplein ri afrit Haarlem-Zuid thv hmp 43.0,52.3854,4.70716,negative,A9,5.11,A,10586,509,P1.1,Knooppunt,251
RWS01_MONIBAS_0091hrl0433ra,A9 southBound naar Amstelveen op knppnt Rottepolderplein ri afrit Haarlem-Zuid thv hmp 43.3,52.3883,4.70671,negative,A9,5.11,A,10586,188,P1.1,Knooppunt,252
RWS01_MONIBAS_0091hrl0437ra,A9 southBound naar Amstelveen op knppnt Velsen ri knppnt Rottepolderplein thv hmp 43.7,52.392,4.70614,negative,A9,5.11,A,10589,3365,P3.2,Brug,253
RWS01_MONIBAS_0091hrl0443ra,A9 southBound naar Amstelveen op knppnt Velsen ri knppnt Rottepolderplein thv hmp 44.3,52.3974,4.70526,negative,A9,5.11,A,10589,2762,P3.2,Brug,254
RWS01_MONIBAS_0091hrl0448ra,A9 southBound naar Amstelveen op knppnt Velsen ri knppnt Rottepolderplein thv hmp 44.8,52.402,4.70449,negative,A9,5.11,A,10589,2251,P3.2,Brug,255
RWS01_MONIBAS_0091hrl0453ra,A9 southBound naar Amstelveen op knppnt Velsen ri knppnt Rottepolderplein thv hmp 45.3,52.4059,4.70303,negative,A9,5.11,A,10589,1800,P3.2,Brug,256
RWS01_MONIBAS_0091hrl0456ra,A9 southBound naar Amstelveen op knppnt Velsen ri knppnt Rottepolderplein thv hmp 45.6,52.4085,4.70167,negative,A9,5.11,A,10589,1500,P3.2,Brug,257
RWS01_MONIBAS_0091hrl0458ra,A9 southBound naar Amstelveen op knppnt Velsen ri knppnt Rottepolderplein thv hmp 45.9,52.4111,4.70032,negative,A9,5.11,A,10589,1201,P3.2,Brug,258
