measurementSiteReference,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,LocationTableNumber,LocationTableVersion,specificLocation,offsetDistance,LOC_TYPE,LOC_DES,trafficID
RWS01_MONIBAS_0011hrl0094ra,A1 westBound naar Amsterdam na afrit 3 ri knppnt Diemen thv hmp 9.5,52.3324,5.02555,negative,A1,5.11,A,7009,2012,P1.3,Afrit,18
RWS01_MONIBAS_0011hrl0098ra,A1 westBound naar Amsterdam na afrit 3 ri knppnt Diemen thv hmp 9.8,52.3323,5.03061,negative,A1,5.11,A,7009,1675,P1.3,Afrit,19
RWS01_MONIBAS_0011hrl0101ra,A1 westBound naar Amsterdam na afrit 3 ri knppnt Diemen thv hmp 10.1,52.3323,5.035,negative,A1,5.11,A,7009,1378,P1.3,Afrit,20
RWS01_MONIBAS_0011hrl0107ra,A1 westBound naar Amsterdam na afrit 3 ri knppnt Diemen thv hmp 10.7,52.3322,5.04359,negative,A1,5.11,A,7009,796,P1.3,Afrit,21
RWS01_MONIBAS_0011hrl0112ra,A1 westBound naar Amsterdam na afrit 3 ri knppnt Diemen thv hmp 11.2,52.3311,5.0508,negative,A1,5.11,A,7009,286,P1.3,Afrit,22
GEO02_R_RWSTI4102,A1 naar Amsterdam na afrit 4 ri afrit 3 thv hmp 12.0,52.328,5.06081,negative,A1,5.11,A,7010,420,P3.2,Brug,23
RWS01_MONIBAS_0011hrl0117ra,A1 westBound naar Amsterdam na afrit 4 ri afrit 3 thv hmp 11.7,52.3289,5.05766,negative,A1,5.11,A,7010,668,P3.2,Brug,24
RWS01_MONIBAS_0011hrl0119ra,A1 westBound naar Amsterdam na afrit 4 ri afrit 3 thv hmp 12.0,52.3278,5.06105,negative,A1,5.11,A,7010,410,P3.2,Brug,25
RWS01_MONIBAS_0011hrl0124ra,A1 westBound naar Amsterdam na afrit 4 ri afrit 3 thv hmp 12.4,52.3261,5.06644,negative,A1,5.11,A,7011,1788,P1.3,Afrit,26
RWS01_MONIBAS_0011hrl0126ra,A1 westBound naar Amsterdam na afrit 4 ri afrit 3 thv hmp 12.6,52.3253,5.06934,negative,A1,5.11,A,7011,1565,P1.3,Afrit,27
RWS01_MONIBAS_0011hrl0129ra,A1 westBound naar Amsterdam na afrit 4 ri afrit 3 thv hmp 12.9,52.3243,5.07324,negative,A1,5.11,A,7011,1270,P1.3,Afrit,28
RWS01_MONIBAS_0011hrl0132ra,A1 westBound naar Amsterdam na afrit 4 ri afrit 3 thv hmp 13.2,52.3231,5.07721,negative,A1,5.11,A,7011,970,P1.3,Afrit,29
RWS01_MONIBAS_0011hrl0135ra,A1 westBound naar Amsterdam na afrit 4 ri afrit 3 thv hmp 13.5,52.3221,5.08093,negative,A1,5.11,A,7011,690,P1.3,Afrit,30
