measurementSiteReference,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,trafficID
GEO02_R_RWSTI4480,A2 naar Amsterdam op knppnt Amstel ri afrit Industriegebied Amstel Businesspark thv hmp 31.8,52.3222,4.9143,positive,A2,25
RWS01_MONIBAS_0010vwa0056ra,"A1 eastBound naar Amersfoort na afrit 1 ri afrit 2 thv hmp 5.6, afrit",52.3454,4.97708,positive,A1,26
RWS01_MONIBAS_0010vwa0065ra,"A1 eastBound naar Amersfoort na afrit 2 ri knppnt Diemen thv hmp 6.6, afrit",52.3391,4.98616,positive,A1,27
RWS01_MONIBAS_0010vwb0070ra,"A1 eastBound naar Amersfoort na afrit 2 ri knppnt Diemen thv hmp 7.1, oprit",52.3359,4.99184,positive,A1,28
RWS01_MONIBAS_0010vwb0119ra,"A1 eastBound naar Amersfoort na afrit 3 ri afrit 4 thv hmp 12.0, oprit",52.3273,5.06081,positive,A1,29
RWS01_MONIBAS_0010vwe0079ra,A1 eastBound naar Amersfoort vw van A1 vanuit Amsterdam naar A9 richting Amstelveen thv hmp 8.0,52.3326,5.00333,positive,A1,30
RWS01_MONIBAS_0010vwe0083ra,A1 eastBound naar Amersfoort vw van A1 vanuit Amsterdam naar A9 richting Amstelveen thv hmp 8.4,52.3295,5.00511,positive,A1,31
RWS01_MONIBAS_0010vwp0073ra,"A1 eastBound naar Amersfoort na afrit 2 ri knppnt Diemen thv hmp 7.4, vw",52.3348,4.99577,positive,A1,32
RWS01_MONIBAS_0010vwp0076ra,"A1 eastBound naar Amersfoort na afrit 2 ri knppnt Diemen thv hmp 7.7, vw",52.3337,4.9995,positive,A1,33
RWS01_MONIBAS_0010vwp0079ra,"A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 7.9, vw",52.333,5.00282,positive,A1,34
RWS01_MONIBAS_0010vwp0082ra,"A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 8.2, vw",52.3325,5.00666,positive,A1,35
RWS01_MONIBAS_0010vwp0085ra,"A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 8.5, vw",52.3324,5.01117,positive,A1,36
RWS01_MONIBAS_0010vwp0089ra,"A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 8.9, vw",52.3325,5.01717,positive,A1,37
RWS01_MONIBAS_0010vwp0093ra,"A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 9.3, vw",52.3324,5.0227,positive,A1,38
RWS01_MONIBAS_0010vwp0096ra,"A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 9.6, vw",52.3322,5.02722,positive,A1,39
RWS01_MONIBAS_0010vwp0098ra,"A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 9.8, vw",52.3322,5.03038,positive,A1,40
RWS01_MONIBAS_0010vwp0099ra,"A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 10.0, vw",52.3322,5.03269,positive,A1,41
RWS01_MONIBAS_0010vwp0099rb,"A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 10.0, vw",52.3322,5.03269,positive,A1,42
RWS01_MONIBAS_0010vwp0101ra,"A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 10.1, vw",52.3321,5.0349,positive,A1,43
RWS01_MONIBAS_0010vwp0104ra,"A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 10.4, vw",52.3321,5.03898,positive,A1,44
RWS01_MONIBAS_0010vwp0107ra,"A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 10.7, vw",52.3321,5.04343,positive,A1,45
RWS01_MONIBAS_0010vwp0110ra,"A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 11.0, vw",52.3317,5.04771,positive,A1,46
RWS01_MONIBAS_0010vwp0112ra,"A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 11.2, vw",52.3311,5.05064,positive,A1,47
RWS01_MONIBAS_0010vwp0114ra,"A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 11.4, vw",52.3303,5.05311,positive,A1,48
RWS01_MONIBAS_0010vwp0116ra,"A1 eastBound naar Amersfoort op knppnt Diemen ri afrit 3 thv hmp 11.6, vw",52.3295,5.05572,positive,A1,49
RWS01_MONIBAS_0010vwp0119ra,"A1 eastBound naar Amersfoort na afrit 3 ri afrit 4 thv hmp 12.0, vw",52.3278,5.06069,positive,A1,50
