measurementSiteReference,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,trafficID
RWS01_MONIBAS_0041hrl0030ra,A4 northBound naar Amsterdam op knppnt Badhoevedorp ri afrit 1 thv hmp 3.1,52.3335,4.80434,positive,A4,165
RWS01_MONIBAS_0041hrl0036ra,A4 northBound naar Amsterdam op knppnt Badhoevedorp ri afrit 1 thv hmp 3.6,52.3298,4.79805,positive,A4,166
RWS01_MONIBAS_0041hrl0040ra,A4 northBound naar Amsterdam op knppnt Badhoevedorp ri afrit 1 thv hmp 4.0,52.3279,4.79366,positive,A4,167
RWS01_MONIBAS_0041hrl0044ra,A4 northBound naar Amsterdam op knppnt Badhoevedorp ri afrit 1 thv hmp 4.4,52.3264,4.78804,positive,A4,168
RWS01_MONIBAS_0041hrl0052ra,A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 5.2,52.3249,4.7768,positive,A4,169
RWS01_MONIBAS_0041hrl0052rb,A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 5.2,52.3249,4.7768,positive,A4,170
RWS01_MONIBAS_0041hrl0055ra,A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 5.5,52.3243,4.77201,positive,A4,171
RWS01_MONIBAS_0041hrl0055rb,A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 5.5,52.3244,4.77271,positive,A4,172
RWS01_MONIBAS_0041hrl0059ra,A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 5.9,52.3235,4.76659,positive,A4,173
RWS01_MONIBAS_0041hrl0059rb,A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 5.9,52.3236,4.76701,positive,A4,174
RWS01_MONIBAS_0041hrl0063ra,A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 6.3,52.3222,4.76165,positive,A4,175
RWS01_MONIBAS_0041hrl0065ra,A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 6.6,52.3206,4.75823,positive,A4,176
RWS01_MONIBAS_0041hrl0069ra,A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 6.9,52.3185,4.75519,positive,A4,177
RWS01_MONIBAS_0041hrl0070ra,A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 7.1,52.3172,4.75379,positive,A4,178
RWS01_MONIBAS_0041hrl0072ra,A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 7.2,52.316,4.75277,positive,A4,179
RWS01_MONIBAS_0041hrl0073ra,A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 7.4,52.3148,4.75193,positive,A4,180
RWS01_MONIBAS_0041hrl0075ra,A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 7.5,52.3135,4.75109,positive,A4,181
RWS01_MONIBAS_0041hrl0076ra,A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 7.7,52.3121,4.75021,positive,A4,182
RWS01_MONIBAS_0041hrl0081ra,A4 northBound naar Amsterdam na afrit 2 ri knppnt Badhoevedorp thv hmp 8.1,52.3083,4.74806,positive,A4,183
RWS01_MONIBAS_0041hrl0086ra,A4 northBound naar Amsterdam op knppnt De Hoek ri afrit 2 thv hmp 8.6,52.3041,4.7454,positive,A4,184
RWS01_MONIBAS_0041hrl0089ra,A4 northBound naar Amsterdam op knppnt De Hoek ri afrit 2 thv hmp 9.0,52.3014,4.74368,positive,A4,185
RWS01_MONIBAS_0041hrl0093ra,A4 northBound naar Amsterdam op knppnt De Hoek ri afrit 2 thv hmp 9.3,52.2986,4.74153,positive,A4,186
RWS01_MONIBAS_0041hrl0093rb,A4 northBound naar Amsterdam op knppnt De Hoek ri afrit 2 thv hmp 9.4,52.2982,4.7411,positive,A4,187
RWS01_MONIBAS_0041hrl0096ra,A4 northBound naar Amsterdam op knppnt De Hoek ri afrit 2 thv hmp 9.7,52.2961,4.73837,positive,A4,188
RWS01_MONIBAS_0041hrl0097ra,A4 northBound naar Amsterdam op knppnt De Hoek ri afrit 2 thv hmp 9.7,52.2958,4.73793,positive,A4,189
RWS01_MONIBAS_0041hrl0100ra,A4 northBound naar Amsterdam op knppnt De Hoek ri afrit 2 thv hmp 10.0,52.2936,4.73467,positive,A4,190
RWS01_MONIBAS_0041hrl0103ra,A4 northBound naar Amsterdam op knppnt De Hoek ri afrit 2 thv hmp 10.3,52.2916,4.73189,positive,A4,191
RWS01_MONIBAS_0041hrl0106ra,A4 northBound naar Amsterdam op knppnt De Hoek ri afrit 2 thv hmp 10.6,52.2897,4.72917,positive,A4,192
RWS01_MONIBAS_0041hrl0107ra,A4 northBound naar Amsterdam op knppnt De Hoek ri afrit 2 thv hmp 10.8,52.2886,4.72749,positive,A4,193
RWS01_MONIBAS_0041hrl0107rb,A4 northBound naar Amsterdam op knppnt De Hoek ri afrit 2 thv hmp 10.8,52.2886,4.72749,positive,A4,194
RWS01_MONIBAS_0041hrl0112ra,A4 northBound naar Amsterdam na afrit 3 ri knppnt De Hoek thv hmp 11.2,52.2854,4.72291,positive,A4,195
RWS01_MONIBAS_0041hrl0116ra,A4 northBound naar Amsterdam na afrit 3 ri knppnt De Hoek thv hmp 11.6,52.2828,4.71926,positive,A4,196
RWS01_MONIBAS_0041hrl0121ra,A4 northBound naar Amsterdam na afrit 3a ri afrit 3 thv hmp 12.1,52.2793,4.7142,positive,A4,197
RWS01_MONIBAS_0041hrl0127ra,A4 northBound naar Amsterdam na afrit 3a ri afrit 3 thv hmp 12.7,52.2753,4.70843,positive,A4,198
RWS01_MONIBAS_0041hrl0132ra,A4 northBound naar Amsterdam na afrit 3a ri afrit 3 thv hmp 13.2,52.2719,4.70356,positive,A4,199
RWS01_MONIBAS_0041hrl0137ra,A4 northBound naar Amsterdam na afrit 4 ri afrit 3a thv hmp 13.7,52.2685,4.69876,positive,A4,200
RWS01_MONIBAS_0041hrl0137rb,A4 northBound naar Amsterdam na afrit 4 ri afrit 3a thv hmp 13.7,52.2685,4.69881,positive,A4,201
RWS01_MONIBAS_0041hrl0143ra,A4 northBound naar Amsterdam na afrit 4 ri afrit 3a thv hmp 14.4,52.2643,4.69276,positive,A4,202
RWS01_MONIBAS_0041hrl0147ra,A4 northBound naar Amsterdam na afrit 4 ri afrit 3a thv hmp 14.8,52.2615,4.6886,positive,A4,203
RWS01_MONIBAS_0041hrl0151ra,A4 northBound naar Amsterdam na afrit 4 ri afrit 3a thv hmp 15.2,52.2589,4.6849,positive,A4,204
RWS01_MONIBAS_0050vwe0080ra,A5 northBound naar Amsterdam vw van A5 vanuit Hoofddorp naar A9 richting Amstelveen thv hmp 8.0,52.354,4.73811,positive,A5,205
RWS01_MONIBAS_0050vwe0083ra,A5 northBound naar Amsterdam vw van A5 vanuit Hoofddorp naar A9 richting Amstelveen thv hmp 8.4,52.3537,4.74525,positive,A5,206
RWS01_MONIBAS_0050vwg0074ra,A5 northBound naar Amsterdam vw van A5 vanuit Hoofddorp naar A9 richting Alkmaar thv hmp 7.4,52.3533,4.73777,positive,A5,207
RWS01_MONIBAS_0050vwg0077ra,A5 northBound naar Amsterdam vw van A5 vanuit Hoofddorp naar A9 richting Alkmaar thv hmp 7.7,52.3518,4.73741,positive,A5,208
RWS01_MONIBAS_0050vwg0080ra,A5 northBound naar Amsterdam vw van A5 vanuit Hoofddorp naar A9 richting Alkmaar thv hmp 8.0,52.3538,4.74017,positive,A5,209
RWS01_MONIBAS_0050vwg0083ra,A5 northBound naar Amsterdam vw van A5 vanuit Hoofddorp naar A9 richting Alkmaar thv hmp 8.3,52.3558,4.74296,positive,A5,210
RWS01_MONIBAS_0050vwg0086ra,A5 northBound naar Amsterdam vw van A5 vanuit Hoofddorp naar A9 richting Alkmaar thv hmp 8.6,52.3583,4.74232,positive,A5,211
RWS01_MONIBAS_0050vwg0088ra,A5 northBound naar Amsterdam vw van A5 vanuit Hoofddorp naar A9 richting Alkmaar thv hmp 8.9,52.3594,4.73941,positive,A5,212
RWS01_MONIBAS_0050vwg0091ra,A5 northBound naar Amsterdam vw van A5 vanuit Hoofddorp naar A9 richting Alkmaar thv hmp 9.2,52.36,4.7351,positive,A5,213
RWS01_MONIBAS_0050vwg0094ra,A5 northBound naar Amsterdam vw van A5 vanuit Hoofddorp naar A9 richting Alkmaar thv hmp 9.4,52.3613,4.73228,positive,A5,214
RWS01_MONIBAS_0050vwg0096ra,A5 northBound naar Amsterdam vw van A5 vanuit Hoofddorp naar A9 richting Alkmaar thv hmp 9.6,52.3625,4.73007,positive,A5,215
RWS01_MONIBAS_0051hrr0010ra,A5 northBound naar Amsterdam op knppnt De Hoek ri afrit 3 thv hmp 1.1,52.2927,4.73206,positive,A5,216
RWS01_MONIBAS_0051hrr0014ra,A5 northBound naar Amsterdam op knppnt De Hoek ri afrit 3 thv hmp 1.4,52.2956,4.73129,positive,A5,217
RWS01_MONIBAS_0051hrr0016ra,A5 northBound naar Amsterdam op knppnt De Hoek ri afrit 3 thv hmp 1.7,52.2982,4.7313,positive,A5,218
RWS01_MONIBAS_0051hrr0019ra,A5 northBound naar Amsterdam op knppnt De Hoek ri afrit 3 thv hmp 1.9,52.3001,4.73147,positive,A5,219
RWS01_MONIBAS_0051hrr0021ra,A5 northBound naar Amsterdam op knppnt De Hoek ri afrit 3 thv hmp 2.2,52.3026,4.73169,positive,A5,220
RWS01_MONIBAS_0051hrr0024ra,A5 northBound naar Amsterdam op knppnt De Hoek ri afrit 3 thv hmp 2.4,52.3046,4.73188,positive,A5,221
RWS01_MONIBAS_0051hrr0026ra,A5 northBound naar Amsterdam op knppnt De Hoek ri afrit 3 thv hmp 2.7,52.3068,4.73209,positive,A5,222
RWS01_MONIBAS_0051hrr0030ra,A5 northBound naar Amsterdam op knppnt De Hoek ri afrit 3 thv hmp 3.0,52.31,4.73237,positive,A5,223
RWS01_MONIBAS_0051hrr0033ra,A5 northBound naar Amsterdam op knppnt De Hoek ri afrit 3 thv hmp 3.4,52.3134,4.73269,positive,A5,224
RWS01_MONIBAS_0051hrr0037ra,A5 northBound naar Amsterdam op knppnt De Hoek ri afrit 3 thv hmp 3.7,52.3162,4.73293,positive,A5,225
RWS01_MONIBAS_0051hrr0039ra,A5 northBound naar Amsterdam op knppnt De Hoek ri afrit 3 thv hmp 4.0,52.3187,4.73317,positive,A5,226
RWS01_MONIBAS_0051hrr0044ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Raasdorp thv hmp 4.4,52.3227,4.73355,positive,A5,227
RWS01_MONIBAS_0051hrr0047ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Raasdorp thv hmp 4.7,52.3252,4.73377,positive,A5,228
RWS01_MONIBAS_0051hrr0050ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Raasdorp thv hmp 5.0,52.328,4.73403,positive,A5,229
RWS01_MONIBAS_0051hrr0056ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Raasdorp thv hmp 5.7,52.334,4.73458,positive,A5,230
RWS01_MONIBAS_0051hrr0060ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Raasdorp thv hmp 6.0,52.3368,4.73482,positive,A5,231
RWS01_MONIBAS_0051hrr0062ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Raasdorp thv hmp 6.3,52.3394,4.73504,positive,A5,232
RWS01_MONIBAS_0051hrr0066ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Raasdorp thv hmp 6.6,52.3421,4.73531,positive,A5,233
RWS01_MONIBAS_0051hrr0069ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Raasdorp thv hmp 7.0,52.3455,4.73564,positive,A5,234
RWS01_MONIBAS_0051hrr0074ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Raasdorp thv hmp 7.4,52.3495,4.7363,positive,A5,235
RWS01_MONIBAS_0051hrr0077ra,A5 northBound naar Amsterdam op knppnt Raasdorp ri afrit 2 thv hmp 7.7,52.3519,4.73709,positive,A5,236
RWS01_MONIBAS_0051hrr0081ra,A5 northBound naar Amsterdam op knppnt Raasdorp ri afrit 2 thv hmp 8.2,52.3559,4.73933,positive,A5,237
RWS01_MONIBAS_0051hrr0086ra,A5 northBound naar Amsterdam op knppnt Raasdorp ri afrit 2 thv hmp 8.7,52.3597,4.74274,positive,A5,238
RWS01_MONIBAS_0051hrr0092ra,A5 northBound naar Amsterdam op knppnt Raasdorp ri afrit 2 thv hmp 9.3,52.364,4.74844,positive,A5,239
RWS01_MONIBAS_0051hrr0096ra,A5 northBound naar Amsterdam op knppnt Raasdorp ri afrit 2 thv hmp 9.7,52.3663,4.75247,positive,A5,240
RWS01_MONIBAS_0051hrr0096rb,A5 northBound naar Amsterdam op knppnt Raasdorp ri afrit 2 thv hmp 9.7,52.3663,4.75247,positive,A5,241
RWS01_MONIBAS_0051hrr0099ra,A5 northBound naar Amsterdam op knppnt Raasdorp ri afrit 2 thv hmp 10.0,52.368,4.75642,positive,A5,242
RWS01_MONIBAS_0051hrr0105ra,A5 northBound naar Amsterdam op knppnt Raasdorp ri afrit 2 thv hmp 10.6,52.3715,4.76299,positive,A5,243
RWS01_MONIBAS_0051hrr0110ra,A5 northBound naar Amsterdam op knppnt Raasdorp ri afrit 2 thv hmp 11.1,52.3754,4.76659,positive,A5,244
RWS01_MONIBAS_0051hrr0116ra,A5 northBound naar Amsterdam op knppnt Raasdorp ri afrit 2 thv hmp 11.6,52.3802,4.76789,positive,A5,245
RWS01_MONIBAS_0051hrr0121ra,A5 northBound naar Amsterdam op knppnt Raasdorp ri afrit 2 thv hmp 12.2,52.385,4.76795,positive,A5,246
RWS01_MONIBAS_0051hrr0127ra,A5 northBound naar Amsterdam op knppnt Raasdorp ri afrit 2 thv hmp 12.7,52.3895,4.77055,positive,A5,247
RWS01_MONIBAS_0051hrr0129ra,A5 northBound naar Amsterdam op knppnt Raasdorp ri afrit 2 thv hmp 13.0,52.3913,4.77319,positive,A5,248
RWS01_MONIBAS_0051hrr0134ra,A5 northBound naar Amsterdam na afrit 2 ri afrit 3 thv hmp 13.5,52.3932,4.77973,positive,A5,249
RWS01_MONIBAS_0051hrr0137ra,A5 northBound naar Amsterdam na afrit 2 ri afrit 3 thv hmp 13.7,52.3933,4.78376,positive,A5,250
RWS01_MONIBAS_0051hrr0140ra,A5 northBound naar Amsterdam na afrit 2 ri afrit 3 thv hmp 14.1,52.3933,4.7886,positive,A5,251
RWS01_MONIBAS_0051hrr0143ra,A5 northBound naar Amsterdam na afrit 2 ri afrit 3 thv hmp 14.4,52.3933,4.79333,positive,A5,252
RWS01_MONIBAS_0051hrr0147ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Westrandweg thv hmp 14.8,52.3934,4.7988,positive,A5,253
RWS01_MONIBAS_0051hrr0152ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Westrandweg thv hmp 15.3,52.393,4.80604,positive,A5,254
RWS01_MONIBAS_0051hrr0157ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Westrandweg thv hmp 15.7,52.3921,4.81263,positive,A5,255
RWS01_MONIBAS_0051hrr0162ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Westrandweg thv hmp 16.3,52.3918,4.82017,positive,A5,256
RWS01_MONIBAS_0051hrr0167ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Westrandweg thv hmp 16.8,52.3918,4.82785,positive,A5,257
RWS01_MONIBAS_0051hrr0173ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Westrandweg thv hmp 17.3,52.3922,4.83595,positive,A5,258
RWS01_MONIBAS_0051hrr0178ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Westrandweg thv hmp 17.9,52.395,4.84208,positive,A5,259
RWS01_MONIBAS_0051hrr0185ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Westrandweg thv hmp 18.6,52.3997,4.84813,positive,A5,260
RWS01_MONIBAS_0051hrr0187ra,A5 northBound naar Amsterdam na afrit 3 ri knppnt Westrandweg thv hmp 18.8,52.4013,4.85004,positive,A5,261
RWS01_MONIBAS_0080vwd0016ra,"A8 eastBound naar Amsterdam na afrit 1 ri knppnt Coenplein thv hmp 1.6, oprit",52.4275,4.87201,positive,A8,262
RWS01_MONIBAS_0080vwf0010ra,A8 eastBound naar Amsterdam vw van A8 vanuit Zaandam naar A10 richting Den Haag thv hmp 1.1,52.4234,4.87434,positive,A8,263
RWS01_MONIBAS_0080vwf0016ra,A8 eastBound naar Amsterdam vw van A8 vanuit Zaandam naar A10 richting Den Haag thv hmp 1.6,52.4276,4.87219,positive,A8,264
RWS01_MONIBAS_0080vwq0010ra,"A8 eastBound naar Amsterdam op knppnt Coenplein thv hmp 1.1, vw",52.4229,4.87445,positive,A8,265
RWS01_MONIBAS_0081hrl0006ra,A8 eastBound naar Amsterdam op knppnt Coenplein thv hmp 0.7,52.4242,4.88239,positive,A8,266
RWS01_MONIBAS_0081hrl0013ra,A8 eastBound naar Amsterdam op knppnt Coenplein thv hmp 1.4,52.426,4.87429,positive,A8,267
RWS01_MONIBAS_0081hrl0021ra,A8 eastBound naar Amsterdam na afrit 1 ri knppnt Coenplein thv hmp 2.1,52.4316,4.86802,positive,A8,268
RWS01_MONIBAS_0081hrl0021rb,A8 eastBound naar Amsterdam na afrit 1 ri knppnt Coenplein thv hmp 2.1,52.4316,4.86802,positive,A8,269
RWS01_MONIBAS_0081hrl0025ra,A8 eastBound naar Amsterdam na afrit 1 ri knppnt Coenplein thv hmp 2.5,52.4345,4.86481,positive,A8,270
RWS01_MONIBAS_0081hrl0029ra,A8 eastBound naar Amsterdam na afrit 1 ri knppnt Coenplein thv hmp 2.9,52.4372,4.86183,positive,A8,271
RWS01_MONIBAS_0081hrl0032ra,A8 eastBound naar Amsterdam op knppnt Zaandam ri afrit 1 thv hmp 3.3,52.4399,4.85888,positive,A8,272
RWS01_MONIBAS_0081hrl0036ra,A8 eastBound naar Amsterdam op knppnt Zaandam ri afrit 1 thv hmp 3.7,52.4428,4.85561,positive,A8,273
RWS01_MONIBAS_0081hrl0042ra,A8 eastBound naar Amsterdam op knppnt Zaandam ri afrit 1 thv hmp 4.3,52.4473,4.85054,positive,A8,274
RWS01_MONIBAS_0081hrl0046ra,A8 eastBound naar Amsterdam op knppnt Zaandam ri afrit 1 thv hmp 4.7,52.4505,4.84706,positive,A8,275
RWS01_MONIBAS_0090vwa0071ra,"A9 northBound naar Amstelveen op knppnt Diemen ri afrit 1 thv hmp 7.2, afrit",52.3339,4.99969,positive,A9,276
RWS01_MONIBAS_0090vwa0084ra,"A9 northBound naar Amstelveen na afrit 2 ri afrit 3 thv hmp 8.5, afrit",52.31,4.97681,positive,A9,277
RWS01_MONIBAS_0090vwa0367ra,"A9 northBound naar Alkmaar na afrit 7 ri knppnt Raasdorp thv hmp 36.7, afrit",52.3444,4.7662,positive,A9,278
RWS01_MONIBAS_0090vwa0425ra,"A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 42.5, afrit",52.3811,4.70829,positive,A9,279
RWS01_MONIBAS_0090vwb0093ra,"A9 northBound naar Amstelveen na afrit 2 ri afrit 3 thv hmp 9.3, oprit",52.3065,4.96652,positive,A9,280
RWS01_MONIBAS_0090vwb0107ra,"A9 northBound naar Amstelveen na afrit 3 ri knppnt Holendrecht thv hmp 10.8, oprit",52.3002,4.94823,positive,A9,281
RWS01_MONIBAS_0090vwb0433ra,"A9 northBound naar Alkmaar op knppnt Rottepolderplein ri knppnt Velsen thv hmp 43.3, oprit",52.3883,4.70714,positive,A9,282
RWS01_MONIBAS_0090vwr0339ra,A9 northBound naar Alkmaar vw van A9 vanuit Diemen naar A4 richting Amsterdam thv hmp 33.9,52.3293,4.79916,positive,A9,283
RWS01_MONIBAS_0090vwr0386ra,A9 northBound naar Alkmaar vw van A9 vanuit Badhoevedorp naar A5 richting Amsterdam thv hmp 38.6,52.3554,4.74339,positive,A9,284
RWS01_MONIBAS_0090vwr0391ra,A9 northBound naar Alkmaar vw van A9 vanuit Badhoevedorp naar A5 richting Amsterdam thv hmp 39.1,52.3596,4.74304,positive,A9,285
RWS01_MONIBAS_0090vwv0381ra,A9 northBound naar Alkmaar vw van A9 vanuit Badhoevedorp naar A5 richting Hoofddorp thv hmp 38.1,52.3524,4.74878,positive,A9,286
RWS01_MONIBAS_0090vwv0384ra,A9 northBound naar Alkmaar vw van A9 vanuit Badhoevedorp naar A5 richting Hoofddorp thv hmp 38.4,52.3542,4.74551,positive,A9,287
RWS01_MONIBAS_0090vwv0386ra,A9 northBound naar Alkmaar vw van A9 vanuit Badhoevedorp naar A5 richting Hoofddorp thv hmp 38.6,52.3554,4.74331,positive,A9,288
RWS01_MONIBAS_0090vwv0391ra,A9 northBound naar Alkmaar vw van A9 vanuit Badhoevedorp naar A5 richting Hoofddorp thv hmp 39.1,52.3587,4.73846,positive,A9,289
RWS01_MONIBAS_0090vwv0393ra,A9 northBound naar Alkmaar vw van A9 vanuit Badhoevedorp naar A5 richting Hoofddorp thv hmp 39.4,52.3539,4.74554,positive,A9,290
RWS01_MONIBAS_0090vwx0339ra,"A9 northBound naar Alkmaar op knppnt Badhoevedorp ri afrit 7 thv hmp 33.9, prb",52.3284,4.79623,positive,A9,291
RWS01_MONIBAS_0090vwx0344ra,"A9 northBound naar Alkmaar op knppnt Badhoevedorp ri afrit 7 thv hmp 34.4, prb",52.3313,4.79067,positive,A9,292
RWS01_MONIBAS_0091hrr0059ra,A9 northBound naar Amstelveen op knppnt Diemen ri afrit 1 thv hmp 6.0,52.3244,5.0047,positive,A9,293
RWS01_MONIBAS_0091hrr0065ra,A9 northBound naar Amstelveen op knppnt Diemen ri afrit 1 thv hmp 6.5,52.3201,5.00083,positive,A9,294
RWS01_MONIBAS_0091hrr0068ra,A9 northBound naar Amstelveen op knppnt Diemen ri afrit 1 thv hmp 6.8,52.3181,4.99759,positive,A9,295
RWS01_MONIBAS_0091hrr0071ra,A9 northBound naar Amstelveen op knppnt Diemen ri afrit 1 thv hmp 7.2,52.3161,4.99376,positive,A9,296
RWS01_MONIBAS_0091hrr0075ra,A9 northBound naar Amstelveen na afrit 1 ri afrit 2 thv hmp 7.6,52.3141,4.98891,positive,A9,297
RWS01_MONIBAS_0091hrr0080ra,A9 northBound naar Amstelveen na afrit 1 ri afrit 2 thv hmp 8.0,52.312,4.98298,positive,A9,298
RWS01_MONIBAS_0091hrr0084ra,A9 northBound naar Amstelveen na afrit 2 ri afrit 3 thv hmp 8.4,52.3103,4.97789,positive,A9,299
RWS01_MONIBAS_0091hrr0089ra,A9 northBound naar Amstelveen na afrit 2 ri afrit 3 thv hmp 9.0,52.3079,4.97089,positive,A9,300
RWS01_MONIBAS_0091hrr0103ra,A9 northBound naar Amstelveen na afrit 2 ri afrit 3 thv hmp 10.4,52.3019,4.95333,positive,A9,301
RWS01_MONIBAS_0091hrr0110ra,A9 northBound naar Amstelveen na afrit 3 ri knppnt Holendrecht thv hmp 11.1,52.2988,4.94374,positive,A9,302
RWS01_MONIBAS_0091hrr0112ra,A9 northBound naar Amstelveen na afrit 3 ri knppnt Holendrecht thv hmp 11.3,52.299,4.94093,positive,A9,303
RWS01_MONIBAS_0091hrr0117ra,A9 northBound naar Amstelveen op knppnt Holendrecht ri afrit 2 thv hmp 11.8,52.2974,4.93587,positive,A9,304
RWS01_MONIBAS_0091hrr0230ra,A9 northBound naar Amstelveen na afrit 2 ri afrit 4 thv hmp 23.0,52.2863,4.93412,positive,A9,305
RWS01_MONIBAS_0091hrr0235ra,A9 northBound naar Amstelveen na afrit 2 ri afrit 4 thv hmp 23.6,52.2869,4.92617,positive,A9,306
RWS01_MONIBAS_0091hrr0241ra,A9 northBound naar Amstelveen na afrit 2 ri afrit 4 thv hmp 24.1,52.288,4.918,positive,A9,307
RWS01_MONIBAS_0091hrr0247ra,A9 northBound naar Amstelveen na afrit 2 ri afrit 4 thv hmp 24.8,52.2896,4.90932,positive,A9,308
RWS01_MONIBAS_0091hrr0253ra,A9 northBound naar Amstelveen na afrit 2 ri afrit 4 thv hmp 25.4,52.2917,4.9011,positive,A9,309
RWS01_MONIBAS_0091hrr0259ra,A9 northBound naar Amstelveen na afrit 2 ri afrit 4 thv hmp 26.0,52.2942,4.89325,positive,A9,310
RWS01_MONIBAS_0091hrr0262ra,A9 northBound naar Amstelveen na afrit 4 ri afrit 5 thv hmp 26.3,52.2953,4.88862,positive,A9,311
RWS01_MONIBAS_0091hrr0267ra,A9 northBound naar Amstelveen na afrit 4 ri afrit 5 thv hmp 26.7,52.2963,4.88237,positive,A9,312
RWS01_MONIBAS_0091hrr0272ra,A9 northBound naar Amstelveen na afrit 4 ri afrit 5 thv hmp 27.3,52.2974,4.87478,positive,A9,313
RWS01_MONIBAS_0091hrr0278ra,A9 northBound naar Amstelveen na afrit 4 ri afrit 5 thv hmp 27.8,52.299,4.86688,positive,A9,314
RWS01_MONIBAS_0091hrr0282ra,A9 northBound naar Amstelveen na afrit 4 ri afrit 5 thv hmp 28.3,52.3004,4.86127,positive,A9,315
RWS01_MONIBAS_0091hrr0287ra,A9 northBound naar Alkmaar na afrit 5 ri afrit 6 thv hmp 28.7,52.3018,4.85514,positive,A9,316
RWS01_MONIBAS_0091hrr0293ra,A9 northBound naar Alkmaar na afrit 5 ri afrit 6 thv hmp 29.3,52.3043,4.84664,positive,A9,317
RWS01_MONIBAS_0091hrr0297ra,A9 northBound naar Alkmaar na afrit 5 ri afrit 6 thv hmp 29.7,52.3049,4.84155,positive,A9,318
RWS01_MONIBAS_0091hrr0302ra,A9 northBound naar Alkmaar na afrit 5 ri afrit 6 thv hmp 30.3,52.3063,4.83313,positive,A9,319
RWS01_MONIBAS_0091hrr0308ra,A9 northBound naar Alkmaar na afrit 5 ri afrit 6 thv hmp 30.9,52.3083,4.82517,positive,A9,320
RWS01_MONIBAS_0091hrr0313ra,A9 northBound naar Alkmaar na afrit 5 ri afrit 6 thv hmp 31.4,52.3106,4.81942,positive,A9,321
RWS01_MONIBAS_0091hrr0318ra,A9 northBound naar Alkmaar na afrit 5 ri afrit 6 thv hmp 31.8,52.3138,4.81433,positive,A9,322
RWS01_MONIBAS_0091hrr0322ra,A9 northBound naar Alkmaar na afrit 6 ri knppnt Badhoevedorp thv hmp 32.2,52.3165,4.81107,positive,A9,323
RWS01_MONIBAS_0091hrr0326ra,A9 northBound naar Alkmaar na afrit 6 ri knppnt Badhoevedorp thv hmp 32.7,52.3198,4.80811,positive,A9,324
RWS01_MONIBAS_0091hrr0328ra,A9 northBound naar Alkmaar na afrit 6 ri knppnt Badhoevedorp thv hmp 32.8,52.3213,4.80671,positive,A9,325
RWS01_MONIBAS_0091hrr0328rb,A9 northBound naar Alkmaar na afrit 6 ri knppnt Badhoevedorp thv hmp 32.8,52.3213,4.80671,positive,A9,326
RWS01_MONIBAS_0091hrr0330ra,A9 northBound naar Alkmaar na afrit 6 ri knppnt Badhoevedorp thv hmp 33.1,52.3231,4.80478,positive,A9,327
RWS01_MONIBAS_0091hrr0330rb,A9 northBound naar Alkmaar na afrit 6 ri knppnt Badhoevedorp thv hmp 33.1,52.3231,4.80478,positive,A9,328
RWS01_MONIBAS_0091hrr0339ra,A9 northBound naar Alkmaar op knppnt Badhoevedorp ri afrit 7 thv hmp 33.9,52.3284,4.79573,positive,A9,329
RWS01_MONIBAS_0091hrr0344ra,A9 northBound naar Alkmaar op knppnt Badhoevedorp ri afrit 7 thv hmp 34.4,52.3312,4.79048,positive,A9,330
