startLocatieForDisplayLat,startLocatieForDisplayLong
52.3172,4.75379
52.3174,4.75352
52.3181,4.91717
52.3181,4.99759
52.3185,4.75519
52.3186,4.73295
52.3187,4.91699
52.3187,4.75495
52.3187,4.73317
52.319,5.09122
52.3191,5.09122
52.3192,4.99986
52.3197,4.80791
52.3198,4.80811
52.3199,5.08791
52.3199,5.08778
52.3201,5.00083
52.3202,5.08733
52.3206,4.75823
52.3207,4.75797
52.3208,5.085
52.3211,4.80667
52.3213,5.08009
52.3213,4.80671
52.3215,4.91519
52.3215,4.91507
52.3216,5.08163
52.3216,5.0029
52.3219,5.08078
52.322,4.76066
52.3221,5.08093
52.3222,4.76165
52.3222,4.9143
52.3223,4.91443
52.3224,4.91495
52.3225,5.08147
52.3227,4.73332
52.3227,4.73355
52.3228,4.80473
52.3229,5.07707
52.323,5.07715
52.3231,5.07721
52.3231,4.80478
52.3235,4.76659
52.3236,4.76701
52.3238,4.76643
52.324,5.07308
52.3241,4.91433
52.3242,5.07315
52.3243,5.07275
52.3243,5.07324
52.3243,4.77201
52.3243,5.00488
52.3244,4.77271
52.3244,5.0047
52.3249,4.7768
52.3251,5.06911
52.3251,4.73354
52.3252,5.06919
52.3252,4.77674
52.3252,4.73377
52.3253,5.06934
52.3257,5.06705
52.3259,4.91417
52.3259,5.06613
52.3261,5.06621
52.3261,5.06644
52.3261,4.91372
52.3261,4.78288
52.3262,4.80032
52.3264,4.78804
52.3266,4.91343
52.3266,4.79285
52.3267,4.91104
52.3269,5.06342
52.3269,4.78742
52.3273,5.06081
52.3276,5.0607
52.3276,5.06072
52.3277,5.06069
52.3278,5.06069
52.3278,5.06105
52.3279,4.79366
52.328,4.73381
52.328,4.73403
52.328,5.06081
52.3283,4.90703
52.3284,4.79623
52.3284,5.00568
52.3284,4.79573
52.3285,5.00591
52.3285,4.91079
52.3285,4.91551
52.3286,4.9131
52.3286,4.79537
52.3287,4.79479
52.3288,4.91824
52.3289,5.05741
52.3289,5.05766
52.3289,4.91899
52.329,4.91768
52.3292,4.79406
52.3293,5.05577
52.3293,4.79916
52.3294,4.91341
52.3295,5.00511
52.3295,5.05572
52.3295,4.90731
52.3297,5.00532
52.3297,4.79826
52.3298,4.79805
52.3299,4.79712
52.3299,4.92138
52.33,4.90615
52.3302,4.91131
52.3302,4.79736
52.3303,5.05311
52.3303,4.90281
52.3303,4.92323
52.3303,4.90286
52.3307,4.91276
52.3308,4.79683
52.3309,5.05069
52.3309,4.78027
52.331,4.79034
52.3311,5.05064
52.3311,5.0508
52.3311,4.79047
52.3312,4.79048
52.3313,4.79067
52.3314,4.92567
52.3315,5.00505
52.3317,5.04771
52.3317,4.8002
52.3317,4.80022
52.3317,5.00493
52.3318,4.92873
52.332,5.0349
52.332,5.04346
52.3321,5.0349
52.3321,5.03898
52.3321,5.04343
52.3322,5.02722
52.3322,5.03038
52.3322,5.03269
52.3322,5.03039
52.3322,5.03054
52.3322,5.04359
52.3322,5.0267
52.3322,4.92853
52.3322,4.8989
52.3322,4.6438
52.3323,5.03061
52.3323,5.035
52.3323,5.01135
52.3323,5.00757
52.3323,4.92828
52.3323,4.90058
52.3324,5.01117
52.3324,5.0227
52.3324,5.01103
52.3324,5.02555
52.3324,5.00719
52.3324,5.01736
52.3325,5.00666
52.3325,5.01717
52.3325,5.00659
52.3325,5.01113
52.3325,5.00514
52.3325,4.78786
52.3326,5.00333
52.3326,4.92789
52.3326,4.64281
52.3327,5.00695
52.3327,4.93026
52.3328,5.0036
52.3329,4.92962
52.333,5.00282
52.333,5.00315
52.333,5.00377
52.3331,5.00383
52.3335,4.99982
52.3335,4.80434
52.3337,4.9995
52.3337,4.99994
52.3337,4.9331
52.3338,4.89546
52.3339,4.73436
52.3339,4.99969
52.3339,4.93292
52.3339,4.8976
52.334,4.73458
52.3341,4.80429
52.3342,4.99887
52.3343,5.00444
52.3344,4.99724
52.3345,4.89644
52.3346,4.99734
52.3346,4.99584
52.3347,4.78358
52.3348,4.99577
52.3349,4.78361
52.3349,4.93579
52.3351,4.89446
52.3352,4.80713
52.3353,4.89247
52.3354,4.9382
52.3355,4.93812
52.3357,4.93789
52.3359,4.99184
52.3361,4.99245
52.3361,4.99199
52.3361,4.80752
52.3362,4.99217
52.3362,4.8075
52.3362,4.93976
52.3362,4.89329
52.3364,4.99242
52.3364,4.99206
52.3364,4.78044
52.3364,4.93974
52.3366,4.94118
52.3367,4.73462
52.3367,4.9403
52.3368,4.73482
52.3368,4.77985
52.337,4.81111
52.3372,4.98975
52.3372,4.81101
52.3372,4.84651
52.3373,4.98989
52.3374,4.85124
52.3376,4.83581
52.3376,4.94455
52.3376,4.94362
52.3377,4.83897
52.3377,4.85904
52.3378,4.83476
52.3378,4.85905
52.3379,4.84096
52.3379,4.81163
52.3381,4.81698
52.3381,4.88618
52.3381,4.86294
52.3381,4.84459
52.3382,4.83486
52.3382,4.82938
52.3382,4.94629
52.3383,4.82358
52.3383,4.817
52.3383,4.85033
52.3384,4.77667
52.3384,4.87125
52.3384,4.94814
52.3385,4.84191
52.3385,4.77675
52.3385,4.85447
52.3386,4.86286
52.3386,4.87777
52.3386,4.84158
52.3387,4.81615
52.3387,4.88811
52.3388,4.82007
52.3389,4.81792
52.3389,4.8386
52.3389,4.8309
52.3389,4.82371
52.3389,4.8601
52.3389,4.94956
52.3389,4.8621
52.339,4.83084
52.339,4.94955
52.339,4.82655
52.339,4.82659
52.3391,4.98616
52.3392,4.86728
52.3393,4.98649
52.3393,4.83906
52.3394,4.98661
52.3394,4.7348
52.3394,4.73504
52.3395,4.87426
52.3397,4.88084
52.3398,4.6358
52.3399,4.95146
52.34,4.95128
52.3402,4.95125
52.3406,4.98437
52.3413,4.84093
52.3413,4.95321
52.3414,4.77008
52.3414,4.95393
52.3415,4.77002
52.3417,4.84148
52.3421,4.73505
52.3421,4.73531
52.3431,4.98128
52.3432,4.9815
52.3435,4.76531
52.3437,4.95523
52.3437,4.95576
52.3441,4.76421
52.3443,4.76418
52.3444,4.7662
52.3444,4.84088
52.3449,4.97901
52.345,4.95667
52.3454,4.97708
52.3454,4.76151
52.3455,4.73537
52.3455,4.73564
52.3455,4.84111
52.3457,4.97747
52.346,4.76039
52.3467,4.97452
52.3467,4.95865
52.3469,4.95834
52.3469,4.84088
52.3472,4.95946
52.3474,4.97359
52.3478,4.97186
52.3479,4.75694
52.3483,4.75576
52.3488,4.96995
52.349,4.96068
52.3493,4.73602
52.3494,4.73586
52.3494,4.96486
52.3495,4.7363
52.3501,4.75277
52.3502,4.96085
52.3502,4.9642
52.3506,4.9656
52.3508,4.84225
52.3508,4.84251
52.351,4.96273
52.3511,4.75029
52.3512,4.75041
52.3512,4.96166
52.3513,4.69689
52.3516,4.96592
52.3518,4.73741
52.3519,4.73693
52.3519,4.73709
52.352,4.73673
52.3522,4.74063
52.3523,4.74868
52.3524,4.74878
52.3528,4.96288
52.3529,4.84231
52.3529,4.84236
52.353,4.96392
52.353,4.96395
52.3533,4.96443
52.3533,4.73777
52.3534,4.84249
52.3537,4.74525
52.3538,4.74017
52.3539,4.74554
52.3539,4.74509
52.354,4.73811
52.354,4.74523
52.354,4.84272
52.3542,4.74551
52.3545,4.74463
52.3546,4.73693
52.3551,4.96522
52.3554,4.74339
52.3554,4.74331
52.3558,4.74296
52.3558,4.73882
52.3559,4.73918
52.3559,4.73933
52.3559,4.73842
52.356,4.73981
52.3563,4.96592
52.3564,4.96622
52.3565,4.74094
52.3572,4.73881
52.3574,4.73848
52.3576,4.73862
52.3579,4.73516
52.358,4.84238
52.358,4.8426
52.3583,4.74232
52.3584,4.7374
52.3586,4.73628
52.3587,4.73846
52.3588,4.73642
52.3594,4.73941
52.3595,4.96798
52.3596,4.74242
52.3596,4.74304
52.3597,4.74212
52.3597,4.74274
52.3599,4.7432
52.36,4.74189
52.36,4.7351
52.3601,4.7342
52.3603,4.73283
52.3604,4.73295
52.3605,4.73311
52.3611,4.73204
52.3613,4.73228
52.3614,4.9688
52.3615,4.7316
52.3623,4.7298
52.3625,4.73007
52.3629,4.96987
52.3629,4.84221
52.3629,4.84248
52.363,4.7288
52.3634,4.73595
52.3639,4.74783
52.364,4.74844
52.3645,4.72598
52.3647,4.7254
52.3647,4.71708
52.3657,4.84213
52.3658,4.97142
52.3658,4.97122
52.3663,4.75247
52.3664,4.75255
52.3666,4.72183
52.3667,4.72193
52.3678,4.84232
52.368,4.75642
52.3681,4.7563
52.3689,4.71761
52.3689,4.71791
52.3691,4.97305
52.3693,4.97292
52.3699,4.67941
52.37,4.71534
52.3702,4.67607
52.3704,4.71504
52.3704,4.84202
52.3704,4.67406
52.3708,4.97358
52.3708,4.97343
52.3715,4.76299
52.3716,4.76287
52.3718,4.71218
52.3719,4.71232
52.3719,4.84221
52.3724,4.97401
52.3724,4.97385
52.3729,4.71035
52.3736,4.97419
52.3736,4.97401
52.3748,4.97405
52.3748,4.97422
52.3749,4.70908
52.3753,4.97421
52.3754,4.76633
52.3754,4.76659
52.3755,4.70877
52.3758,4.84309
52.3759,4.84333
52.3759,4.84319
52.3762,4.974
52.3771,4.9741
52.3771,4.9739
52.3773,4.70844
52.3778,4.70863
52.3794,4.84447
52.3795,4.70834
52.3799,4.84484
52.3801,4.7677
52.3802,4.76789
52.3811,4.70829
52.3811,4.70788
52.3813,4.97305
52.3813,4.97276
52.3832,4.84455
52.3832,4.84478
52.3833,4.97188
52.3835,4.70771
52.3836,4.97188
52.385,4.76773
52.385,4.76795
52.3852,4.71479
52.3852,4.7148
52.3854,4.70716
52.3857,4.84465
52.3861,4.97019
52.3861,4.96999
52.3881,4.84429
52.3881,4.96835
52.3881,4.84451
52.3883,4.70714
52.3883,4.70654
52.3883,4.70671
52.3883,4.70693
52.389,4.9678
52.3895,4.7703
52.3895,4.77055
52.3901,4.96667
52.3913,4.77319
52.3914,4.7731
52.3914,4.96546
52.3918,4.82017
52.3918,4.82785
52.3919,4.82006
52.3919,4.82785
52.392,4.70614
52.3921,4.81263
52.3921,4.70636
52.3922,4.81235
52.3922,4.83595
52.3922,4.9651
52.3922,4.84399
52.3923,4.83604
52.3923,4.84431
52.393,4.77836
52.393,4.80604
52.3931,4.80575
52.3932,4.77973
52.3933,4.77967
52.3933,4.78376
52.3933,4.7886
52.3933,4.79333
52.3934,4.7988
52.3935,4.78342
52.3935,4.78829
52.3935,4.79304
52.3935,4.79851
52.3936,4.70608
52.3948,4.96259
52.395,4.84208
52.3952,4.84229
52.3959,4.9619
52.3959,4.84504
52.3965,4.84484
52.3966,4.8449
52.3971,4.84467
52.3974,4.70526
52.3975,4.70543
52.3983,4.84685
52.3993,4.9576
52.3997,4.84813
52.3998,4.84764
52.3998,4.84869
52.4,4.84816
52.4001,4.84764
52.4002,4.95657
52.4013,4.85004
52.4016,4.84988
52.402,4.70449
52.4021,4.70468
52.4025,4.85188
52.4029,4.85225
52.4029,4.85213
52.4029,4.85128
52.403,4.95113
52.4031,4.85189
52.4031,4.85131
52.4032,4.85171
52.4032,4.85107
52.4036,4.85335
52.4038,4.94981
52.4044,4.8539
52.4047,4.85376
52.4047,4.85321
52.4051,4.94689
52.4059,4.70303
52.4059,4.85458
52.406,4.7032
52.4061,4.94349
52.4066,4.8556
52.4066,4.85584
52.4069,4.85694
52.407,4.8567
52.4073,4.93909
52.4074,4.93925
52.4085,4.70167
52.4086,4.70184
52.4089,4.85878
52.409,4.85872
52.4094,4.93263
52.4097,4.86008
52.4097,4.86032
52.4111,4.70032
52.4111,4.70049
52.4111,4.86105
52.4112,4.86094
52.4113,4.86165
52.4114,4.86205
52.4115,4.92882
52.4122,4.92699
52.4123,4.86224
52.4124,4.86212
52.4124,4.86277
52.4126,4.86321
52.4132,4.86349
52.4133,4.86317
52.4134,4.86304
52.4134,4.86393
52.4136,4.69895
52.4137,4.69911
52.4139,4.86374
52.414,4.86362
52.414,4.86426
52.414,4.86452
52.4146,4.86481
52.4146,4.86437
52.4146,4.86508
52.4147,4.86425
52.4149,4.92197
52.4154,4.86558
52.4154,4.86587
52.4158,4.86553
52.4159,4.86541
52.4159,4.91924
52.4161,4.86631
52.4162,4.86661
52.4165,4.91749
52.4168,4.91778
52.4171,4.86678
52.4172,4.86663
52.4176,4.91538
52.4177,4.69604
52.4178,4.69617
52.4179,4.86826
52.4187,4.91172
52.4187,4.64372
52.4188,4.64372
52.4191,4.86923
52.4193,4.69454
52.4194,4.86902
52.4195,4.86881
52.4197,4.90999
52.4201,4.87079
52.4202,4.87045
52.4202,4.87039
52.4206,4.69257
52.4206,4.87041
52.4207,4.87015
52.4217,4.87482
52.422,4.69025
52.422,4.87427
52.4221,4.87501
52.4221,4.69039
52.4221,4.90477
52.4225,4.96168
52.4228,4.87494
52.4229,4.87445
52.4234,4.87434
52.4234,4.87731
52.4237,4.89955
52.4238,4.68702
52.4239,4.68716
52.424,4.96383
52.4242,4.88239
52.4243,4.88199
52.4245,4.95108
52.4249,4.88505
52.425,4.88508
52.425,4.89042
52.4253,4.88955
52.4256,4.68405
52.4256,4.68419
52.426,4.87429
52.426,4.87581
52.426,4.87504
52.4265,4.87457
52.4275,4.87201
52.4276,4.87219
52.4277,4.68124
52.4278,4.6814
52.4295,4.87075
52.4299,4.67881
52.43,4.87043
52.43,4.67896
52.4301,4.73391
52.431,4.85558
52.4311,4.86889
52.4316,4.86802
52.4317,4.86852
52.4319,4.64746
52.432,4.64708
52.4325,4.87414
52.4328,4.67581
52.4329,4.67596
52.4341,4.67445
52.4345,4.86481
52.4352,4.86453
52.436,4.67248
52.436,4.67263
52.4372,4.86183
52.4376,4.8618
52.4388,4.6698
52.4388,4.67001
52.4388,5.05085
52.4389,4.66951
52.4399,4.85888
52.4399,4.85921
52.4404,4.66793
52.4404,4.73456
52.4421,4.66773
52.4422,4.66797
52.4428,4.85561
52.443,4.85571
52.4438,5.01806
52.4442,4.666
52.4442,4.66394
52.4453,4.6669
52.4453,4.66709
52.4457,4.65433
52.4473,4.85054
52.4475,4.85064
52.4483,4.65491
52.4484,4.66718
52.4498,4.66725
52.4498,4.66746
52.4505,4.84706
52.4507,4.84716
52.4521,4.84551
52.4522,4.84558
52.4522,4.67637
52.4524,4.66824
52.4524,4.66845
52.4527,4.84426
