measurementSiteReference,index,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,specificLocation,alertCDirectionCoded,speed_id
GEO02_PNHTI506r,11C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,86
GEO02_PNHTI506r,12C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,87
GEO02_PNHTI506r,19C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,88
GEO02_PNHTI506r,20C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,89
GEO02_PNHTI506r,21C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,90
GEO02_PNHTI506r,22C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,91
GEO02_PNHTI506r,23C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,92
GEO02_PNHTI506r,24C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,93
GEO02_PNHTI506r,7C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,94
GEO02_PNHTI506r,8C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,95
GEO02_PNHTI506r,9C,N201 na kr N520 ri kr N196 thv hmp 27.6,52.3085,4.70949,10717,positive,96
GEO02_PNHTI507,10C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,97
GEO02_PNHTI507,11C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,98
GEO02_PNHTI507,12C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,99
GEO02_PNHTI507,19C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,100
GEO02_PNHTI507,20C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,101
GEO02_PNHTI507,21C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,102
GEO02_PNHTI507,22C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,103
GEO02_PNHTI507,23C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,104
GEO02_PNHTI507,24C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,105
GEO02_PNHTI507,31C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,106
GEO02_PNHTI507,32C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,107
GEO02_PNHTI507,33C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,108
GEO02_PNHTI507,34C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,109
GEO02_PNHTI507,35C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,110
GEO02_PNHTI507,36C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,111
GEO02_PNHTI507,7C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,112
GEO02_PNHTI507,8C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,113
GEO02_PNHTI507,9C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,114
GEO02_PNHTI507r,10C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,115
GEO02_PNHTI507r,11C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,116
GEO02_PNHTI507r,12C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,117
GEO02_PNHTI507r,19C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,118
GEO02_PNHTI507r,20C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,119
GEO02_PNHTI507r,21C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,120
GEO02_PNHTI507r,22C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,121
GEO02_PNHTI507r,23C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,122
GEO02_PNHTI507r,24C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,123
GEO02_PNHTI507r,31C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,124
GEO02_PNHTI507r,32C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,125
GEO02_PNHTI507r,33C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,126
GEO02_PNHTI507r,34C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,127
GEO02_PNHTI507r,35C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,128
