measurementSiteReference,index,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,specificLocation,alertCDirectionCoded,intensity_id
GEO02_PNHTI507,29C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,108
GEO02_PNHTI507,2C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,109
GEO02_PNHTI507,30C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,110
GEO02_PNHTI507,3C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,111
GEO02_PNHTI507,4C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,112
GEO02_PNHTI507,5C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,113
GEO02_PNHTI507,6C,N196 na kr N201 ri aansl Schiphol-Rijk thv hmp 0.9,52.2848,4.73054,22039,positive,114
GEO02_PNHTI507r,13C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,115
GEO02_PNHTI507r,14C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,116
GEO02_PNHTI507r,15C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,117
GEO02_PNHTI507r,16C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,118
GEO02_PNHTI507r,17C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,119
GEO02_PNHTI507r,18C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,120
GEO02_PNHTI507r,1C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,121
GEO02_PNHTI507r,25C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,122
GEO02_PNHTI507r,26C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,123
GEO02_PNHTI507r,27C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,124
GEO02_PNHTI507r,28C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,125
GEO02_PNHTI507r,29C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,126
GEO02_PNHTI507r,2C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,127
GEO02_PNHTI507r,30C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,128
GEO02_PNHTI507r,3C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,129
GEO02_PNHTI507r,4C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,130
GEO02_PNHTI507r,5C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,131
GEO02_PNHTI507r,6C,N196 na aansl Schiphol-Rijk ri kr N201 thv hmp 0.9,52.2849,4.73065,10719,negative,132
GEO02_PNHTI508,13C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,133
GEO02_PNHTI508,14C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,134
GEO02_PNHTI508,15C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,135
GEO02_PNHTI508,16C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,136
GEO02_PNHTI508,17C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,137
GEO02_PNHTI508,18C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,138
GEO02_PNHTI508,1C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,139
GEO02_PNHTI508,2C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,140
GEO02_PNHTI508,3C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,141
GEO02_PNHTI508,4C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,142
GEO02_PNHTI508,5C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,143
GEO02_PNHTI508,6C,N196 na afslag Aalsmeer ri kr N231 thv hmp 35.3,52.2578,4.77092,10746,positive,144
GEO02_PNHTI508r,13C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,145
GEO02_PNHTI508r,14C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,146
GEO02_PNHTI508r,15C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,147
GEO02_PNHTI508r,16C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,148
GEO02_PNHTI508r,17C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,149
GEO02_PNHTI508r,18C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,150
GEO02_PNHTI508r,1C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,151
GEO02_PNHTI508r,2C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,152
GEO02_PNHTI508r,3C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,153
GEO02_PNHTI508r,4C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,154
GEO02_PNHTI508r,5C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,155
GEO02_PNHTI508r,6C,N196 na kr N231 ri afslag Aalsmeer thv hmp 35.3,52.2578,4.77092,10722,negative,156
GEO02_PNHTI512,1C,N202 na afrit A22/A208 ri afslag Spaarnwoude thv hmp 2.2,52.4522,4.67637,10780,positive,157
GEO02_PNHTI512,2C,N202 na afrit A22/A208 ri afslag Spaarnwoude thv hmp 2.2,52.4522,4.67637,10780,positive,158
GEO02_PNHTI512,3C,N202 na afrit A22/A208 ri afslag Spaarnwoude thv hmp 2.2,52.4522,4.67637,10780,positive,159
GEO02_PNHTI512,4C,N202 na afrit A22/A208 ri afslag Spaarnwoude thv hmp 2.2,52.4522,4.67637,10780,positive,160
GEO02_PNHTI512,5C,N202 na afrit A22/A208 ri afslag Spaarnwoude thv hmp 2.2,52.4522,4.67637,10780,positive,161
GEO02_PNHTI512,6C,N202 na afrit A22/A208 ri afslag Spaarnwoude thv hmp 2.2,52.4522,4.67637,10780,positive,162
GEO02_PNHTI512r,1C,N202 na afslag Spaarnwoude ri afrit A22/A208 thv hmp 2.2,52.4522,4.67637,10781,negative,163
GEO02_PNHTI512r,2C,N202 na afslag Spaarnwoude ri afrit A22/A208 thv hmp 2.2,52.4522,4.67637,10781,negative,164
GEO02_PNHTI512r,3C,N202 na afslag Spaarnwoude ri afrit A22/A208 thv hmp 2.2,52.4522,4.67637,10781,negative,165
GEO02_PNHTI512r,4C,N202 na afslag Spaarnwoude ri afrit A22/A208 thv hmp 2.2,52.4522,4.67637,10781,negative,166
GEO02_PNHTI512r,5C,N202 na afslag Spaarnwoude ri afrit A22/A208 thv hmp 2.2,52.4522,4.67637,10781,negative,167
GEO02_PNHTI512r,6C,N202 na afslag Spaarnwoude ri afrit A22/A208 thv hmp 2.2,52.4522,4.67637,10781,negative,168
GEO02_PNHTI513,1C,N202 na aansl Halfweg ri afslag Spaarnwoude thv hmp 7.0,52.4301,4.73391,10784,negative,169
GEO02_PNHTI513,2C,N202 na aansl Halfweg ri afslag Spaarnwoude thv hmp 7.0,52.4301,4.73391,10784,negative,170
GEO02_PNHTI513,3C,N202 na aansl Halfweg ri afslag Spaarnwoude thv hmp 7.0,52.4301,4.73391,10784,negative,171
GEO02_PNHTI513,4C,N202 na aansl Halfweg ri afslag Spaarnwoude thv hmp 7.0,52.4301,4.73391,10784,negative,172
GEO02_PNHTI513,5C,N202 na aansl Halfweg ri afslag Spaarnwoude thv hmp 7.0,52.4301,4.73391,10784,negative,173
GEO02_PNHTI513,6C,N202 na aansl Halfweg ri afslag Spaarnwoude thv hmp 7.0,52.4301,4.73391,10784,negative,174
GEO02_PNHTI513r,1C,N202 na afslag Spaarnwoude ri aansl Halfweg thv hmp 7.0,52.4301,4.73391,10783,positive,175
GEO02_PNHTI513r,2C,N202 na afslag Spaarnwoude ri aansl Halfweg thv hmp 7.0,52.4301,4.73391,10783,positive,176
GEO02_PNHTI513r,3C,N202 na afslag Spaarnwoude ri aansl Halfweg thv hmp 7.0,52.4301,4.73391,10783,positive,177
GEO02_PNHTI513r,4C,N202 na afslag Spaarnwoude ri aansl Halfweg thv hmp 7.0,52.4301,4.73391,10783,positive,178
GEO02_PNHTI513r,5C,N202 na afslag Spaarnwoude ri aansl Halfweg thv hmp 7.0,52.4301,4.73391,10783,positive,179
GEO02_PNHTI513r,6C,N202 na afslag Spaarnwoude ri aansl Halfweg thv hmp 7.0,52.4301,4.73391,10783,positive,180
GEO02_PNHTI518,13C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,181
GEO02_PNHTI518,14C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,182
GEO02_PNHTI518,15C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,183
GEO02_PNHTI518,16C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,184
GEO02_PNHTI518,17C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,185
GEO02_PNHTI518,18C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,186
GEO02_PNHTI518,1C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,187
GEO02_PNHTI518,2C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,188
GEO02_PNHTI518,3C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,189
GEO02_PNHTI518,4C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,190
GEO02_PNHTI518,5C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,191
GEO02_PNHTI518,6C,N205 na afrit A205/A9 ri afrit N205/N232 thv hmp 9.7,52.3704,4.67406,19654,negative,192
GEO02_PNHTI518r,13C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,193
GEO02_PNHTI518r,14C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,194
GEO02_PNHTI518r,15C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,195
GEO02_PNHTI518r,16C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,196
GEO02_PNHTI518r,17C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,197
GEO02_PNHTI518r,18C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,198
GEO02_PNHTI518r,1C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,199
GEO02_PNHTI518r,2C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,200
GEO02_PNHTI518r,3C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,201
GEO02_PNHTI518r,4C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,202
GEO02_PNHTI518r,5C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,203
GEO02_PNHTI518r,6C,N205 na afrit A205/N232 ri afrit N205/N232,52.3702,4.67607,8181,positive,204
GEO02_PNHTI519,13C,N205 na kr N232 ri afslag Vijfhuizen (Floriade) thv hmp 16.3,52.3513,4.69689,8189,positive,205
GEO02_PNHTI519,14C,N205 na kr N232 ri afslag Vijfhuizen (Floriade) thv hmp 16.3,52.3513,4.69689,8189,positive,206
