startLocatieForDisplayLat	startLocatieForDisplayLong	ROADNUMBER	cor_id
52.4265	4.87457	A10	932
52.4275	4.87201	A8	933
52.4276	4.87219	A8	934
52.4277	4.68124	A9	935
52.4278	4.6814	A9	936
52.4295	4.87075	A10	937
52.4299	4.67881	A9	938
52.43	4.87043	A8	939
52.43	4.67896	A9	940
52.4301	4.73391	N202	941
52.431	4.85558	N516	942
52.4311	4.86889	A10	943
52.4316	4.86802	A8	944
52.4317	4.86852	A8	945
52.4319	4.64746	A208	946
52.432	4.64708	A208	947
52.4325	4.87414	N516	948
52.4328	4.67581	A9	949
52.4329	4.67596	A9	950
52.4341	4.67445	A9	951
52.4345	4.86481	A8	952
52.4352	4.86453	A8	953
52.436	4.67248	A9	954
52.436	4.67263	A9	955
52.4372	4.86183	A8	956
52.4376	4.8618	A8	957
52.4388	4.6698	A9	958
52.4388	4.67001	A9	959
52.4388	5.05085	N518	960
52.4389	4.66951	A22	961
52.4399	4.85888	A8	962
52.4399	4.85921	A8	963
52.4404	4.66793	A22	964
52.4404	4.73456	N246	965
52.4421	4.66773	A9	966
52.4422	4.66797	A9	967
52.4428	4.85561	A8	968
52.443	4.85571	A8	969
52.4438	5.01806	N247	970
52.4442	4.666	A9	971
52.4442	4.66394	A22	972
52.4453	4.6669	A9	973
52.4453	4.66709	A9	974
52.4457	4.65433	A208	975
52.4473	4.85054	A8	976
52.4475	4.85064	A8	977
52.4483	4.65491	A208	978
52.4484	4.66718	A9	979
52.4498	4.66725	A9	980
52.4498	4.66746	A9	981
52.4505	4.84706	A8	982
52.4507	4.84716	A8	983
52.4521	4.84551	A8	984
52.4522	4.84558	A8	985
52.4522	4.67637	N202	986
52.4524	4.66824	A9	987
52.4524	4.66845	A9	988
52.4527	4.84426	A7	989
