startLocatieForDisplayLat	startLocatieForDisplayLong	ROADNUMBER	cor_id
52.332	5.04346	A1	405
52.3321	5.0349	A1	406
52.3321	5.03898	A1	407
52.3321	5.04343	A1	408
52.3322	5.02722	A1	409
52.3322	5.03038	A1	410
52.3322	5.03269	A1	411
52.3322	5.03039	A1	412
52.3322	5.03054	A1	413
52.3322	5.04359	A1	414
52.3322	5.0267	A1	415
52.3322	4.92853	A10	416
52.3322	4.8989	A10	417
52.3322	4.6438	N201	418
52.3323	5.03061	A1	419
52.3323	5.035	A1	420
52.3323	5.01135	A1	421
52.3323	5.00757	A9	422
52.3323	4.92828	A10	423
52.3323	4.90058	A10	424
52.3324	5.01117	A1	425
52.3324	5.0227	A1	426
52.3324	5.01103	A1	427
52.3324	5.02555	A1	428
52.3324	5.00719	A1	429
52.3324	5.01736	A1	430
52.3325	5.00666	A1	431
52.3325	5.01717	A1	432
52.3325	5.00659	A1	433
52.3325	5.01113	A1	434
52.3325	5.00514	A9	435
52.3325	4.78786	A9	436
52.3326	5.00333	A1	437
52.3326	4.92789	A10	438
52.3326	4.64281	N201	439
52.3327	5.00695	A1	440
52.3327	4.93026	A10	441
52.3328	5.0036	A1	442
52.3329	4.92962	A10	443
52.333	5.00282	A1	444
52.333	5.00315	A1	445
52.333	5.00377	A1	446
52.3331	5.00383	A1	447
52.3335	4.99982	A1	448
52.3335	4.80434	A4	449
52.3337	4.9995	A1	450
52.3337	4.99994	A1	451
52.3337	4.9331	A10	452
52.3338	4.89546	A10	453
52.3339	4.73436	A5	454
52.3339	4.99969	A9	455
52.3339	4.93292	A10	456
52.3339	4.8976	A10	457
52.334	4.73458	A5	458
52.3341	4.80429	A4	459
52.3342	4.99887	A9	460
52.3343	5.00444	A1	461
52.3344	4.99724	A1	462
52.3345	4.89644	A10	463
52.3346	4.99734	A1	464
52.3346	4.99584	A1	465
52.3347	4.78358	A9	466
52.3348	4.99577	A1	467
52.3349	4.78361	A9	468
52.3349	4.93579	A10	469
52.3351	4.89446	A10	470
52.3352	4.80713	A4	471
52.3353	4.89247	A10	472
52.3354	4.9382	A10	473
52.3355	4.93812	A10	474
52.3357	4.93789	A10	475
52.3359	4.99184	A1	476
52.3361	4.99245	A1	477
52.3361	4.99199	A1	478
52.3361	4.80752	A4	479
52.3362	4.99217	A1	480
52.3362	4.8075	A4	481
52.3362	4.93976	A10	482
52.3362	4.89329	A10	483
52.3364	4.99242	A1	484
52.3364	4.99206	A1	485
52.3364	4.78044	A9	486
52.3364	4.93974	A10	487
52.3366	4.94118	A10	488
52.3367	4.73462	A5	489
52.3367	4.9403	A10	490
52.3368	4.73482	A5	491
52.3368	4.77985	A9	492
52.337	4.81111	A4	493
52.3372	4.98975	A1	494
52.3372	4.81101	A4	495
52.3372	4.84651	A10	496
52.3373	4.98989	A1	497
52.3374	4.85124	A10	498
52.3376	4.83581	A4	499
52.3376	4.94455	A10	500
52.3376	4.94362	A10	501
52.3377	4.83897	A4	502
52.3377	4.85904	A10	503
52.3378	4.83476	A4	504
52.3378	4.85905	A10	505
52.3379	4.84096	A4	506
52.3379	4.81163	A4	507
52.3381	4.81698	A4	508
52.3381	4.88618	A10	509
52.3381	4.86294	A10	510
52.3381	4.84459	A10	511
52.3382	4.83486	A4	512
52.3382	4.82938	A4	513
52.3382	4.94629	A10	514
52.3383	4.82358	A4	515
52.3383	4.817	A4	516
52.3383	4.85033	A10	517
52.3384	4.77667	A9	518
52.3384	4.87125	A10	519
52.3384	4.94814	A10	520
52.3385	4.84191	A4	521
52.3385	4.77675	A9	522
52.3385	4.85447	A10	523
52.3386	4.86286	A10	524
52.3386	4.87777	A10	525
52.3386	4.84158	A10	526
52.3387	4.81615	A4	527
52.3387	4.88811	A10	528
52.3388	4.82007	A4	529
52.3389	4.81792	A4	530
52.3389	4.8386	A4	531
52.3389	4.8309	A4	532
52.3389	4.82371	A4	533
52.3389	4.8601	A10	534
52.3389	4.94956	A10	535
52.3389	4.8621	A10	536
52.339	4.83084	A10	537
52.339	4.94955	A10	538
52.339	4.82655	A4	539
52.339	4.82659	A10	540
52.3391	4.98616	A1	541
52.3392	4.86728	A10	542
52.3393	4.98649	A1	543
52.3393	4.83906	A10	544
52.3394	4.98661	A1	545
52.3394	4.7348	A5	546
52.3394	4.73504	A5	547
52.3395	4.87426	A10	548
52.3397	4.88084	A10	549
52.3398	4.6358	N201	550
52.3399	4.95146	A10	551
52.34	4.95128	A10	552
52.3402	4.95125	A10	553
52.3406	4.98437	A1	554
52.3413	4.84093	A10	555
52.3413	4.95321	A10	556
52.3414	4.77008	A9	557
52.3414	4.95393	A10	558
52.3415	4.77002	A9	559
52.3417	4.84148	A10	560
52.3421	4.73505	A5	561
52.3421	4.73531	A5	562
52.3431	4.98128	A1	563
52.3432	4.9815	A1	564
52.3435	4.76531	A9	565
52.3437	4.95523	A1	566
52.3437	4.95576	A10	567
52.3441	4.76421	A9	568
52.3443	4.76418	A9	569
52.3444	4.7662	A9	570
52.3444	4.84088	A10	571
52.3449	4.97901	A1	572
52.345	4.95667	A10	573
52.3454	4.97708	A1	574
52.3454	4.76151	A9	575
52.3455	4.73537	A5	576
52.3455	4.73564	A5	577
52.3455	4.84111	A10	578
52.3457	4.97747	A1	579
52.346	4.76039	A9	580
52.3467	4.97452	A1	581
52.3467	4.95865	A10	582
52.3469	4.95834	A1	583
52.3469	4.84088	A10	584
52.3472	4.95946	A1	585
52.3474	4.97359	A1	586
52.3478	4.97186	A1	587
52.3479	4.75694	A9	588
52.3483	4.75576	A9	589
52.3488	4.96995	A1	590
52.349	4.96068	A10	591
52.3493	4.73602	A5	592
52.3494	4.73586	A5	593
52.3494	4.96486	A10	594
52.3495	4.7363	A5	595
52.3501	4.75277	A9	596
52.3502	4.96085	A1	597
52.3502	4.9642	A1	598
52.3506	4.9656	A1	599
52.3508	4.84225	A10	600
52.3508	4.84251	A10	601
52.351	4.96273	A10	602
52.3511	4.75029	A9	603
52.3512	4.75041	A9	604
52.3512	4.96166	A10	605
52.3513	4.69689	N205	606
52.3516	4.96592	A1	607
52.3518	4.73741	A5	608
52.3519	4.73693	A5	609
52.3519	4.73709	A5	610
52.352	4.73673	A5	611
52.3522	4.74063	N232	612
52.3523	4.74868	A9	613
52.3524	4.74878	A9	614
52.3528	4.96288	A10	615
52.3529	4.84231	A10	616
52.3529	4.84236	A10	617
52.353	4.96392	A10	618
52.353	4.96395	A10	619
52.3533	4.96443	A10	620
52.3533	4.73777	A5	621
52.3534	4.84249	A10	622
52.3537	4.74525	A5	623
52.3538	4.74017	A5	624
52.3539	4.74554	A9	625
52.3539	4.74509	A9	626
52.354	4.73811	A5	627
52.354	4.74523	A9	628
52.354	4.84272	A10	629
52.3542	4.74551	A9	630
52.3545	4.74463	A9	631
52.3546	4.73693	A9	632
52.3551	4.96522	A10	633
52.3554	4.74339	A9	634
52.3554	4.74331	A9	635
52.3558	4.74296	A5	636
52.3558	4.73882	A5	637
52.3559	4.73918	A5	638
52.3559	4.73933	A5	639
52.3559	4.73842	A5	640
52.356	4.73981	A9	641
52.3563	4.96592	A10	642
52.3564	4.96622	A10	643
52.3565	4.74094	A9	644
52.3572	4.73881	A5	645
52.3574	4.73848	A9	646
52.3576	4.73862	A9	647
52.3579	4.73516	A9	648
52.358	4.84238	A10	649
52.358	4.8426	A10	650
52.3583	4.74232	A5	651
52.3584	4.7374	A9	652
52.3586	4.73628	A9	653
52.3587	4.73846	A9	654
52.3588	4.73642	A9	655
52.3594	4.73941	A5	656
52.3595	4.96798	A10	657
52.3596	4.74242	A5	658
52.3596	4.74304	A9	659
52.3597	4.74212	A5	660
52.3597	4.74274	A5	661
52.3599	4.7432	A9	662
52.36	4.74189	A5	663
52.36	4.7351	A5	664
52.3601	4.7342	A9	665
52.3603	4.73283	A9	666
52.3604	4.73295	A9	667
52.3605	4.73311	A9	668
52.3611	4.73204	A9	669
52.3613	4.73228	A5	670
52.3614	4.9688	A10	671
52.3615	4.7316	A9	672
52.3623	4.7298	A9	673
52.3625	4.73007	A5	674
52.3629	4.96987	A10	675
52.3629	4.84221	A10	676
52.3629	4.84248	A10	677
52.363	4.7288	A9	678
52.3634	4.73595	N519	679
52.3639	4.74783	A5	680
52.364	4.74844	A5	681
52.3645	4.72598	A9	682
52.3647	4.7254	A9	683
52.3647	4.71708	N232	684
52.3657	4.84213	A10	685
52.3658	4.97142	A10	686
52.3658	4.97122	A10	687
52.3663	4.75247	A5	688
52.3664	4.75255	A5	689
52.3666	4.72183	A9	690
52.3667	4.72193	A9	691
52.3678	4.84232	A10	692
52.368	4.75642	A5	693
52.3681	4.7563	A5	694
52.3689	4.71761	A9	695
52.3689	4.71791	A9	696
52.3691	4.97305	A10	697
52.3693	4.97292	A10	698
52.3699	4.67941	N232	699
52.37	4.71534	A9	700
52.3702	4.67607	N205	701
52.3704	4.71504	A9	702
52.3704	4.84202	A10	703
52.3704	4.67406	N205	704
52.3708	4.97358	A10	705
52.3708	4.97343	A10	706
52.3715	4.76299	A5	707
52.3716	4.76287	A5	708
52.3718	4.71218	A9	709
52.3719	4.71232	A9	710
52.3719	4.84221	A10	711
52.3724	4.97401	A10	712
52.3724	4.97385	A10	713
52.3729	4.71035	A9	714
52.3736	4.97419	A10	715
52.3736	4.97401	A10	716
52.3748	4.97405	A10	717
52.3748	4.97422	A10	718
52.3749	4.70908	A9	719
52.3753	4.97421	A10	720
52.3754	4.76633	A5	721
52.3754	4.76659	A5	722
52.3755	4.70877	A9	723
52.3758	4.84309	A10	724
52.3759	4.84333	A10	725
52.3759	4.84319	A10	726
52.3762	4.974	A10	727
52.3771	4.9741	A10	728
52.3771	4.9739	A10	729
52.3773	4.70844	A9	730
52.3778	4.70863	A9	731
52.3794	4.84447	A10	732
52.3795	4.70834	A9	733
52.3799	4.84484	A10	734
52.3801	4.7677	A5	735
52.3802	4.76789	A5	736
52.3811	4.70829	A9	737
52.3811	4.70788	A9	738
52.3813	4.97305	A10	739
52.3813	4.97276	A10	740
52.3832	4.84455	A10	741
52.3832	4.84478	A10	742
52.3833	4.97188	A10	743
52.3835	4.70771	A9	744
52.3836	4.97188	A10	745
52.385	4.76773	A5	746
52.385	4.76795	A5	747
52.3852	4.71479	A200	748
52.3852	4.7148	A200	749
52.3854	4.70716	A9	750
52.3857	4.84465	A10	751
52.3861	4.97019	A10	752
52.3861	4.96999	A10	753
52.3881	4.84429	A10	754
52.3881	4.96835	A10	755
52.3881	4.84451	A10	756
52.3883	4.70714	A9	757
52.3883	4.70654	A9	758
52.3883	4.70671	A9	759
52.3883	4.70693	A9	760
52.389	4.9678	A10	761
52.3895	4.7703	A5	762
52.3895	4.77055	A5	763
52.3901	4.96667	A10	764
52.3913	4.77319	A5	765
52.3914	4.7731	A5	766
52.3914	4.96546	A10	767
52.3918	4.82017	A5	768
52.3918	4.82785	A5	769
52.3919	4.82006	A5	770
52.3919	4.82785	A5	771
52.392	4.70614	A9	772
52.3921	4.81263	A5	773
52.3921	4.70636	A9	774
52.3922	4.81235	A5	775
52.3922	4.83595	A5	776
52.3922	4.9651	A10	777
52.3922	4.84399	A10	778
52.3923	4.83604	A5	779
52.3923	4.84431	A10	780
52.393	4.77836	A5	781
52.393	4.80604	A5	782
52.3931	4.80575	A5	783
52.3932	4.77973	A5	784
52.3933	4.77967	A5	785
52.3933	4.78376	A5	786
52.3933	4.7886	A5	787
52.3933	4.79333	A5	788
52.3934	4.7988	A5	789
52.3935	4.78342	A5	790
52.3935	4.78829	A5	791
52.3935	4.79304	A5	792
52.3935	4.79851	A5	793
52.3936	4.70608	A9	794
52.3948	4.96259	A10	795
52.395	4.84208	A5	796
52.3952	4.84229	A5	797
52.3959	4.9619	A10	798
52.3959	4.84504	A10	799
52.3965	4.84484	A10	800
52.3966	4.8449	A10	801
52.3971	4.84467	A10	802
52.3974	4.70526	A9	803
52.3975	4.70543	A9	804
52.3983	4.84685	A10	805
52.3993	4.9576	A10	806
52.3997	4.84813	A5	807
52.3998	4.84764	A5	808
52.3998	4.84869	A10	809
52.4	4.84816	A10	810
52.4001	4.84764	A10	811
52.4002	4.95657	A10	812
52.4013	4.85004	A5	813
52.4016	4.84988	A5	814
52.402	4.70449	A9	815
52.4021	4.70468	A9	816
52.4025	4.85188	A10	817
52.4029	4.85225	A10	818
52.4029	4.85213	A10	819
52.4029	4.85128	A10	820
52.403	4.95113	A10	821
52.4031	4.85189	A10	822
52.4031	4.85131	A10	823
52.4032	4.85171	A5	824
52.4032	4.85107	A10	825
52.4036	4.85335	A10	826
52.4038	4.94981	A10	827
52.4044	4.8539	A10	828
52.4047	4.85376	A10	829
52.4047	4.85321	A10	830
52.4051	4.94689	A10	831
52.4059	4.70303	A9	832
52.4059	4.85458	A10	833
52.406	4.7032	A9	834
52.4061	4.94349	A10	835
52.4066	4.8556	A10	836
52.4066	4.85584	A10	837
52.4069	4.85694	A10	838
52.407	4.8567	A10	839
52.4073	4.93909	A10	840
52.4074	4.93925	A10	841
52.4085	4.70167	A9	842
52.4086	4.70184	A9	843
52.4089	4.85878	A10	844
52.409	4.85872	A10	845
