measurementSiteReference,generatedSiteName,startLocatieForDisplayLat,startLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,LocationTableNumber,LocationTableVersion,specificLocation,offsetDistance,LOC_TYPE,LOC_DES,trafficID
RWS01_MONIBAS_0091hrr0235ra,A9 northBound naar Amstelveen na afrit 2 ri afrit 4 thv hmp 23.6,52.2869,4.92617,positive,A9,5.11,A,21698,660,P1.3,Afrit,176
RWS01_MONIBAS_0091hrr0241ra,A9 northBound naar Amstelveen na afrit 2 ri afrit 4 thv hmp 24.1,52.288,4.918,positive,A9,5.11,A,21698,1230,P1.3,Afrit,177
RWS01_MONIBAS_0091hrr0247ra,A9 northBound naar Amstelveen na afrit 2 ri afrit 4 thv hmp 24.8,52.2896,4.90932,positive,A9,5.11,A,21698,1850,P1.3,Afrit,178
RWS01_MONIBAS_0091hrr0253ra,A9 northBound naar Amstelveen na afrit 2 ri afrit 4 thv hmp 25.4,52.2917,4.9011,positive,A9,5.11,A,21698,2460,P1.3,Afrit,179
RWS01_MONIBAS_0091hrr0259ra,A9 northBound naar Amstelveen na afrit 2 ri afrit 4 thv hmp 26.0,52.2942,4.89325,positive,A9,5.11,A,21698,3060,P1.3,Afrit,180
RWS01_MONIBAS_0091hrr0262ra,A9 northBound naar Amstelveen na afrit 4 ri afrit 5 thv hmp 26.3,52.2953,4.88862,positive,A9,5.11,A,10572,95,P1.3,Afrit,181
RWS01_MONIBAS_0091hrr0267ra,A9 northBound naar Amstelveen na afrit 4 ri afrit 5 thv hmp 26.7,52.2963,4.88237,positive,A9,5.11,A,10572,540,P1.3,Afrit,182
RWS01_MONIBAS_0091hrr0272ra,A9 northBound naar Amstelveen na afrit 4 ri afrit 5 thv hmp 27.3,52.2974,4.87478,positive,A9,5.11,A,10572,1070,P1.3,Afrit,183
RWS01_MONIBAS_0091hrr0278ra,A9 northBound naar Amstelveen na afrit 4 ri afrit 5 thv hmp 27.8,52.299,4.86688,positive,A9,5.11,A,10572,1640,P1.3,Afrit,184
RWS01_MONIBAS_0091hrr0282ra,A9 northBound naar Amstelveen na afrit 4 ri afrit 5 thv hmp 28.3,52.3004,4.86127,positive,A9,5.11,A,10572,2050,P1.3,Afrit,185
RWS01_MONIBAS_0091hrr0287ra,A9 northBound naar Alkmaar na afrit 5 ri afrit 6 thv hmp 28.7,52.3018,4.85514,positive,A9,5.11,A,10573,400,P1.3,Afrit,186
RWS01_MONIBAS_0091hrr0293ra,A9 northBound naar Alkmaar na afrit 5 ri afrit 6 thv hmp 29.3,52.3043,4.84664,positive,A9,5.11,A,10573,1045,P1.3,Afrit,187
RWS01_MONIBAS_0091hrr0297ra,A9 northBound naar Alkmaar na afrit 5 ri afrit 6 thv hmp 29.7,52.3049,4.84155,positive,A9,5.11,A,10573,1400,P1.3,Afrit,188
RWS01_MONIBAS_0091hrr0302ra,A9 northBound naar Alkmaar na afrit 5 ri afrit 6 thv hmp 30.3,52.3063,4.83313,positive,A9,5.11,A,10573,1970,P1.3,Afrit,189
RWS01_MONIBAS_0091hrr0308ra,A9 northBound naar Alkmaar na afrit 5 ri afrit 6 thv hmp 30.9,52.3083,4.82517,positive,A9,5.11,A,10573,2570,P1.3,Afrit,190
RWS01_MONIBAS_0091hrr0313ra,A9 northBound naar Alkmaar na afrit 5 ri afrit 6 thv hmp 31.4,52.3106,4.81942,positive,A9,5.11,A,10573,3050,P1.3,Afrit,191
RWS01_MONIBAS_0091hrr0318ra,A9 northBound naar Alkmaar na afrit 5 ri afrit 6 thv hmp 31.8,52.3138,4.81433,positive,A9,5.11,A,10575,249,P3.2,Brug,192
RWS01_MONIBAS_0091hrr0322ra,A9 northBound naar Alkmaar na afrit 6 ri knppnt Badhoevedorp thv hmp 32.2,52.3165,4.81107,positive,A9,5.11,A,10576,224,P1.3,Afrit,193
RWS01_MONIBAS_0091hrr0326ra,A9 northBound naar Alkmaar na afrit 6 ri knppnt Badhoevedorp thv hmp 32.7,52.3198,4.80811,positive,A9,5.11,A,10576,650,P1.3,Afrit,194
RWS01_MONIBAS_0091hrr0328ra,A9 northBound naar Alkmaar na afrit 6 ri knppnt Badhoevedorp thv hmp 32.8,52.3213,4.80671,positive,A9,5.11,A,10576,845,P1.3,Afrit,195
RWS01_MONIBAS_0091hrr0330ra,A9 northBound naar Alkmaar na afrit 6 ri knppnt Badhoevedorp thv hmp 33.1,52.3231,4.80478,positive,A9,5.11,A,10576,1080,P1.3,Afrit,196
RWS01_MONIBAS_0091hrr0339ra,A9 northBound naar Alkmaar op knppnt Badhoevedorp ri afrit 7 thv hmp 33.9,52.3284,4.79573,positive,A9,5.11,A,10579,635,P1.1,Knooppunt,197
RWS01_MONIBAS_0091hrr0344ra,A9 northBound naar Alkmaar op knppnt Badhoevedorp ri afrit 7 thv hmp 34.4,52.3312,4.79048,positive,A9,5.11,A,10579,1105,P1.1,Knooppunt,198
RWS01_MONIBAS_0091hrr0350ra,A9 northBound naar Alkmaar op knppnt Badhoevedorp ri afrit 7 thv hmp 35.0,52.3349,4.78361,positive,A9,5.11,A,10579,1721,P1.1,Knooppunt,199
RWS01_MONIBAS_0091hrr0353ra,A9 northBound naar Alkmaar op knppnt Badhoevedorp ri afrit 7 thv hmp 35.4,52.3368,4.77985,positive,A9,5.11,A,10579,2057,P1.1,Knooppunt,200
RWS01_MONIBAS_0091hrr0356ra,A9 northBound naar Alkmaar op knppnt Badhoevedorp ri afrit 7 thv hmp 35.6,52.3385,4.77675,positive,A9,5.11,A,10579,2333,P1.1,Knooppunt,201
RWS01_MONIBAS_0091hrr0362ra,A9 northBound naar Alkmaar op knppnt Badhoevedorp ri afrit 7 thv hmp 36.2,52.3415,4.77002,positive,A9,5.11,A,10579,2900,P1.1,Knooppunt,202
RWS01_MONIBAS_0091hrr0367ra,A9 northBound naar Alkmaar na afrit 7 ri knppnt Raasdorp thv hmp 36.7,52.3443,4.76418,positive,A9,5.11,A,10582,208,P1.3,Afrit,203
RWS01_MONIBAS_0091hrr0373ra,A9 northBound naar Alkmaar na afrit 7 ri knppnt Raasdorp thv hmp 37.4,52.3479,4.75694,positive,A9,5.11,A,10582,850,P1.3,Afrit,204
RWS01_MONIBAS_0091hrr0377ra,A9 northBound naar Alkmaar na afrit 7 ri knppnt Raasdorp thv hmp 37.7,52.3501,4.75277,positive,A9,5.11,A,10582,1229,P1.3,Afrit,205
RWS01_MONIBAS_0091hrr0381ra,A9 northBound naar Alkmaar op knppnt Raasdorp ri afrit Haarlem-Zuid thv hmp 38.1,52.3523,4.74868,positive,A9,5.11,A,10624,300,P1.1,Knooppunt,206
