date,dataType,hour,dateID
2016-06-17,Flow,13,258
2016-06-17,Flow,14,259
2016-06-17,Flow,15,260
2016-06-17,Flow,16,261
2016-06-17,Flow,17,262
2016-06-17,Flow,18,263
2016-06-17,Flow,19,264
2016-06-17,Flow,20,265
2016-06-17,Flow,21,266
2016-06-17,Flow,22,267
2016-06-17,Flow,23,268
2016-06-18,Flow,00,269
2016-06-18,Flow,01,270
2016-06-18,Flow,02,271
2016-06-18,Flow,03,272
2016-06-18,Flow,04,273
2016-06-18,Flow,05,274
2016-06-18,Flow,06,275
2016-06-18,Flow,07,276
2016-06-18,Flow,08,277
2016-06-18,Flow,09,278
2016-06-18,Flow,10,279
2016-06-18,Flow,11,280
2016-06-18,Flow,12,281
2016-06-18,Flow,13,282
2016-06-18,Flow,14,283
2016-06-18,Flow,15,284
2016-06-18,Flow,16,285
2016-06-18,Flow,17,286
2016-06-18,Flow,18,287
2016-06-18,Flow,19,288
2016-06-18,Flow,20,289
2016-06-18,Flow,21,290
2016-06-18,Flow,22,291
2016-06-18,Flow,23,292
2016-06-19,Flow,00,293
2016-06-19,Flow,01,294
2016-06-19,Flow,02,295
2016-06-19,Flow,04,296
2016-06-19,Flow,05,297
2016-06-19,Flow,06,298
2016-06-19,Flow,07,299
2016-06-24,Flow,19,300
2016-06-24,Flow,20,301
2016-06-24,Flow,21,302
2016-06-24,Flow,22,303
2016-06-24,Flow,23,304
2016-06-25,Flow,00,305
2016-06-25,Flow,01,306
2016-06-25,Flow,02,307
2016-06-25,Flow,03,308
2016-06-25,Flow,04,309
2016-06-25,Flow,05,310
2016-06-25,Flow,06,311
2016-06-25,Flow,07,312
2016-06-25,Flow,08,313
2016-06-25,Flow,09,314
2016-06-25,Flow,10,315
2016-06-25,Flow,11,316
2016-06-25,Flow,12,317
2016-06-25,Flow,13,318
2016-06-25,Flow,14,319
2016-06-25,Flow,15,320
2016-06-25,Flow,16,321
2016-06-25,Flow,17,322
2016-06-25,Flow,18,323
2016-06-25,Flow,19,324
2016-06-25,Flow,20,325
2016-06-25,Flow,21,326
2016-06-25,Flow,22,327
2016-06-25,Flow,23,328
2016-06-26,Flow,00,329
2016-06-26,Flow,01,330
2016-06-26,Flow,02,331
2016-06-26,Flow,03,332
2016-06-26,Flow,04,333
2016-06-26,Flow,05,334
2016-06-26,Flow,06,335
2016-06-26,Flow,07,336
2016-06-26,Flow,08,337
2016-06-26,Flow,09,338
2016-06-26,Flow,10,339
2016-06-26,Flow,11,340
2016-06-26,Flow,12,341
2016-06-26,Flow,13,342
2016-06-26,Flow,14,343
2016-06-26,Flow,15,344
2016-06-26,Flow,16,345
2016-06-26,Flow,17,346
2016-06-26,Flow,18,347
2016-06-26,Flow,19,348
2016-06-26,Flow,20,349
