measurementSiteReference,generatedSiteName,carriageway,startLocatieForDisplayLat,startLocatieForDisplayLong,eindLocatieForDisplayLat,eindLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,LocationTableNumber,LocationTableVersion,specificLocation,offsetDistance,LOC_TYPE,LOC_DES,measurementSiteNumberOfLanes,primaryLocation_specificLocation,primaryLocation_offsetDistance,secondaryLocation_specificLocation,secondaryLocation_offsetDistance,ROADNUMBER_PRIM,lengthAffected
RWS01_MONIBAS_0040vwn0105ra0,Nog niet gegenereerd,,52.2899,4.73093,52.2936,4.73472,positive,A4,5.11,A,9226,1230,P1.2,Knooppunt (triangle),2,9226,1230,9240,400,A4,470
RWS01_MONIBAS_0040vwn0108rb0,Nog niet gegenereerd,,52.288,4.72724,52.2899,4.73093,positive,A4,5.11,A,9226,1700,P1.2,Knooppunt (triangle),2,9226,1700,9240,69,A4,331
RWS01_MONIBAS_0040vwn0113ra0,Nog niet gegenereerd,,52.2843,4.72182,52.288,4.72724,positive,A4,5.11,A,9226,2031,P1.3,Afrit,2,9226,2031,9225,714,A4,555
RWS01_MONIBAS_0040vwn0118ra0,Nog niet gegenereerd,,52.2811,4.71732,52.2843,4.72182,positive,A4,5.11,A,9225,186,P1.3,Afrit,2,9225,186,9225,250,A4,464
RWS01_MONIBAS_0040vwn0124ra0,Nog niet gegenereerd,,52.2768,4.71117,52.2811,4.71732,positive,A4,5.11,A,9225,650,P1.3,Afrit,3,9225,650,21980,808,A4,642
RWS01_MONIBAS_0040vwn0129ra0,Nog niet gegenereerd,,52.2736,4.70652,52.2768,4.71117,positive,A4,5.11,A,9225,1292,P1.3,Afrit,2,9225,1292,21980,331,A4,477
RWS01_MONIBAS_0041hrl0011ra0,Nog niet gegenereerd,,52.3382,4.82938,52.3377,4.83897,positive,A4,5.11,A,9237,488,P1.3,Afrit,3,9237,488,9234,1544,A4,668
RWS01_MONIBAS_0041hrl0011rb0,Nog niet gegenereerd,,52.3382,4.82938,52.3376,4.83581,positive,A4,5.11,A,9236,700,P1.3,Afrit,2,9236,700,9234,1544,A4,456
RWS01_MONIBAS_0041hrl0015ra0,Nog niet gegenereerd,,52.3383,4.82358,52.3382,4.82938,positive,A4,5.11,A,9237,1156,P1.3,Afrit,3,9237,1156,9234,1150,A4,394
RWS01_MONIBAS_0041hrl0015rb0,Nog niet gegenereerd,,52.3383,4.82358,52.3382,4.82938,positive,A4,5.11,A,9237,1156,P1.3,Afrit,2,9237,1156,9234,1150,A4,394
RWS01_MONIBAS_0041hrl0020ra0,Nog niet gegenereerd,,52.3383,4.817,52.3383,4.82358,positive,A4,5.11,A,9237,1550,P1.3,Afrit,4,9237,1550,9234,699,A4,451
RWS01_MONIBAS_0041hrl0020ra1,Nog niet gegenereerd,,52.3383,4.817,52.3383,4.82358,positive,A4,5.11,A,9237,1550,P1.3,Afrit,4,9237,1550,9234,699,A4,451
RWS01_MONIBAS_0041hrl0024ra0,Nog niet gegenereerd,,52.3372,4.81101,52.3383,4.817,positive,A4,5.11,A,9234,201,P1.3,Afrit,4,9234,201,9234,259,A4,440
RWS01_MONIBAS_0041hrl0027ra0,Nog niet gegenereerd,,52.3352,4.80713,52.3372,4.81101,positive,A4,5.11,A,9234,641,P1.1,Knooppunt,5,9234,641,9231,2214,A4,345
RWS01_MONIBAS_0041hrl0030ra0,Nog niet gegenereerd,,52.3335,4.80434,52.3352,4.80713,positive,A4,5.11,A,9234,986,P1.1,Knooppunt,5,9234,986,9231,1944,A4,270
RWS01_MONIBAS_0041hrl0036ra0,Nog niet gegenereerd,,52.3298,4.79805,52.3335,4.80434,positive,A4,5.11,A,9234,1256,P1.1,Knooppunt,3,9234,1256,9231,1355,A4,589
RWS01_MONIBAS_0041hrl0040ra0,Nog niet gegenereerd,,52.3279,4.79366,52.3298,4.79805,positive,A4,5.11,A,9231,445,P1.1,Knooppunt,3,9231,445,9231,990,A4,365
RWS01_MONIBAS_0041hrl0044ra0,Nog niet gegenereerd,,52.3264,4.78804,52.3279,4.79366,positive,A4,5.11,A,9231,810,P1.1,Knooppunt,3,9231,810,9231,570,A4,420
RWS01_MONIBAS_0041hrl0052ra0,Nog niet gegenereerd,,52.3249,4.7768,52.3264,4.78804,positive,A4,5.11,A,9231,1230,P3.1,Tunnel,4,9231,1230,9228,2185,A4,785
RWS01_MONIBAS_0041hrl0055ra0,Nog niet gegenereerd,,52.3243,4.77201,52.3249,4.7768,positive,A4,5.11,A,9231,2015,P3.1,Tunnel,4,9231,2015,9228,1851,A4,334
RWS01_MONIBAS_0041hrl0055rb0,Nog niet gegenereerd,,52.3244,4.77271,52.3249,4.7768,positive,A4,5.11,A,9231,2015,P3.1,Tunnel,2,9231,2015,9228,1900,A4,285
RWS01_MONIBAS_0041hrl0059ra0,Nog niet gegenereerd,,52.3235,4.76659,52.3243,4.77201,positive,A4,5.11,A,9231,2349,P3.1,Tunnel,4,9231,2349,9228,1470,A4,381
RWS01_MONIBAS_0041hrl0059rb0,Nog niet gegenereerd,,52.3236,4.76701,52.3244,4.77271,positive,A4,5.11,A,9231,2300,P3.1,Tunnel,2,9231,2300,9228,1500,A4,400
RWS01_MONIBAS_0041hrl0063ra0,Nog niet gegenereerd,,52.3222,4.76165,52.3235,4.76659,positive,A4,5.11,A,9231,2730,P3.1,Tunnel,4,9231,2730,9228,1100,A4,370
RWS01_MONIBAS_0041hrl0065ra0,Nog niet gegenereerd,,52.3206,4.75823,52.3222,4.76165,positive,A4,5.11,A,9231,3100,P3.1,Tunnel,4,9231,3100,9228,808,A4,292
RWS01_MONIBAS_0041hrl0069ra0,Nog niet gegenereerd,,52.3185,4.75519,52.3206,4.75823,positive,A4,5.11,A,9231,3392,P3.1,Tunnel,4,9231,3392,9228,498,A4,310
RWS01_MONIBAS_0041hrl0073ra0,Nog niet gegenereerd,,52.3148,4.75193,52.3185,4.75519,positive,A4,5.11,A,9227,602,P3.47,Viaduct,4,9227,602,9226,1431,A4,467
RWS01_MONIBAS_0041hrl0076ra0,Nog niet gegenereerd,,52.3121,4.75021,52.3148,4.75193,positive,A4,5.11,A,9227,1069,P1.3,Afrit,4,9227,1069,9227,805,A4,326
RWS01_MONIBAS_0041hrl0081ra0,Nog niet gegenereerd,,52.3083,4.74806,52.3121,4.75021,positive,A4,5.11,A,9227,1395,P1.3,Afrit,4,9227,1395,9227,360,A4,445
RWS01_MONIBAS_0041hrl0086ra0,Nog niet gegenereerd,,52.3041,4.7454,52.3083,4.74806,positive,A4,5.11,A,9227,1840,P3.47,Viaduct,4,9227,1840,9226,165,A4,495
RWS01_MONIBAS_0041hrl0089ra0,Nog niet gegenereerd,,52.3014,4.74368,52.3041,4.7454,positive,A4,5.11,A,9227,2335,P1.2,Knooppunt (triangle),4,9227,2335,9240,1938,A4,327
RWS01_MONIBAS_0041hrl0093rb0,Nog niet gegenereerd,,52.2982,4.7411,52.3014,4.74368,positive,A4,5.11,A,9226,162,P1.2,Knooppunt (triangle),4,9226,162,9240,1545,A4,393
RWS01_MONIBAS_0041hrl0096ra0,Nog niet gegenereerd,,52.2961,4.73837,52.2982,4.7411,positive,A4,5.11,A,9226,555,P1.2,Knooppunt (triangle),4,9226,555,9240,1247,A4,298
RWS01_MONIBAS_0041hrl0097ra0,Nog niet gegenereerd,,52.2958,4.73793,52.2986,4.74153,positive,A4,5.11,A,9226,500,P1.2,Knooppunt (triangle),2,9226,500,9240,1200,A4,400
RWS01_MONIBAS_0041hrl0100ra0,Nog niet gegenereerd,,52.2936,4.73467,52.2961,4.73837,positive,A4,5.11,A,9226,853,P1.2,Knooppunt (triangle),4,9226,853,9240,870,A4,377
RWS01_MONIBAS_0041hrl0107ra0,Nog niet gegenereerd,,52.2886,4.72749,52.2936,4.73467,positive,A4,5.11,A,9226,1230,P1.2,Knooppunt (triangle),4,9226,1230,9240,125,A4,745
RWS01_MONIBAS_0041hrl0112ra0,Nog niet gegenereerd,,52.2854,4.72291,52.2886,4.72749,positive,A4,5.11,A,9226,1975,P1.3,Afrit,5,9226,1975,9225,855,A4,470
RWS01_MONIBAS_0041hrl0112ra1,Nog niet gegenereerd,,52.2854,4.72291,52.2886,4.72749,positive,A4,5.11,A,9226,1975,P1.3,Afrit,5,9226,1975,9225,855,A4,470
RWS01_MONIBAS_0041hrl0116ra0,Nog niet gegenereerd,,52.2828,4.71926,52.2854,4.72291,positive,A4,5.11,A,9225,45,P1.3,Afrit,5,9225,45,9225,478,A4,377
RWS01_MONIBAS_0041hrl0121ra0,Nog niet gegenereerd,,52.2793,4.7142,52.2828,4.71926,positive,A4,5.11,A,9225,422,P1.3,Afrit,5,9225,422,21980,1156,A4,522
RWS01_MONIBAS_0041hrl0127ra0,Nog niet gegenereerd,,52.2753,4.70843,52.2793,4.7142,positive,A4,5.11,A,9225,944,P1.3,Afrit,5,9225,944,21980,560,A4,596
RWS01_MONIBAS_0041hrl0132ra0,Nog niet gegenereerd,,52.2719,4.70356,52.2753,4.70843,positive,A4,5.11,A,21980,140,P1.3,Afrit,5,21980,140,21980,56,A4,504
RWS01_MONIBAS_0041hrl0137rb0,Nog niet gegenereerd,,52.2685,4.69881,52.2736,4.70652,positive,A4,5.11,A,21980,369,P1.3,Afrit,2,21980,369,9220,3465,A4,766
RWS01_MONIBAS_0041hrr0002ra0,Nog niet gegenereerd,,52.3385,4.84191,52.3389,4.8309,negative,A4,5.11,A,9237,340,P1.2,Knooppunt (triangle),3,9237,340,9237,275,A4,785
RWS01_MONIBAS_0041hrr0010ra0,Nog niet gegenereerd,,52.3389,4.8309,52.3389,4.82371,negative,A4,5.11,A,9234,1140,P1.2,Knooppunt (triangle),3,9234,1140,9237,1060,A4,500
RWS01_MONIBAS_0041hrr0015ra0,Nog niet gegenereerd,,52.3389,4.82371,52.3387,4.81615,negative,A4,5.11,A,9234,640,P1.2,Knooppunt (triangle),5,9234,640,9237,1560,A4,500
RWS01_MONIBAS_0041hrr0020ra0,Nog niet gegenereerd,,52.3387,4.81615,52.3379,4.81163,negative,A4,5.11,A,9234,328,P1.3,Afrit,4,9234,328,9234,260,A4,312
RWS01_MONIBAS_0041hrr0023ra0,Nog niet gegenereerd,,52.3379,4.81163,52.3361,4.80752,negative,A4,5.11,A,9227,5799,P1.3,Afrit,4,9227,5799,9234,572,A4,329
RWS01_MONIBAS_0041hrr0027ra0,Nog niet gegenereerd,,52.3361,4.80752,52.3341,4.80429,negative,A4,5.11,A,9227,5486,P1.3,Afrit,4,9227,5486,9234,901,A4,313
RWS01_MONIBAS_0041hrr0030ra0,Nog niet gegenereerd,,52.3341,4.80429,52.3317,4.80022,negative,A4,5.11,A,9227,5095,P1.3,Afrit,5,9227,5095,9234,1214,A4,391
RWS01_MONIBAS_0041hrr0030ra1,Nog niet gegenereerd,,52.3341,4.80429,52.3317,4.8002,negative,A4,5.11,A,9227,5095,P1.3,Afrit,5,9227,5095,9234,1214,A4,391
RWS01_MONIBAS_0041hrr0034ra0,Nog niet gegenereerd,,52.3317,4.80022,52.3299,4.79712,negative,A4,5.11,A,9227,4800,P1.1,Knooppunt,3,9227,4800,9231,5,A4,295
RWS01_MONIBAS_0041hrr0037ra0,Nog niet gegenereerd,,52.3299,4.79712,52.3269,4.78742,negative,A4,5.11,A,9227,4045,P1.1,Knooppunt,3,9227,4045,9231,300,A4,755
RWS01_MONIBAS_0041hrr0044ra0,Nog niet gegenereerd,,52.3269,4.78742,52.3261,4.78288,negative,A4,5.11,A,9227,3720,P1.1,Knooppunt,4,9227,3720,9231,1055,A4,325
RWS01_MONIBAS_0041hrr0047ra0,Nog niet gegenereerd,,52.3261,4.78288,52.3252,4.77674,negative,A4,5.11,A,9227,3290,P1.1,Knooppunt,4,9227,3290,9231,1380,A4,430
RWS01_MONIBAS_0041hrr0052ra0,Nog niet gegenereerd,,52.3252,4.77674,52.3238,4.76643,negative,A4,5.11,A,9227,2571,P1.1,Knooppunt,4,9227,2571,9231,1810,A4,719
RWS01_MONIBAS_0041hrr0059ra0,Nog niet gegenereerd,,52.3238,4.76643,52.322,4.76066,negative,A4,5.11,A,9227,2131,P1.1,Knooppunt,4,9227,2131,9231,2529,A4,440
RWS01_MONIBAS_0041hrr0063ra0,Nog niet gegenereerd,,52.322,4.76066,52.3207,4.75797,negative,A4,5.11,A,9227,1900,P1.3,Afrit,4,9227,1900,9227,269,A4,231
RWS01_MONIBAS_0041hrr0066ra0,Nog niet gegenereerd,,52.3207,4.75797,52.3187,4.75495,negative,A4,5.11,A,9227,1598,P1.3,Afrit,4,9227,1598,9227,500,A4,302
RWS01_MONIBAS_0041hrr0073ra0,Nog niet gegenereerd,,52.3155,4.75198,52.3083,4.74781,negative,A4,5.11,A,9226,660,P3.1,Tunnel,4,9226,660,9228,404,A4,836
RWS01_MONIBAS_0041hrr0081ra0,Nog niet gegenereerd,,52.3083,4.74781,52.3036,4.74479,negative,A4,5.11,A,9226,91,P3.1,Tunnel,4,9226,91,9228,1240,A4,569
RWS01_MONIBAS_0041hrr0087ra0,Nog niet gegenereerd,,52.3036,4.74479,52.2991,4.74154,negative,A4,5.11,A,9240,1641,P3.1,Tunnel,4,9240,1641,9228,1809,A4,550
RWS01_MONIBAS_0041hrr0092ra0,Nog niet gegenereerd,,52.2991,4.74154,52.2965,4.73839,negative,A4,5.11,A,9240,1283,P3.47,Viaduct,6,9240,1283,9226,459,A4,358
RWS01_MONIBAS_0041hrr0096ra0,Nog niet gegenereerd,,52.2965,4.73839,52.2928,4.73316,negative,A4,5.11,A,9240,740,P3.47,Viaduct,6,9240,740,9226,817,A4,543
RWS01_MONIBAS_0041hrr0096ra1,Nog niet gegenereerd,,52.2965,4.73839,52.2932,4.73238,negative,A4,5.11,A,9240,725,P3.47,Viaduct,6,9240,725,9226,817,A4,558
RWS01_MONIBAS_0041hrr0101ra0,Nog niet gegenereerd,,52.2928,4.73316,52.2888,4.72738,negative,A4,5.11,A,9240,140,P1.2,Knooppunt (triangle),4,9240,140,9240,260,A4,600
RWS01_MONIBAS_0041hrr0107ra0,Nog niet gegenereerd,,52.2888,4.72738,52.2853,4.72226,negative,A4,5.11,A,9225,814,P1.2,Knooppunt (triangle),4,9225,814,9240,860,A4,526
RWS01_MONIBAS_0041hrr0112ra0,Nog niet gegenereerd,,52.2853,4.72226,52.2812,4.7165,negative,A4,5.11,A,9225,220,P1.3,Afrit,5,9225,220,9225,286,A4,594
RWS01_MONIBAS_0041hrr0118ra0,Nog niet gegenereerd,,52.2812,4.7165,52.2765,4.70972,negative,A4,5.11,A,21980,520,P1.3,Afrit,5,21980,520,9225,880,A4,700
RWS01_MONIBAS_0041hrr0125ra0,Nog niet gegenereerd,,52.2765,4.70972,52.2727,4.7043,negative,A4,5.11,A,9220,3460,P1.3,Afrit,5,9220,3460,9225,1580,A4,560
RWS01_MONIBAS_0050vwe0080ra0,Nog niet gegenereerd,,52.354,4.73811,52.3537,4.74525,positive,A5,5.11,A,19649,110,P1.14,Verbindingsweg,1,19649,110,19649,0,A5,390
RWS01_MONIBAS_0050vwg0074ra0,Nog niet gegenereerd,,52.3533,4.73777,52.3533,4.73777,positive,A5,5.11,A,19650,2100,P1.14,Verbindingsweg,2,19650,2100,19650,32,A5,268
RWS01_MONIBAS_0050vwg0077ra0,Nog niet gegenereerd,,52.3518,4.73741,52.3538,4.74017,positive,A5,5.11,A,19650,1800,P1.14,Verbindingsweg,2,19650,1800,19650,300,A5,300
RWS01_MONIBAS_0050vwg0080ra0,Nog niet gegenereerd,,52.3538,4.74017,52.3558,4.74296,positive,A5,5.11,A,19650,1500,P1.14,Verbindingsweg,2,19650,1500,19650,600,A5,300
RWS01_MONIBAS_0050vwg0083ra0,Nog niet gegenereerd,,52.3558,4.74296,52.3583,4.74232,positive,A5,5.11,A,19650,1200,P1.14,Verbindingsweg,2,19650,1200,19650,900,A5,300
RWS01_MONIBAS_0050vwg0086ra0,Nog niet gegenereerd,,52.3583,4.74232,52.36,4.7351,positive,A5,5.11,A,19650,646,P1.14,Verbindingsweg,2,19650,646,19650,1200,A5,554
RWS01_MONIBAS_0050vwg0091ra0,Nog niet gegenereerd,,52.36,4.7351,52.3625,4.73007,positive,A5,5.11,A,19650,200,P1.14,Verbindingsweg,2,19650,200,19650,1754,A5,446
RWS01_MONIBAS_0050vwg0096ra0,Nog niet gegenereerd,,52.3625,4.73007,52.3645,4.72598,positive,A5,5.11,A,19650,0,P1.14,Verbindingsweg,2,10583,1844,19650,2200,A9,346
RWS01_MONIBAS_0050vwk0081ra0,Nog niet gegenereerd,,52.3559,4.73842,52.3572,4.73881,negative,A5,5.11,A,21970,52,P1.14,Verbindingsweg,1,21970,52,21970,130,A5,418
RWS01_MONIBAS_0050vwn0074ra0,Nog niet gegenereerd,,52.3494,4.73586,52.3455,4.73537,negative,A5,5.11,A,21618,1283,P1.1,Knooppunt,2,21618,1283,19645,2092,A5,425
RWS01_MONIBAS_0050vwn0081ra0,Nog niet gegenereerd,,52.3558,4.73882,52.3494,4.73586,negative,A5,5.11,A,21618,1708,P1.1,Knooppunt,2,21618,1708,19645,1330,A5,762
RWS01_MONIBAS_0050vwn0086ra0,Nog niet gegenereerd,,52.3597,4.74212,52.3558,4.73882,negative,A5,5.11,A,19645,570,P1.1,Knooppunt,2,19645,570,19645,859,A5,471
RWS01_MONIBAS_0050vwq0014ra0,Nog niet gegenereerd,,52.2955,4.73096,52.2912,4.72932,negative,A5,5.11,A,19648,402,P3.47,Viaduct,1,19648,402,21617,3000,A5,498
RWS01_MONIBAS_0051hrl0011ra0,Nog niet gegenereerd,,52.2935,4.73112,52.2893,4.72786,negative,A5,5.11,A,19648,156,P3.47,Viaduct,2,19648,156,21617,3224,A5,520
RWS01_MONIBAS_0051hrl0016ra0,Nog niet gegenereerd,,52.2981,4.73108,52.2935,4.73112,negative,A5,5.11,A,21619,76,P3.47,Viaduct,2,21619,76,21617,2716,A5,508
RWS01_MONIBAS_0051hrl0021ra0,Nog niet gegenereerd,,52.3025,4.73147,52.2981,4.73108,negative,A5,5.11,A,21619,584,P3.47,Viaduct,2,21619,584,21617,2227,A5,489
RWS01_MONIBAS_0051hrl0026ra0,Nog niet gegenereerd,,52.3068,4.73186,52.3025,4.73147,negative,A5,5.11,A,21619,1073,P3.47,Viaduct,2,21619,1073,21617,1747,A5,480
RWS01_MONIBAS_0051hrl0030ra0,Nog niet gegenereerd,,52.3098,4.73214,52.3068,4.73186,negative,A5,5.11,A,21619,1553,P3.47,Viaduct,2,21619,1553,21617,1400,A5,347
RWS01_MONIBAS_0051hrl0033ra0,Nog niet gegenereerd,,52.3133,4.73247,52.3098,4.73214,negative,A5,5.11,A,21619,1900,P3.47,Viaduct,2,21619,1900,21617,1016,A5,384
RWS01_MONIBAS_0051hrl0039ra0,Nog niet gegenereerd,,52.3186,4.73295,52.3133,4.73247,negative,A5,5.11,A,21619,2284,P3.47,Viaduct,2,21619,2284,21617,418,A5,598
RWS01_MONIBAS_0051hrl0044ra0,Nog niet gegenereerd,,52.3227,4.73332,52.3186,4.73295,negative,A5,5.11,A,21619,2882,P3.2,Brug,2,21619,2882,21618,1468,A5,450
RWS01_MONIBAS_0051hrl0050ra0,Nog niet gegenereerd,,52.328,4.73381,52.3227,4.73332,negative,A5,5.11,A,21617,232,P3.2,Brug,2,21617,232,21618,878,A5,590
RWS01_MONIBAS_0051hrl0056ra0,Nog niet gegenereerd,,52.3339,4.73436,52.328,4.73381,negative,A5,5.11,A,21617,822,P3.2,Brug,2,21617,822,21618,213,A5,665
RWS01_MONIBAS_0051hrl0062ra0,Nog niet gegenereerd,,52.3394,4.7348,52.3339,4.73436,negative,A5,5.11,A,21617,1487,P1.1,Knooppunt,2,21617,1487,19645,3207,A5,606
RWS01_MONIBAS_0051hrl0069ra0,Nog niet gegenereerd,,52.3455,4.73537,52.3394,4.7348,negative,A5,5.11,A,21618,593,P1.1,Knooppunt,3,21618,593,19645,2517,A5,690
RWS01_MONIBAS_0051hrl0074ra0,Nog niet gegenereerd,,52.3493,4.73602,52.3455,4.73537,negative,A5,5.11,A,21618,1283,P1.1,Knooppunt,2,21618,1283,19645,2092,A5,425
RWS01_MONIBAS_0051hrl0081ra0,Nog niet gegenereerd,,52.3559,4.73918,52.3493,4.73602,negative,A5,5.11,A,21618,1708,P1.1,Knooppunt,2,21618,1708,19645,1330,A5,762
RWS01_MONIBAS_0051hrl0086ra0,Nog niet gegenereerd,,52.3596,4.74242,52.3559,4.73918,negative,A5,5.11,A,19645,570,P1.1,Knooppunt,2,19645,570,19645,859,A5,471
RWS01_MONIBAS_0051hrl0092ra0,Nog niet gegenereerd,,52.3639,4.74783,52.3596,4.74242,negative,A5,5.11,A,19645,1041,P1.1,Knooppunt,2,19645,1041,19645,260,A5,599
RWS01_MONIBAS_0051hrl0092rb0,Nog niet gegenereerd,,52.3639,4.74783,52.3597,4.74212,negative,A5,5.11,A,19645,1041,P1.1,Knooppunt,2,19645,1041,19645,260,A5,599
RWS01_MONIBAS_0051hrl0092rb1,Nog niet gegenereerd,,52.3639,4.74783,52.36,4.74189,negative,A5,5.11,A,21971,348,P1.3,Afrit,2,21971,348,21972,4760,A5,592
RWS01_MONIBAS_0051hrl0096ra0,Nog niet gegenereerd,,52.3664,4.75255,52.3639,4.74783,negative,A5,5.11,A,19645,1640,P1.3,Afrit,2,19645,1640,21972,4330,A5,430
RWS01_MONIBAS_0051hrl0105ra0,Nog niet gegenereerd,,52.3716,4.76287,52.3664,4.75255,negative,A5,5.11,A,19645,2070,P1.3,Afrit,2,19645,2070,21972,3420,A5,910
RWS01_MONIBAS_0051hrl0110ra0,Nog niet gegenereerd,,52.3754,4.76633,52.3716,4.76287,negative,A5,5.11,A,19645,2980,P1.3,Afrit,2,19645,2980,21972,2939,A5,481
RWS01_MONIBAS_0051hrl0116ra0,Nog niet gegenereerd,,52.3801,4.7677,52.3754,4.76633,negative,A5,5.11,A,19645,3461,P1.3,Afrit,2,19645,3461,21972,2399,A5,540
RWS01_MONIBAS_0051hrl0121ra0,Nog niet gegenereerd,,52.385,4.76773,52.3801,4.7677,negative,A5,5.11,A,19645,4001,P1.3,Afrit,2,19645,4001,21972,1859,A5,540
RWS01_MONIBAS_0051hrl0129ra0,Nog niet gegenereerd,,52.3914,4.7731,52.385,4.76773,negative,A5,5.11,A,19645,4541,P1.3,Afrit,2,19645,4541,21972,1034,A5,825
RWS01_MONIBAS_0051hrl0137ra0,Nog niet gegenereerd,,52.3935,4.78342,52.3914,4.7731,negative,A5,5.11,A,19645,5366,P1.3,Afrit,2,19645,5366,21972,279,A5,755
RWS01_MONIBAS_0051hrl0143ra0,Nog niet gegenereerd,,52.3935,4.79304,52.3935,4.78342,negative,A5,5.11,A,21972,321,P1.3,Afrit,3,21972,321,21973,626,A5,653
RWS01_MONIBAS_0051hrl0147ra0,Nog niet gegenereerd,,52.3935,4.79851,52.3935,4.79304,negative,A5,5.11,A,21972,974,P1.3,Afrit,2,21972,974,21973,253,A5,373
RWS01_MONIBAS_0051hrl0152ra0,Nog niet gegenereerd,,52.3931,4.80575,52.3935,4.79851,negative,A5,5.11,A,21973,247,P1.2,Knooppunt (triangle),2,21973,247,21979,4060,A5,493
RWS01_MONIBAS_0051hrl0157ra0,Nog niet gegenereerd,,52.3922,4.81235,52.3931,4.80575,negative,A5,5.11,A,21973,740,P1.2,Knooppunt (triangle),2,21973,740,21979,3600,A5,460
RWS01_MONIBAS_0051hrl0162ra0,Nog niet gegenereerd,,52.3919,4.82006,52.3922,4.81235,negative,A5,5.11,A,21973,1200,P1.2,Knooppunt (triangle),2,21973,1200,21979,3075,A5,525
RWS01_MONIBAS_0051hrl0167ra0,Nog niet gegenereerd,,52.3919,4.82785,52.3919,4.82006,negative,A5,5.11,A,21973,1725,P1.2,Knooppunt (triangle),2,21973,1725,21979,2547,A5,528
RWS01_MONIBAS_0051hrl0173ra0,Nog niet gegenereerd,,52.3923,4.83604,52.3919,4.82785,negative,A5,5.11,A,21973,2253,P1.2,Knooppunt (triangle),2,21973,2253,21979,1986,A5,561
RWS01_MONIBAS_0051hrl0178ra0,Nog niet gegenereerd,,52.3952,4.84229,52.3923,4.83604,negative,A5,5.11,A,21973,2814,P1.2,Knooppunt (triangle),2,21973,2814,21979,1447,A5,539
RWS01_MONIBAS_0051hrl0184ra0,Nog niet gegenereerd,,52.3998,4.84764,52.3952,4.84229,negative,A5,5.11,A,21973,3353,P1.2,Knooppunt (triangle),2,21973,3353,21979,820,A5,627
RWS01_MONIBAS_0051hrl0189ra0,Nog niet gegenereerd,,52.4032,4.85171,52.3998,4.84764,negative,A5,5.11,A,21973,3980,P1.2,Knooppunt (triangle),3,21973,3980,21979,350,A5,470
RWS01_MONIBAS_0051hrr0010ra0,Nog niet gegenereerd,,52.2927,4.73206,52.2982,4.7313,positive,A5,5.11,A,21617,2716,P1.2,Knooppunt (triangle),2,21617,2716,19646,75,A5,609
RWS01_MONIBAS_0051hrr0016ra0,Nog niet gegenereerd,,52.2982,4.7313,52.3026,4.73169,positive,A5,5.11,A,21617,2227,P1.2,Knooppunt (triangle),2,21617,2227,19646,684,A5,489
RWS01_MONIBAS_0051hrr0021ra0,Nog niet gegenereerd,,52.3026,4.73169,52.3068,4.73209,positive,A5,5.11,A,21617,1747,P1.2,Knooppunt (triangle),2,21617,1747,19646,1173,A5,480
RWS01_MONIBAS_0051hrr0026ra0,Nog niet gegenereerd,,52.3068,4.73209,52.31,4.73237,positive,A5,5.11,A,21617,1400,P1.2,Knooppunt (triangle),2,21617,1400,19646,1653,A5,347
RWS01_MONIBAS_0051hrr0030ra0,Nog niet gegenereerd,,52.31,4.73237,52.3134,4.73269,positive,A5,5.11,A,21617,1016,P1.2,Knooppunt (triangle),2,21617,1016,19646,2000,A5,384
RWS01_MONIBAS_0051hrr0033ra0,Nog niet gegenereerd,,52.3134,4.73269,52.3187,4.73317,positive,A5,5.11,A,21617,418,P1.2,Knooppunt (triangle),2,21617,418,19646,2384,A5,598
RWS01_MONIBAS_0051hrr0039ra0,Nog niet gegenereerd,,52.3187,4.73317,52.3227,4.73355,positive,A5,5.11,A,21618,1468,P1.2,Knooppunt (triangle),2,21618,1468,19646,2982,A5,450
RWS01_MONIBAS_0051hrr0044ra0,Nog niet gegenereerd,,52.3227,4.73355,52.328,4.73403,positive,A5,5.11,A,21618,878,P3.47,Viaduct,2,21618,878,21617,232,A5,590
RWS01_MONIBAS_0051hrr0050ra0,Nog niet gegenereerd,,52.328,4.73403,52.334,4.73458,positive,A5,5.11,A,21618,213,P3.47,Viaduct,2,21618,213,21617,822,A5,665
RWS01_MONIBAS_0051hrr0056ra0,Nog niet gegenereerd,,52.334,4.73458,52.3394,4.73504,positive,A5,5.11,A,19645,3307,P3.47,Viaduct,2,19645,3307,21617,1487,A5,606
RWS01_MONIBAS_0051hrr0062ra0,Nog niet gegenereerd,,52.3394,4.73504,52.3421,4.73531,positive,A5,5.11,A,19645,3000,P3.2,Brug,2,19645,3000,21618,593,A5,307
RWS01_MONIBAS_0051hrr0066ra0,Nog niet gegenereerd,,52.3421,4.73531,52.3455,4.73564,positive,A5,5.11,A,19645,2617,P3.2,Brug,2,19645,2617,21618,900,A5,383
RWS01_MONIBAS_0051hrr0069ra0,Nog niet gegenereerd,,52.3455,4.73564,52.3495,4.7363,positive,A5,5.11,A,19645,2168,P3.2,Brug,2,19645,2168,21618,1283,A5,449
RWS01_MONIBAS_0051hrr0069ra1,Nog niet gegenereerd,,52.3455,4.73564,52.3495,4.73638,positive,A5,5.11,A,19650,2368,P3.2,Brug,2,19650,2368,21618,1283,A5,447
