measurementSiteReference,generatedSiteName,carriageway,startLocatieForDisplayLat,startLocatieForDisplayLong,eindLocatieForDisplayLat,eindLocatieForDisplayLong,alertCDirectionCoded,ROADNUMBER,LocationTableNumber,LocationTableVersion,specificLocation,offsetDistance,LOC_TYPE,LOC_DES,measurementSiteNumberOfLanes,primaryLocation_specificLocation,primaryLocation_offsetDistance,secondaryLocation_specificLocation,secondaryLocation_offsetDistance,ROADNUMBER_PRIM,lengthAffected
GAD01_MOA_Route54B,Nog niet gegenereerd,,52.347,4.88013,52.3338,4.89061,negative,s109,5.11,A,25566,0,P1.11,Kruising,1,7198,550,25274,20,A10,2102
GAD01_MOA_Route55A,Nog niet gegenereerd,,52.3379,4.89211,52.3488,4.8834,positive,s109,5.11,A,25274,0,P1.3,Afrit,1,25266,480,25272,35,s108,1951
GAD01_MOA_Route56B,Nog niet gegenereerd,,52.3576,4.85502,52.337,4.85867,negative,v106-108,5.11,A,25344,0,P1.11,Kruising,1,7199,480,25345,55,A10,2446
GAD01_MOA_Route57A,Nog niet gegenereerd,,52.3393,4.85769,52.3577,4.85579,positive,s108,5.11,A,25263,0,P1.3,Afrit,1,25247,1445,25262,185,s106,2184
GEO02_PNHTR11,Nog niet gegenereerd,,52.3158,4.67658,52.2966,4.7096,positive,N201,5.11,A,22024,950,P1.11,Kruising,1,22024,950,10716,1100,N201,4170
GEO02_PNHTR12,Nog niet gegenereerd,,52.2974,4.7095,52.3159,4.67505,negative,N201,5.11,A,10716,1000,P1.11,Kruising,1,10716,1000,22024,1150,N201,4200
GEO02_PNHTR122,Nog niet gegenereerd,,52.4071,4.93896,52.422,4.95415,positive,N247,5.11,A,11852,3200,P1.3,Afrit,1,11852,3200,11850,100,N247,2030
GEO02_PNHTR123,Nog niet gegenereerd,,52.4215,4.95243,52.4065,4.93792,negative,N247,5.11,A,11850,0,P1.12,Aansluiting,1,11850,0,11851,20,N247,1990
GEO02_PNHTR124,Nog niet gegenereerd,,52.422,4.95415,52.4318,4.99361,positive,N247,5.11,A,11852,200,P1.12,Aansluiting,1,11852,200,11851,100,N247,3000
GEO02_PNHTR125,Nog niet gegenereerd,,52.4317,4.993,52.4215,4.95243,negative,N247,5.11,A,11851,0,P3.2,Brug,1,11851,0,11852,250,N247,3070
GEO02_PNHTR126,Nog niet gegenereerd,,52.4318,4.99361,52.4547,5.02909,positive,N247,5.11,A,11854,0,P1.12,Aansluiting,1,11854,0,11851,3100,N247,3600
GEO02_PNHTR127,Nog niet gegenereerd,,52.453,5.02813,52.4317,4.993,negative,N247,5.11,A,11851,3050,P1.12,Aansluiting,1,11851,3050,11854,200,N247,3450
GEO02_PNHTR13,Nog niet gegenereerd,,52.2966,4.7096,52.2856,4.72903,positive,N201,5.11,A,22024,0,P1.11,Kruising,1,10719,1400,10717,2700,N196,1830
GEO02_PNHTR134,Nog niet gegenereerd,,52.43,4.84436,52.4318,4.86369,positive,N516,5.11,A,16482,400,P3.37,Bebouwde kom,1,16482,400,16481,160,N516,1340
GEO02_PNHTR135,Nog niet gegenereerd,,52.4317,4.86245,52.4292,4.83873,negative,N516,5.11,A,16480,700,P1.3,Afrit,1,16480,700,16482,500,N516,1650
GEO02_PNHTR136,Nog niet gegenereerd,,52.4318,4.86369,52.432,4.86636,positive,N516,5.11,A,16482,200,P3.37,Bebouwde kom,1,16482,200,16481,1500,N516,200
GEO02_PNHTR137,Nog niet gegenereerd,,52.4321,4.86496,52.4317,4.86245,negative,N516,5.11,A,16481,1400,P1.3,Afrit,1,16481,1400,16482,300,N516,200
GEO02_PNHTR138,Nog niet gegenereerd,,52.432,4.86636,52.4322,4.87014,positive,N516,5.11,A,16482,225,P3.37,Bebouwde kom,1,16482,225,16481,1670,N516,270
GEO02_PNHTR139,Nog niet gegenereerd,,52.4324,4.86882,52.4321,4.86496,negative,N516,5.11,A,16481,1600,P1.3,Afrit,1,16481,1600,16482,50,N516,250
GEO02_PNHTR14,Nog niet gegenereerd,,52.2891,4.72304,52.2974,4.7095,negative,N196,5.11,A,22039,0,P1.12,Aansluiting,1,10717,2580,10719,2105,N201,1300
GEO02_PNHTR140,Nog niet gegenereerd,,52.4322,4.87014,52.433,4.87685,positive,N516,5.11,A,16483,300,P1.3,Afrit,1,16483,300,16482,200,N516,470
GEO02_PNHTR141,Nog niet gegenereerd,,52.4329,4.87583,52.4324,4.86882,negative,N516,5.11,A,16482,150,P3.37,Bebouwde kom,1,16482,150,16483,400,N516,500
GEO02_PNHTR15,Nog niet gegenereerd,,52.2856,4.72903,52.2765,4.74612,positive,N196,5.11,A,10720,400,P1.11,Kruising,1,10720,400,22039,750,N196,1550
GEO02_PNHTR16,Nog niet gegenereerd,,52.2774,4.74501,52.2891,4.72304,negative,N196,5.11,A,22039,200,P1.12,Aansluiting,1,22039,200,10719,20,N196,2000
GEO02_PNHTR17,Nog niet gegenereerd,,52.2765,4.74612,52.2715,4.75246,positive,N196,5.11,A,10721,250,P1.12,Aansluiting,1,10721,250,10719,100,N196,700
GEO02_PNHTR18,Nog niet gegenereerd,,52.2724,4.75167,52.2774,4.74501,negative,N196,5.11,A,10719,0,P1.11,Kruising,1,10719,0,10721,370,N196,800
GEO02_PNHTR184,Nog niet gegenereerd,,52.4064,4.93919,52.4058,4.94288,positive,A10,5.11,A,7182,300,P1.3,Afrit,1,7182,300,7182,650,A10,260
GEO02_PNHTR194,Nog niet gegenereerd,,52.4359,4.72636,52.4734,4.67222,negative,N246,5.11,A,22158,0,P1.12,Aansluiting,1,22158,0,11821,0,N246,6400
GEO02_PNHTR195,Nog niet gegenereerd,,52.4726,4.76964,52.436,4.72563,negative,N246,5.11,A,11821,0,P1.3,Afrit,1,11821,0,11826,390,N246,5700
GEO02_PNHTR29,Nog niet gegenereerd,,52.4445,4.68794,52.43,4.73547,positive,N202,5.11,A,10784,200,P1.3,Afrit,1,10784,200,10780,2950,N202,3700
GEO02_PNHTR30,Nog niet gegenereerd,,52.4301,4.73557,52.4448,4.68821,negative,N202,5.11,A,10780,2950,P1.12,Aansluiting,1,10780,2950,10784,195,N202,3700
GEO02_PNHTR37,Nog niet gegenereerd,,52.3701,4.65533,52.366,4.70813,positive,A205,5.11,A,8188,2935,P1.3,Afrit,1,8188,2935,8182,0,N205,3800
GEO02_PNHTR38,Nog niet gegenereerd,,52.366,4.70813,52.3422,4.68378,positive,N205,5.11,A,19651,350,P1.11,Kruising,1,19651,350,8189,200,N205,3260
GEO02_PNHTR39,Nog niet gegenereerd,,52.3718,4.70309,52.3687,4.70523,negative,N205,5.11,A,8183,686,P1.11,Kruising,1,8183,686,8188,283,N205,3020
GEO02_PNHTR46,Nog niet gegenereerd,,52.3687,4.70523,52.3703,4.65304,negative,N205,5.11,A,8181,0,P1.3,Afrit,1,8181,0,8183,1660,N205,3440
GEO02_PNHTR47,Nog niet gegenereerd,,52.3718,4.70309,52.3717,4.7025,negative,N205,5.11,A,19654,580,P1.11,Kruising,1,19654,580,8189,110,N205,885
GEO02_PNHTR48,Nog niet gegenereerd,,52.3687,4.70523,52.366,4.70813,positive,N205,5.11,A,8188,2940,P1.3,Afrit,1,8188,2940,19654,1735,N205,1290
GEO02_PNHTR49,Nog niet gegenereerd,,52.371,4.68704,52.3715,4.70249,negative,N205,5.11,A,19654,1775,P1.11,Kruising,1,19654,1775,8189,110,N205,736
GEO02_PNHTR50,Nog niet gegenereerd,,52.4156,4.64091,52.3717,4.7025,positive,N205,5.11,A,8183,2000,P1.3,Afrit,1,8183,2000,19654,95,N205,1100
GEO02_PNHTR64,Nog niet gegenereerd,,52.424,4.95149,52.4388,4.95118,positive,N235,5.11,A,11543,2850,P3.2,Brug,1,11543,2850,11541,100,N235,1650
GEO02_PNHTR65,Nog niet gegenereerd,,52.4379,4.95108,52.4215,4.95243,negative,N235,5.11,A,11540,0,P3.37,Bebouwde kom,1,11540,0,11542,50,N235,1870
GEO02_PNHTR66,Nog niet gegenereerd,,52.4388,4.95118,52.4644,4.94922,positive,N235,5.11,A,11544,2350,P3.37,Bebouwde kom,1,11544,2350,11542,50,N235,2900
GEO02_PNHTR67,Nog niet gegenereerd,,52.4633,4.94947,52.4379,4.95108,negative,N235,5.11,A,11541,1650,P3.37,Bebouwde kom,1,11541,1650,11543,100,N235,2800
GEO02_PNHTR70,Nog niet gegenereerd,,52.3151,4.99536,52.3035,5.01486,positive,N236,5.11,A,11552,585,P1.11,Kruising,1,11552,585,22117,40,N236,2000
GEO02_PNHTR71,Nog niet gegenereerd,,52.3046,5.01278,52.3154,4.99419,negative,N236,5.11,A,11551,730,P1.11,Kruising,1,11551,730,11560,80,N236,1900
GEO02_PNHTR72,Nog niet gegenereerd,,52.3035,5.01486,52.3023,5.03726,positive,N236,5.11,A,11554,2945,P1.11,Kruising,1,11554,2945,11560,100,N236,1590
GEO02_PNHTR73,Nog niet gegenereerd,,52.3023,5.03402,52.3046,5.01278,negative,N236,5.11,A,22117,1800,P3.37,Bebouwde kom,1,22117,1800,11553,160,N236,1500
GEO02_PNHTR74,Nog niet gegenereerd,,52.3023,5.03726,52.291,5.07609,positive,N236,5.11,A,11555,0,P3.37,Bebouwde kom,1,11555,0,11553,100,N236,3000
GEO02_PNHTR75,Nog niet gegenereerd,,52.2911,5.07587,52.3023,5.03402,negative,N236,5.11,A,11552,900,P3.2,Brug,1,11552,900,11554,0,N236,3200
GEO02_PNHTR800,Nog niet gegenereerd,,52.2776,4.74636,52.2846,4.77253,positive,N201,5.11,A,22050,0,P3.47,Viaduct,1,22050,0,22027,50,N201,2650
GEO02_PNHTR801,Nog niet gegenereerd,,52.2846,4.77253,52.2776,4.74636,negative,N201,5.11,A,22027,60,P1.12,Aansluiting,1,22027,60,22050,0,N201,2300
GEO02_PNHTR802,Nog niet gegenereerd,,52.2846,4.77253,52.2895,4.78633,negative,N232,5.11,A,11480,2540,P1.12,Aansluiting,1,11480,2540,22048,0,N232,1270
GEO02_PNHTR803,Nog niet gegenereerd,,52.2895,4.78633,52.2846,4.77253,positive,N232,5.11,A,22048,0,P1.11,Kruising,1,22048,0,11480,2600,N232,1270
GEO02_PNHTR812,Nog niet gegenereerd,,52.285,4.773,52.29,4.7863,negative,N232,5.11,A,11480,2500,P1.12,Aansluiting,1,11480,2500,22048,40,N232,1300
GEO02_PNHTR813,Nog niet gegenereerd,,52.285,4.7725,52.263,4.7939,positive,N201,5.11,A,22031,180,P1.11,Kruising,1,22031,180,22028,1225,N201,2780
GEO02_PNHTR814,Nog niet gegenereerd,,52.263,4.7939,52.285,4.7725,negative,N201,5.11,A,22050,0,P1.11,Kruising,1,22050,0,22031,180,N201,2800
GEO02_PNHTR815,Nog niet gegenereerd,,52.263,4.7939,52.2845,4.77325,negative,N201,5.11,A,22050,0,P1.11,Kruising,1,22051,160,22031,180,N232,2850
