startLocatieForDisplayLat,startLocatieForDisplayLong,carriageway,roadID
52.338276,4.8243084,mainCarriageway,165
52.338463,4.8119707,entrySlipRoad,166
52.301662,4.8551025,mainCarriageway,167
52.307625,4.826984,mainCarriageway,168
52.285934,4.939525,connectingCarriageway,169
52.298367,4.9362383,mainCarriageway,170
52.377308,4.7084436,mainCarriageway,171
52.38384,4.706176,connectingCarriageway,172
52.456726,4.8398757,mainCarriageway,173
52.45876,4.8362017,mainCarriageway,174
52.28893,4.944152,parallelCarriageway,175
52.311256,4.7493234,mainCarriageway,176
52.330765,4.797145,connectingCarriageway,177
52.30035,4.9489093,mainCarriageway,178
52.27417,4.9576735,mainCarriageway,179
52.332165,5.0266294,mainCarriageway,180
52.383404,4.6850553,mainCarriageway,181
52.384186,4.7842903,mainCarriageway,182
52.384075,4.6929693,mainCarriageway,183
52.402878,4.8521786,mainCarriageway,184
52.269146,4.960362,mainCarriageway,185
52.26715,4.9606442,mainCarriageway,186
52.38518,4.748831,mainCarriageway,187
52.27906,4.953994,mainCarriageway,188
52.3284,4.7957296,mainCarriageway,189
52.3162,4.8110847,mainCarriageway,190
52.33294,5.004099,mainCarriageway,191
52.402447,4.852077,entrySlipRoad,192
52.289654,4.945232,mainCarriageway,193
52.30391,4.9325166,mainCarriageway,194
52.462166,4.817918,mainCarriageway,195
52.459667,4.8474984,connectingCarriageway,196
52.446144,4.8521748,mainCarriageway,197
52.392612,4.809335,mainCarriageway,198
52.418606,4.9125433,mainCarriageway,199
52.47313,4.7759156,mainCarriageway,200
52.389645,4.84464,exitSlipRoad,201
52.39321,4.843917,mainCarriageway,202
52.394127,4.8439097,mainCarriageway,203
52.41859,4.8679514,parallelCarriageway,204
52.42129,4.873537,mainCarriageway,205
52.42656,4.8750634,mainCarriageway,206
52.42528,4.87495,mainCarriageway,207
52.288227,4.7270246,mainCarriageway,208
52.318676,4.7549453,mainCarriageway,209
52.384983,4.708187,entrySlipRoad,210
52.384926,4.7082806,connectingCarriageway,211
52.34136,4.7700777,mainCarriageway,212
52.34431,4.7668552,entrySlipRoad,213
52.320854,4.915121,connectingCarriageway,214
52.29857,4.948188,entrySlipRoad,215
52.322342,4.9142675,connectingCarriageway,216
52.327927,4.793659,mainCarriageway,217
52.314056,4.9214635,mainCarriageway,218
52.30576,4.9305964,mainCarriageway,219
52.32688,4.7874837,mainCarriageway,220
52.31614,4.9937596,mainCarriageway,221
52.314354,4.9895883,exitSlipRoad,222
52.502544,4.702429,mainCarriageway,223
52.358017,4.7405686,parallelCarriageway,224
52.326614,4.7860994,mainCarriageway,225
