date,hour,dataType,dateID
2016-06-06,13,Speed,402
2016-06-06,14,Road,403
2016-06-06,14,Flow,404
2016-06-06,14,Speed,405
2016-06-06,15,Road,406
2016-06-06,15,Flow,407
2016-06-06,15,Speed,408
2016-06-06,16,Road,409
2016-06-06,16,Flow,410
2016-06-06,16,Speed,411
2016-06-06,17,Road,412
2016-06-06,17,Flow,413
2016-06-06,17,Speed,414
2016-06-06,18,Road,415
2016-06-06,18,Flow,416
2016-06-06,18,Speed,417
2016-06-06,19,Road,418
2016-06-06,19,Flow,419
2016-06-06,19,Speed,420
2016-06-06,20,Road,421
2016-06-06,20,Flow,422
2016-06-06,20,Speed,423
2016-06-06,21,Road,424
2016-06-06,21,Flow,425
2016-06-06,21,Speed,426
2016-06-06,22,Road,427
2016-06-06,22,Flow,428
2016-06-06,22,Speed,429
2016-06-06,23,Road,430
2016-06-06,23,Flow,431
2016-06-06,23,Speed,432
2016-06-07,00,Road,433
2016-06-07,00,Flow,434
2016-06-07,00,Speed,435
2016-06-07,01,Road,436
2016-06-07,01,Flow,437
2016-06-07,01,Speed,438
2016-06-07,02,Road,439
2016-06-07,02,Flow,440
2016-06-07,02,Speed,441
2016-06-07,03,Road,442
2016-06-07,03,Flow,443
2016-06-07,03,Speed,444
2016-06-07,04,Road,445
2016-06-07,04,Flow,446
2016-06-07,04,Speed,447
2016-06-07,05,Road,448
2016-06-07,05,Flow,449
2016-06-07,05,Speed,450
2016-06-07,06,Road,451
2016-06-07,06,Flow,452
2016-06-07,06,Speed,453
2016-06-07,07,Road,454
2016-06-07,07,Flow,455
2016-06-07,07,Speed,456
2016-06-07,08,Road,457
2016-06-07,08,Flow,458
2016-06-07,08,Speed,459
2016-06-07,09,Road,460
2016-06-07,09,Flow,461
2016-06-07,09,Speed,462
2016-06-07,10,Road,463
2016-06-07,10,Flow,464
2016-06-07,10,Speed,465
2016-06-07,11,Road,466
2016-06-07,11,Flow,467
2016-06-07,11,Speed,468
2016-06-07,12,Road,469
2016-06-07,12,Flow,470
2016-06-07,12,Speed,471
2016-06-07,13,Road,472
2016-06-07,13,Flow,473
2016-06-07,13,Speed,474
2016-06-07,14,Road,475
2016-06-07,14,Flow,476
2016-06-07,14,Speed,477
2016-06-07,15,Road,478
2016-06-07,15,Flow,479
2016-06-07,15,Speed,480
2016-06-07,16,Road,481
2016-06-07,16,Flow,482
2016-06-07,16,Speed,483
2016-06-07,17,Road,484
2016-06-07,17,Flow,485
2016-06-07,17,Speed,486
2016-06-07,18,Road,487
2016-06-07,18,Flow,488
2016-06-07,18,Speed,489
2016-06-07,19,Road,490
2016-06-07,19,Flow,491
2016-06-07,19,Speed,492
2016-06-07,20,Road,493
2016-06-07,20,Flow,494
2016-06-07,20,Speed,495
2016-06-07,21,Road,496
2016-06-07,21,Flow,497
2016-06-07,21,Speed,498
2016-06-07,22,Road,499
2016-06-07,22,Flow,500
2016-06-07,22,Speed,501
2016-06-07,23,Road,502
2016-06-07,23,Flow,503
2016-06-07,23,Speed,504
2016-06-08,00,Road,505
2016-06-08,00,Flow,506
2016-06-08,00,Speed,507
2016-06-08,01,Road,508
2016-06-08,01,Flow,509
2016-06-08,01,Speed,510
2016-06-08,02,Road,511
2016-06-08,02,Flow,512
2016-06-08,02,Speed,513
2016-06-08,03,Road,514
2016-06-08,03,Flow,515
2016-06-08,03,Speed,516
2016-06-08,04,Road,517
2016-06-08,04,Flow,518
2016-06-08,04,Speed,519
2016-06-08,05,Road,520
2016-06-08,05,Flow,521
2016-06-08,05,Speed,522
2016-06-08,06,Road,523
2016-06-08,06,Flow,524
2016-06-08,06,Speed,525
2016-06-08,07,Road,526
2016-06-08,07,Flow,527
2016-06-08,07,Speed,528
2016-06-08,08,Road,529
2016-06-08,08,Flow,530
2016-06-08,08,Speed,531
2016-06-08,09,Road,532
2016-06-08,09,Flow,533
2016-06-08,09,Speed,534
2016-06-08,10,Road,535
2016-06-08,10,Flow,536
2016-06-08,10,Speed,537
2016-06-08,11,Road,538
2016-06-08,11,Flow,539
2016-06-08,11,Speed,540
2016-06-08,12,Road,541
2016-06-08,12,Flow,542
2016-06-08,12,Speed,543
2016-06-08,13,Road,544
2016-06-08,13,Flow,545
2016-06-08,13,Speed,546
2016-06-08,14,Road,547
2016-06-08,14,Flow,548
2016-06-08,14,Speed,549
2016-06-08,15,Road,550
2016-06-08,15,Flow,551
2016-06-08,15,Speed,552
2016-06-08,16,Road,553
2016-06-08,16,Flow,554
2016-06-08,16,Speed,555
2016-06-08,17,Road,556
2016-06-08,17,Flow,557
2016-06-08,17,Speed,558
2016-06-08,18,Road,559
2016-06-08,18,Flow,560
2016-06-08,18,Speed,561
2016-06-08,19,Road,562
2016-06-08,19,Flow,563
2016-06-08,19,Speed,564
2016-06-08,20,Road,565
2016-06-08,20,Flow,566
2016-06-08,20,Speed,567
2016-06-08,21,Road,568
2016-06-08,21,Flow,569
2016-06-08,21,Speed,570
2016-06-08,22,Road,571
2016-06-08,22,Flow,572
2016-06-08,22,Speed,573
2016-06-08,23,Road,574
2016-06-08,23,Flow,575
2016-06-08,23,Speed,576
2016-06-09,00,Road,577
2016-06-09,00,Flow,578
2016-06-09,00,Speed,579
2016-06-09,01,Road,580
2016-06-09,01,Flow,581
2016-06-09,01,Speed,582
2016-06-09,02,Road,583
2016-06-09,02,Flow,584
2016-06-09,02,Speed,585
2016-06-09,03,Road,586
2016-06-09,03,Flow,587
2016-06-09,03,Speed,588
2016-06-09,04,Road,589
2016-06-09,04,Flow,590
2016-06-09,04,Speed,591
2016-06-09,05,Road,592
2016-06-09,05,Flow,593
2016-06-09,05,Speed,594
2016-06-09,06,Road,595
2016-06-09,06,Flow,596
2016-06-09,06,Speed,597
2016-06-09,07,Road,598
2016-06-09,07,Flow,599
2016-06-09,07,Speed,600
2016-06-09,08,Road,601
2016-06-09,08,Flow,602
2016-06-09,08,Speed,603
2016-06-09,09,Road,604
2016-06-09,09,Flow,605
2016-06-09,09,Speed,606
2016-06-09,10,Road,607
2016-06-09,10,Flow,608
2016-06-09,10,Speed,609
2016-06-09,11,Road,610
2016-06-09,11,Flow,611
2016-06-09,11,Speed,612
2016-06-09,12,Road,613
2016-06-09,12,Flow,614
2016-06-09,12,Speed,615
2016-06-09,13,Road,616
2016-06-09,13,Flow,617
2016-06-09,13,Speed,618
2016-06-09,14,Road,619
2016-06-09,14,Flow,620
2016-06-09,14,Speed,621
2016-06-09,15,Road,622
2016-06-09,15,Flow,623
2016-06-09,15,Speed,624
2016-06-09,16,Road,625
2016-06-09,16,Flow,626
2016-06-09,16,Speed,627
2016-06-09,17,Road,628
2016-06-09,17,Flow,629
2016-06-09,17,Speed,630
2016-06-09,18,Road,631
2016-06-09,18,Flow,632
2016-06-09,18,Speed,633
2016-06-09,19,Road,634
2016-06-09,19,Flow,635
2016-06-09,19,Speed,636
2016-06-09,20,Road,637
2016-06-09,20,Flow,638
2016-06-09,20,Speed,639
2016-06-09,21,Road,640
2016-06-09,21,Flow,641
2016-06-09,21,Speed,642
2016-06-09,22,Road,643
2016-06-09,22,Flow,644
2016-06-09,22,Speed,645
2016-06-09,23,Road,646
2016-06-09,23,Flow,647
2016-06-09,23,Speed,648
2016-06-10,00,Road,649
2016-06-10,00,Flow,650
2016-06-10,00,Speed,651
2016-06-10,01,Road,652
2016-06-10,01,Flow,653
2016-06-10,01,Speed,654
2016-06-10,02,Road,655
2016-06-10,02,Flow,656
2016-06-10,02,Speed,657
2016-06-10,03,Road,658
2016-06-10,03,Flow,659
2016-06-10,03,Speed,660
2016-06-10,04,Road,661
2016-06-10,04,Flow,662
2016-06-10,04,Speed,663
2016-06-10,05,Road,664
2016-06-10,05,Flow,665
2016-06-10,05,Speed,666
2016-06-10,06,Road,667
2016-06-10,06,Flow,668
2016-06-10,06,Speed,669
2016-06-10,07,Road,670
2016-06-10,07,Flow,671
2016-06-10,07,Speed,672
2016-06-10,08,Road,673
2016-06-10,08,Flow,674
2016-06-10,08,Speed,675
2016-06-10,09,Road,676
2016-06-10,09,Flow,677
2016-06-10,09,Speed,678
