measurementSiteReference,startLocatieForDisplayLat,startLocatieForDisplayLong,ROADNUMBER,flowID
RWS01_MONIBAS_0010vwa0056ra,52.3454,4.97708,A1,147
RWS01_MONIBAS_0010vwa0065ra,52.3391,4.98616,A1,148
RWS01_MONIBAS_0010vwb0070ra,52.3359,4.99184,A1,149
RWS01_MONIBAS_0010vwb0119ra,52.3273,5.06081,A1,150
RWS01_MONIBAS_0010vwc0070ra,52.3364,4.99242,A1,151
RWS01_MONIBAS_0010vwd0057ra,52.3449,4.97901,A1,152
RWS01_MONIBAS_0010vwd0065ra,52.3394,4.98661,A1,153
RWS01_MONIBAS_0010vwe0079ra,52.3326,5.00333,A1,154
RWS01_MONIBAS_0010vwe0083ra,52.3295,5.00511,A1,155
RWS01_MONIBAS_0010vwf0046ra,52.3506,4.9656,A1,156
RWS01_MONIBAS_0010vwk0070ra,52.3297,5.00532,A1,157
RWS01_MONIBAS_0010vwk0072ra,52.3315,5.00505,A1,158
RWS01_MONIBAS_0010vwk0075ra,52.3343,5.00444,A1,159
RWS01_MONIBAS_0010vwk0079ra,52.3331,5.00383,A1,160
RWS01_MONIBAS_0010vwn0070ra,52.3364,4.99206,A1,161
RWS01_MONIBAS_0010vwn0074ra,52.3346,4.99734,A1,162
RWS01_MONIBAS_0010vwp0073ra,52.3348,4.99577,A1,163
RWS01_MONIBAS_0010vwp0076ra,52.3337,4.9995,A1,164
RWS01_MONIBAS_0010vwp0079ra,52.333,5.00282,A1,165
RWS01_MONIBAS_0010vwp0082ra,52.3325,5.00666,A1,166
RWS01_MONIBAS_0010vwp0085ra,52.3324,5.01117,A1,167
RWS01_MONIBAS_0010vwp0089ra,52.3325,5.01717,A1,168
RWS01_MONIBAS_0010vwp0093ra,52.3324,5.0227,A1,169
RWS01_MONIBAS_0010vwp0096ra,52.3322,5.02722,A1,170
RWS01_MONIBAS_0010vwp0098ra,52.3322,5.03038,A1,171
RWS01_MONIBAS_0010vwp0099ra,52.3322,5.03269,A1,172
RWS01_MONIBAS_0010vwp0099rb,52.3322,5.03269,A1,173
RWS01_MONIBAS_0010vwp0101ra,52.3321,5.0349,A1,174
RWS01_MONIBAS_0010vwp0104ra,52.3321,5.03898,A1,175
RWS01_MONIBAS_0010vwp0107ra,52.3321,5.04343,A1,176
RWS01_MONIBAS_0010vwp0110ra,52.3317,5.04771,A1,177
RWS01_MONIBAS_0010vwp0112ra,52.3311,5.05064,A1,178
RWS01_MONIBAS_0010vwp0114ra,52.3303,5.05311,A1,179
RWS01_MONIBAS_0010vwp0116ra,52.3295,5.05572,A1,180
RWS01_MONIBAS_0010vwp0119ra,52.3278,5.06069,A1,181
RWS01_MONIBAS_0010vwp0122ra,52.3269,5.06342,A1,182
RWS01_MONIBAS_0010vwp0124ra,52.3261,5.06621,A1,183
RWS01_MONIBAS_0010vwp0126ra,52.3252,5.06919,A1,184
RWS01_MONIBAS_0010vwp0129ra,52.3243,5.07275,A1,185
RWS01_MONIBAS_0010vwp0132ra,52.323,5.07715,A1,186
RWS01_MONIBAS_0010vwp0135ra,52.3213,5.08009,A1,187
RWS01_MONIBAS_0010vwp0138ra,52.3208,5.085,A1,188
RWS01_MONIBAS_0010vwp0140ra,52.3199,5.08791,A1,189
RWS01_MONIBAS_0010vwp0142ra,52.319,5.09122,A1,190
RWS01_MONIBAS_0010vwq0071ra,52.3361,4.99245,A1,191
RWS01_MONIBAS_0010vwq0073ra,52.3348,4.99577,A1,192
RWS01_MONIBAS_0010vwq0076ra,52.3337,4.9995,A1,193
RWS01_MONIBAS_0010vwq0079ra,52.333,5.00315,A1,194
RWS01_MONIBAS_0010vwq0082ra,52.3325,5.00659,A1,195
RWS01_MONIBAS_0010vwq0085ra,52.3324,5.01103,A1,196
RWS01_MONIBAS_0010vwq0089ra,52.3325,5.01717,A1,197
RWS01_MONIBAS_0010vwq0093ra,52.3324,5.0227,A1,198
RWS01_MONIBAS_0010vwq0096ra,52.3322,5.02722,A1,199
RWS01_MONIBAS_0010vwq0098ra,52.3322,5.03039,A1,200
RWS01_MONIBAS_0010vwq0098rb,52.3322,5.03054,A1,201
RWS01_MONIBAS_0010vwq0101ra,52.3321,5.0349,A1,202
RWS01_MONIBAS_0010vwq0104ra,52.3321,5.03898,A1,203
RWS01_MONIBAS_0010vwq0107ra,52.3321,5.04343,A1,204
RWS01_MONIBAS_0010vwq0110ra,52.3317,5.04771,A1,205
RWS01_MONIBAS_0010vwq0112ra,52.3311,5.05064,A1,206
RWS01_MONIBAS_0010vwq0114ra,52.3303,5.05311,A1,207
RWS01_MONIBAS_0010vwq0117ra,52.3289,5.05741,A1,208
RWS01_MONIBAS_0010vwq0119ra,52.3278,5.06069,A1,209
RWS01_MONIBAS_0010vwq0122ra,52.3269,5.06342,A1,210
RWS01_MONIBAS_0010vwq0124ra,52.3261,5.06621,A1,211
RWS01_MONIBAS_0010vwq0126ra,52.3252,5.06919,A1,212
RWS01_MONIBAS_0010vwq0129ra,52.3242,5.07315,A1,213
RWS01_MONIBAS_0010vwq0132ra,52.323,5.07715,A1,214
RWS01_MONIBAS_0010vwq0135ra,52.3225,5.08147,A1,215
RWS01_MONIBAS_0010vwq0138ra,52.3208,5.085,A1,216
RWS01_MONIBAS_0010vwq0140ra,52.3199,5.08791,A1,217
