measurementSiteReference,startLocatieForDisplayLat,startLocatieForDisplayLong,ROADNUMBER,flowID
RWS01_MONIBAS_0041hrl0011ra,52.3382,4.82938,A4,409
RWS01_MONIBAS_0041hrl0011rb,52.3382,4.82938,A4,410
RWS01_MONIBAS_0041hrl0015ra,52.3383,4.82358,A4,411
RWS01_MONIBAS_0041hrl0015rb,52.3383,4.82358,A4,412
RWS01_MONIBAS_0041hrl0020ra,52.3383,4.817,A4,413
RWS01_MONIBAS_0041hrl0024ra,52.3372,4.81101,A4,414
RWS01_MONIBAS_0041hrl0027ra,52.3352,4.80713,A4,415
RWS01_MONIBAS_0041hrl0030ra,52.3335,4.80434,A4,416
RWS01_MONIBAS_0041hrl0036ra,52.3298,4.79805,A4,417
RWS01_MONIBAS_0041hrl0040ra,52.3279,4.79366,A4,418
RWS01_MONIBAS_0041hrl0044ra,52.3264,4.78804,A4,419
RWS01_MONIBAS_0041hrl0052ra,52.3249,4.7768,A4,420
RWS01_MONIBAS_0041hrl0052rb,52.3249,4.7768,A4,421
RWS01_MONIBAS_0041hrl0055ra,52.3243,4.77201,A4,422
RWS01_MONIBAS_0041hrl0055rb,52.3244,4.77271,A4,423
RWS01_MONIBAS_0041hrl0059ra,52.3235,4.76659,A4,424
RWS01_MONIBAS_0041hrl0059rb,52.3236,4.76701,A4,425
RWS01_MONIBAS_0041hrl0063ra,52.3222,4.76165,A4,426
RWS01_MONIBAS_0041hrl0065ra,52.3206,4.75823,A4,427
RWS01_MONIBAS_0041hrl0069ra,52.3185,4.75519,A4,428
RWS01_MONIBAS_0041hrl0070ra,52.3172,4.75379,A4,429
RWS01_MONIBAS_0041hrl0072ra,52.316,4.75277,A4,430
RWS01_MONIBAS_0041hrl0073ra,52.3148,4.75193,A4,431
RWS01_MONIBAS_0041hrl0075ra,52.3135,4.75109,A4,432
RWS01_MONIBAS_0041hrl0076ra,52.3121,4.75021,A4,433
RWS01_MONIBAS_0041hrl0081ra,52.3083,4.74806,A4,434
RWS01_MONIBAS_0041hrl0086ra,52.3041,4.7454,A4,435
RWS01_MONIBAS_0041hrl0089ra,52.3014,4.74368,A4,436
RWS01_MONIBAS_0041hrl0093ra,52.2986,4.74153,A4,437
RWS01_MONIBAS_0041hrl0093rb,52.2982,4.7411,A4,438
RWS01_MONIBAS_0041hrl0096ra,52.2961,4.73837,A4,439
RWS01_MONIBAS_0041hrl0097ra,52.2958,4.73793,A4,440
RWS01_MONIBAS_0041hrl0100ra,52.2936,4.73467,A4,441
RWS01_MONIBAS_0041hrl0103ra,52.2916,4.73189,A4,442
RWS01_MONIBAS_0041hrl0106ra,52.2897,4.72917,A4,443
RWS01_MONIBAS_0041hrl0107ra,52.2886,4.72749,A4,444
RWS01_MONIBAS_0041hrl0107rb,52.2886,4.72749,A4,445
RWS01_MONIBAS_0041hrl0112ra,52.2854,4.72291,A4,446
RWS01_MONIBAS_0041hrl0116ra,52.2828,4.71926,A4,447
RWS01_MONIBAS_0041hrl0121ra,52.2793,4.7142,A4,448
RWS01_MONIBAS_0041hrl0127ra,52.2753,4.70843,A4,449
RWS01_MONIBAS_0041hrl0132ra,52.2719,4.70356,A4,450
RWS01_MONIBAS_0041hrl0137ra,52.2685,4.69876,A4,451
RWS01_MONIBAS_0041hrl0137rb,52.2685,4.69881,A4,452
RWS01_MONIBAS_0041hrl0143ra,52.2643,4.69276,A4,453
RWS01_MONIBAS_0041hrl0147ra,52.2615,4.6886,A4,454
RWS01_MONIBAS_0041hrl0151ra,52.2589,4.6849,A4,455
RWS01_MONIBAS_0041hrr0002ra,52.3385,4.84191,A4,456
RWS01_MONIBAS_0041hrr0005ra,52.3389,4.8386,A4,457
RWS01_MONIBAS_0041hrr0010ra,52.3389,4.8309,A4,458
RWS01_MONIBAS_0041hrr0015ra,52.3389,4.82371,A4,459
RWS01_MONIBAS_0041hrr0018ra,52.3388,4.82007,A4,460
RWS01_MONIBAS_0041hrr0020ra,52.3387,4.81615,A4,461
RWS01_MONIBAS_0041hrr0023ra,52.3379,4.81163,A4,462
RWS01_MONIBAS_0041hrr0027ra,52.3361,4.80752,A4,463
RWS01_MONIBAS_0041hrr0030ra,52.3341,4.80429,A4,464
RWS01_MONIBAS_0041hrr0034ra,52.3317,4.80022,A4,465
RWS01_MONIBAS_0041hrr0037ra,52.3299,4.79712,A4,466
RWS01_MONIBAS_0041hrr0044ra,52.3269,4.78742,A4,467
RWS01_MONIBAS_0041hrr0047ra,52.3261,4.78288,A4,468
RWS01_MONIBAS_0041hrr0052ra,52.3252,4.77674,A4,469
RWS01_MONIBAS_0041hrr0059ra,52.3238,4.76643,A4,470
RWS01_MONIBAS_0041hrr0063ra,52.322,4.76066,A4,471
RWS01_MONIBAS_0041hrr0066ra,52.3207,4.75797,A4,472
RWS01_MONIBAS_0041hrr0069ra,52.3187,4.75495,A4,473
RWS01_MONIBAS_0041hrr0070ra,52.3174,4.75352,A4,474
RWS01_MONIBAS_0041hrr0071ra,52.3167,4.75293,A4,475
RWS01_MONIBAS_0041hrr0073ra,52.3155,4.75198,A4,476
RWS01_MONIBAS_0041hrr0074ra,52.3143,4.7512,A4,477
RWS01_MONIBAS_0041hrr0077ra,52.3116,4.74951,A4,478
RWS01_MONIBAS_0041hrr0081ra,52.3083,4.74781,A4,479
RWS01_MONIBAS_0041hrr0084ra,52.3062,4.74641,A4,480
RWS01_MONIBAS_0041hrr0087ra,52.3036,4.74479,A4,481
RWS01_MONIBAS_0041hrr0090ra,52.3011,4.74325,A4,482
RWS01_MONIBAS_0041hrr0092ra,52.2991,4.74154,A4,483
RWS01_MONIBAS_0041hrr0096ra,52.2965,4.73839,A4,484
RWS01_MONIBAS_0041hrr0099ra,52.2946,4.73566,A4,485
RWS01_MONIBAS_0041hrr0101ra,52.2928,4.73316,A4,486
RWS01_MONIBAS_0041hrr0105ra,52.2905,4.72989,A4,487
RWS01_MONIBAS_0041hrr0107ra,52.2888,4.72738,A4,488
RWS01_MONIBAS_0041hrr0112ra,52.2853,4.72226,A4,489
RWS01_MONIBAS_0041hrr0118ra,52.2812,4.7165,A4,490
RWS01_MONIBAS_0041hrr0121ra,52.2791,4.71345,A4,491
RWS01_MONIBAS_0041hrr0125ra,52.2765,4.70972,A4,492
RWS01_MONIBAS_0041hrr0131ra,52.2727,4.7043,A4,493
RWS01_MONIBAS_0041hrr0136ra,52.2694,4.69953,A4,494
RWS01_MONIBAS_0041hrr0139ra,52.2673,4.69657,A4,495
RWS01_MONIBAS_0041hrr0143ra,52.2646,4.69262,A4,496
RWS01_MONIBAS_0041hrr0147ra,52.2616,4.68833,A4,497
RWS01_MONIBAS_0041hrr0152ra,52.2588,4.6843,A4,498
RWS01_MONIBAS_0050vwc0139ra,52.393,4.77836,A5,499
RWS01_MONIBAS_0050vwe0080ra,52.354,4.73811,A5,500
RWS01_MONIBAS_0050vwe0083ra,52.3537,4.74525,A5,501
RWS01_MONIBAS_0050vwf0086ra,52.36,4.74189,A5,502
RWS01_MONIBAS_0050vwg0074ra,52.3533,4.73777,A5,503
RWS01_MONIBAS_0050vwg0077ra,52.3518,4.73741,A5,504
RWS01_MONIBAS_0050vwg0080ra,52.3538,4.74017,A5,505
RWS01_MONIBAS_0050vwg0083ra,52.3558,4.74296,A5,506
RWS01_MONIBAS_0050vwg0086ra,52.3583,4.74232,A5,507
RWS01_MONIBAS_0050vwg0088ra,52.3594,4.73941,A5,508
RWS01_MONIBAS_0050vwg0091ra,52.36,4.7351,A5,509
RWS01_MONIBAS_0050vwg0094ra,52.3613,4.73228,A5,510
RWS01_MONIBAS_0050vwg0096ra,52.3625,4.73007,A5,511
RWS01_MONIBAS_0050vwk0077ra,52.3572,4.73881,A5,512
RWS01_MONIBAS_0050vwk0081ra,52.3559,4.73842,A5,513
RWS01_MONIBAS_0050vwn0074ra,52.3494,4.73586,A5,514
RWS01_MONIBAS_0050vwn0077ra,52.352,4.73673,A5,515
RWS01_MONIBAS_0050vwn0081ra,52.3558,4.73882,A5,516
RWS01_MONIBAS_0050vwn0086ra,52.3597,4.74212,A5,517
RWS01_MONIBAS_0050vwq0009ra,52.2912,4.72932,A5,518
RWS01_MONIBAS_0050vwq0011ra,52.2934,4.73058,A5,519
RWS01_MONIBAS_0050vwq0014ra,52.2955,4.73096,A5,520
RWS01_MONIBAS_0051hrl0006ra,52.2893,4.72786,A5,521
RWS01_MONIBAS_0051hrl0009ra,52.2911,4.72991,A5,522
RWS01_MONIBAS_0051hrl0011ra,52.2935,4.73112,A5,523
RWS01_MONIBAS_0051hrl0014ra,52.2955,4.73105,A5,524
RWS01_MONIBAS_0051hrl0016ra,52.2981,4.73108,A5,525
RWS01_MONIBAS_0051hrl0019ra,52.3,4.73125,A5,526
RWS01_MONIBAS_0051hrl0021ra,52.3025,4.73147,A5,527
RWS01_MONIBAS_0051hrl0024ra,52.3045,4.73166,A5,528
RWS01_MONIBAS_0051hrl0026ra,52.3068,4.73186,A5,529
RWS01_MONIBAS_0051hrl0030ra,52.3098,4.73214,A5,530
RWS01_MONIBAS_0051hrl0033ra,52.3133,4.73247,A5,531
RWS01_MONIBAS_0051hrl0037ra,52.3161,4.73272,A5,532
RWS01_MONIBAS_0051hrl0039ra,52.3186,4.73295,A5,533
RWS01_MONIBAS_0051hrl0044ra,52.3227,4.73332,A5,534
RWS01_MONIBAS_0051hrl0047ra,52.3251,4.73354,A5,535
RWS01_MONIBAS_0051hrl0050ra,52.328,4.73381,A5,536
RWS01_MONIBAS_0051hrl0056ra,52.3339,4.73436,A5,537
RWS01_MONIBAS_0051hrl0060ra,52.3367,4.73462,A5,538
RWS01_MONIBAS_0051hrl0062ra,52.3394,4.7348,A5,539
RWS01_MONIBAS_0051hrl0066ra,52.3421,4.73505,A5,540
RWS01_MONIBAS_0051hrl0069ra,52.3455,4.73537,A5,541
RWS01_MONIBAS_0051hrl0074ra,52.3493,4.73602,A5,542
RWS01_MONIBAS_0051hrl0077ra,52.3519,4.73693,A5,543
RWS01_MONIBAS_0051hrl0081ra,52.3559,4.73918,A5,544
RWS01_MONIBAS_0051hrl0086ra,52.3596,4.74242,A5,545
RWS01_MONIBAS_0051hrl0092ra,52.3639,4.74783,A5,546
RWS01_MONIBAS_0051hrl0092rb,52.3639,4.74783,A5,547
RWS01_MONIBAS_0051hrl0096ra,52.3664,4.75255,A5,548
RWS01_MONIBAS_0051hrl0099ra,52.3681,4.7563,A5,549
RWS01_MONIBAS_0051hrl0105ra,52.3716,4.76287,A5,550
RWS01_MONIBAS_0051hrl0110ra,52.3754,4.76633,A5,551
RWS01_MONIBAS_0051hrl0116ra,52.3801,4.7677,A5,552
RWS01_MONIBAS_0051hrl0121ra,52.385,4.76773,A5,553
RWS01_MONIBAS_0051hrl0126ra,52.3895,4.7703,A5,554
RWS01_MONIBAS_0051hrl0129ra,52.3914,4.7731,A5,555
RWS01_MONIBAS_0051hrl0134ra,52.3933,4.77967,A5,556
RWS01_MONIBAS_0051hrl0137ra,52.3935,4.78342,A5,557
RWS01_MONIBAS_0051hrl0140ra,52.3935,4.78829,A5,558
RWS01_MONIBAS_0051hrl0143ra,52.3935,4.79304,A5,559
RWS01_MONIBAS_0051hrl0147ra,52.3935,4.79851,A5,560
RWS01_MONIBAS_0051hrl0152ra,52.3931,4.80575,A5,561
RWS01_MONIBAS_0051hrl0157ra,52.3922,4.81235,A5,562
RWS01_MONIBAS_0051hrl0162ra,52.3919,4.82006,A5,563
RWS01_MONIBAS_0051hrl0167ra,52.3919,4.82785,A5,564
RWS01_MONIBAS_0051hrl0173ra,52.3923,4.83604,A5,565
RWS01_MONIBAS_0051hrl0178ra,52.3952,4.84229,A5,566
RWS01_MONIBAS_0051hrl0184ra,52.3998,4.84764,A5,567
RWS01_MONIBAS_0051hrl0187ra,52.4016,4.84988,A5,568
RWS01_MONIBAS_0051hrl0189ra,52.4032,4.85171,A5,569
RWS01_MONIBAS_0051hrr0010ra,52.2927,4.73206,A5,570
RWS01_MONIBAS_0051hrr0014ra,52.2956,4.73129,A5,571
RWS01_MONIBAS_0051hrr0016ra,52.2982,4.7313,A5,572
RWS01_MONIBAS_0051hrr0019ra,52.3001,4.73147,A5,573
RWS01_MONIBAS_0051hrr0021ra,52.3026,4.73169,A5,574
RWS01_MONIBAS_0051hrr0024ra,52.3046,4.73188,A5,575
RWS01_MONIBAS_0051hrr0026ra,52.3068,4.73209,A5,576
RWS01_MONIBAS_0051hrr0030ra,52.31,4.73237,A5,577
RWS01_MONIBAS_0051hrr0033ra,52.3134,4.73269,A5,578
RWS01_MONIBAS_0051hrr0037ra,52.3162,4.73293,A5,579
RWS01_MONIBAS_0051hrr0039ra,52.3187,4.73317,A5,580
RWS01_MONIBAS_0051hrr0044ra,52.3227,4.73355,A5,581
RWS01_MONIBAS_0051hrr0047ra,52.3252,4.73377,A5,582
RWS01_MONIBAS_0051hrr0050ra,52.328,4.73403,A5,583
RWS01_MONIBAS_0051hrr0056ra,52.334,4.73458,A5,584
RWS01_MONIBAS_0051hrr0060ra,52.3368,4.73482,A5,585
RWS01_MONIBAS_0051hrr0062ra,52.3394,4.73504,A5,586
RWS01_MONIBAS_0051hrr0066ra,52.3421,4.73531,A5,587
RWS01_MONIBAS_0051hrr0069ra,52.3455,4.73564,A5,588
RWS01_MONIBAS_0051hrr0074ra,52.3495,4.7363,A5,589
RWS01_MONIBAS_0051hrr0077ra,52.3519,4.73709,A5,590
RWS01_MONIBAS_0051hrr0081ra,52.3559,4.73933,A5,591
RWS01_MONIBAS_0051hrr0086ra,52.3597,4.74274,A5,592
RWS01_MONIBAS_0051hrr0092ra,52.364,4.74844,A5,593
RWS01_MONIBAS_0051hrr0096ra,52.3663,4.75247,A5,594
RWS01_MONIBAS_0051hrr0096rb,52.3663,4.75247,A5,595
RWS01_MONIBAS_0051hrr0099ra,52.368,4.75642,A5,596
RWS01_MONIBAS_0051hrr0105ra,52.3715,4.76299,A5,597
RWS01_MONIBAS_0051hrr0110ra,52.3754,4.76659,A5,598
RWS01_MONIBAS_0051hrr0116ra,52.3802,4.76789,A5,599
RWS01_MONIBAS_0051hrr0121ra,52.385,4.76795,A5,600
RWS01_MONIBAS_0051hrr0127ra,52.3895,4.77055,A5,601
RWS01_MONIBAS_0051hrr0129ra,52.3913,4.77319,A5,602
RWS01_MONIBAS_0051hrr0134ra,52.3932,4.77973,A5,603
RWS01_MONIBAS_0051hrr0137ra,52.3933,4.78376,A5,604
RWS01_MONIBAS_0051hrr0140ra,52.3933,4.7886,A5,605
RWS01_MONIBAS_0051hrr0143ra,52.3933,4.79333,A5,606
RWS01_MONIBAS_0051hrr0147ra,52.3934,4.7988,A5,607
RWS01_MONIBAS_0051hrr0152ra,52.393,4.80604,A5,608
RWS01_MONIBAS_0051hrr0157ra,52.3921,4.81263,A5,609
RWS01_MONIBAS_0051hrr0162ra,52.3918,4.82017,A5,610
RWS01_MONIBAS_0051hrr0167ra,52.3918,4.82785,A5,611
RWS01_MONIBAS_0051hrr0173ra,52.3922,4.83595,A5,612
RWS01_MONIBAS_0051hrr0178ra,52.395,4.84208,A5,613
RWS01_MONIBAS_0051hrr0185ra,52.3997,4.84813,A5,614
RWS01_MONIBAS_0051hrr0187ra,52.4013,4.85004,A5,615
RWS01_MONIBAS_0070vwk0040ra,52.4527,4.84426,A7,616
RWS01_MONIBAS_0080vwd0016ra,52.4275,4.87201,A8,617
RWS01_MONIBAS_0080vwf0010ra,52.4234,4.87434,A8,618
RWS01_MONIBAS_0080vwf0016ra,52.4276,4.87219,A8,619
RWS01_MONIBAS_0080vwq0010ra,52.4229,4.87445,A8,620
RWS01_MONIBAS_0080vwr0049ra,52.4522,4.84558,A8,621
RWS01_MONIBAS_0081hrl0006ra,52.4242,4.88239,A8,622
RWS01_MONIBAS_0081hrl0013ra,52.426,4.87429,A8,623
RWS01_MONIBAS_0081hrl0021ra,52.4316,4.86802,A8,624
RWS01_MONIBAS_0081hrl0021rb,52.4316,4.86802,A8,625
RWS01_MONIBAS_0081hrl0025ra,52.4345,4.86481,A8,626
RWS01_MONIBAS_0081hrl0029ra,52.4372,4.86183,A8,627
RWS01_MONIBAS_0081hrl0032ra,52.4399,4.85888,A8,628
RWS01_MONIBAS_0081hrl0036ra,52.4428,4.85561,A8,629
RWS01_MONIBAS_0081hrl0042ra,52.4473,4.85054,A8,630
RWS01_MONIBAS_0081hrl0046ra,52.4505,4.84706,A8,631
RWS01_MONIBAS_0081hrr0008ra,52.4221,4.87501,A8,632
RWS01_MONIBAS_0081hrr0013ra,52.426,4.87581,A8,633
RWS01_MONIBAS_0081hrr0019ra,52.43,4.87043,A8,634
RWS01_MONIBAS_0081hrr0021ra,52.4317,4.86852,A8,635
RWS01_MONIBAS_0081hrr0026ra,52.4352,4.86453,A8,636
RWS01_MONIBAS_0081hrr0029ra,52.4376,4.8618,A8,637
RWS01_MONIBAS_0081hrr0032ra,52.4399,4.85921,A8,638
RWS01_MONIBAS_0081hrr0036ra,52.443,4.85571,A8,639
RWS01_MONIBAS_0081hrr0042ra,52.4475,4.85064,A8,640
RWS01_MONIBAS_0081hrr0046ra,52.4507,4.84716,A8,641
RWS01_MONIBAS_0081hrr0049ra,52.4521,4.84551,A8,642
RWS01_MONIBAS_0090vwa0071ra,52.3339,4.99969,A9,643
RWS01_MONIBAS_0090vwa0084ra,52.31,4.97681,A9,644
RWS01_MONIBAS_0090vwa0367ra,52.3444,4.7662,A9,645
RWS01_MONIBAS_0090vwa0425ra,52.3811,4.70829,A9,646
RWS01_MONIBAS_0090vwb0093ra,52.3065,4.96652,A9,647
RWS01_MONIBAS_0090vwb0107ra,52.3002,4.94823,A9,648
RWS01_MONIBAS_0090vwb0433ra,52.3883,4.70714,A9,649
RWS01_MONIBAS_0090vwc0077ra,52.3133,4.98711,A9,650
RWS01_MONIBAS_0090vwc0091ra,52.307,4.96941,A9,651
RWS01_MONIBAS_0090vwc0276ra,52.2981,4.86995,A9,652
RWS01_MONIBAS_0090vwc0369ra,52.3454,4.76151,A9,653
RWS01_MONIBAS_0090vwc0433ra,52.3883,4.70654,A9,654
RWS01_MONIBAS_0090vwd0075ra,52.314,4.98925,A9,655
RWS01_MONIBAS_0090vwd0087ra,52.3086,4.97439,A9,656
RWS01_MONIBAS_0090vwd0366ra,52.3435,4.76531,A9,657
RWS01_MONIBAS_0090vwf0502ra,52.4442,4.666,A9,658
RWS01_MONIBAS_0090vwr0339ra,52.3293,4.79916,A9,659
RWS01_MONIBAS_0090vwr0386ra,52.3554,4.74339,A9,660
RWS01_MONIBAS_0090vwr0391ra,52.3596,4.74304,A9,661
RWS01_MONIBAS_0090vws0050ra,52.3323,5.00757,A9,662
RWS01_MONIBAS_0090vws0054ra,52.3285,5.00591,A9,663
RWS01_MONIBAS_0090vws0385ra,52.3611,4.73204,A9,664
RWS01_MONIBAS_0090vws0388ra,52.3546,4.73693,A9,665
RWS01_MONIBAS_0090vws0392ra,52.3579,4.73516,A9,666
RWS01_MONIBAS_0090vws0395ra,52.3603,4.73283,A9,667
RWS01_MONIBAS_0090vwv0381ra,52.3524,4.74878,A9,668
RWS01_MONIBAS_0090vwv0384ra,52.3542,4.74551,A9,669
RWS01_MONIBAS_0090vwv0386ra,52.3554,4.74331,A9,670
RWS01_MONIBAS_0090vwv0391ra,52.3587,4.73846,A9,671
RWS01_MONIBAS_0090vwv0393ra,52.3539,4.74554,A9,672
RWS01_MONIBAS_0090vww0378ra,52.3599,4.7432,A9,673
RWS01_MONIBAS_0090vww0383ra,52.356,4.73981,A9,674
RWS01_MONIBAS_0090vwx0339ra,52.3284,4.79623,A9,675
RWS01_MONIBAS_0090vwx0344ra,52.3313,4.79067,A9,676
RWS01_MONIBAS_0090vwy0340ra,52.3287,4.79479,A9,677
RWS01_MONIBAS_0090vwy0344ra,52.331,4.79034,A9,678
RWS01_MONIBAS_0090vwy0379ra,52.3511,4.75029,A9,679
RWS01_MONIBAS_0090vwy0384ra,52.3539,4.74509,A9,680
RWS01_MONIBAS_0090vwy0390ra,52.3574,4.73848,A9,681
RWS01_MONIBAS_0090vwy0392ra,52.3586,4.73628,A9,682
RWS01_MONIBAS_0090vwy0395ra,52.3604,4.73295,A9,683
RWS01_MONIBAS_0090vwy0401ra,52.3729,4.71035,A9,684
RWS01_MONIBAS_0091hrl0043ra,52.3342,4.99887,A9,685
RWS01_MONIBAS_0091hrl0050ra,52.3325,5.00514,A9,686
RWS01_MONIBAS_0091hrl0054ra,52.3284,5.00568,A9,687
RWS01_MONIBAS_0091hrl0059ra,52.3243,5.00488,A9,688
RWS01_MONIBAS_0091hrl0062ra,52.3216,5.0029,A9,689
RWS01_MONIBAS_0091hrl0066ra,52.3192,4.99986,A9,690
RWS01_MONIBAS_0091hrl0071ra,52.316,4.99387,A9,691
RWS01_MONIBAS_0091hrl0075ra,52.314,4.98905,A9,692
RWS01_MONIBAS_0091hrl0079ra,52.3124,4.98458,A9,693
RWS01_MONIBAS_0091hrl0084ra,52.3101,4.97794,A9,694
RWS01_MONIBAS_0091hrl0089ra,52.3077,4.97081,A9,695
RWS01_MONIBAS_0091hrl0098ra,52.3038,4.95942,A9,696
RWS01_MONIBAS_0091hrl0109ra,52.2989,4.9452,A9,697
RWS01_MONIBAS_0091hrl0227ra,52.286,4.93854,A9,698
RWS01_MONIBAS_0091hrl0230ra,52.2861,4.93402,A9,699
RWS01_MONIBAS_0091hrl0233ra,52.2864,4.92979,A9,700
RWS01_MONIBAS_0091hrl0235ra,52.2867,4.92689,A9,701
RWS01_MONIBAS_0091hrl0241ra,52.2878,4.91787,A9,702
RWS01_MONIBAS_0091hrl0247ra,52.2895,4.90922,A9,703
RWS01_MONIBAS_0091hrl0253ra,52.2916,4.90095,A9,704
RWS01_MONIBAS_0091hrl0259ra,52.294,4.89312,A9,705
RWS01_MONIBAS_0091hrl0262ra,52.2952,4.88856,A9,706
RWS01_MONIBAS_0091hrl0267ra,52.2962,4.88222,A9,707
RWS01_MONIBAS_0091hrl0272ra,52.2972,4.87467,A9,708
RWS01_MONIBAS_0091hrl0278ra,52.2989,4.86682,A9,709
RWS01_MONIBAS_0091hrl0280ra,52.2995,4.86424,A9,710
RWS01_MONIBAS_0091hrl0282ra,52.3002,4.86127,A9,711
RWS01_MONIBAS_0091hrl0287ra,52.3017,4.8551,A9,712
RWS01_MONIBAS_0091hrl0291ra,52.3036,4.8493,A9,713
RWS01_MONIBAS_0091hrl0297ra,52.3048,4.84153,A9,714
RWS01_MONIBAS_0091hrl0302ra,52.3062,4.83315,A9,715
RWS01_MONIBAS_0091hrl0307ra,52.3076,4.82705,A9,716
RWS01_MONIBAS_0091hrl0313ra,52.3105,4.8193,A9,717
RWS01_MONIBAS_0091hrl0318ra,52.3137,4.81412,A9,718
RWS01_MONIBAS_0091hrl0322ra,52.3164,4.8109,A9,719
RWS01_MONIBAS_0091hrl0326ra,52.3197,4.80791,A9,720
RWS01_MONIBAS_0091hrl0326rb,52.3197,4.80791,A9,721
RWS01_MONIBAS_0091hrl0328ra,52.3211,4.80667,A9,722
RWS01_MONIBAS_0091hrl0328rb,52.3211,4.80667,A9,723
RWS01_MONIBAS_0091hrl0330ra,52.3228,4.80473,A9,724
RWS01_MONIBAS_0091hrl0340ra,52.3292,4.79406,A9,725
RWS01_MONIBAS_0091hrl0343ra,52.3311,4.79047,A9,726
RWS01_MONIBAS_0091hrl0346ra,52.3325,4.78786,A9,727
RWS01_MONIBAS_0091hrl0346rb,52.3325,4.78786,A9,728
RWS01_MONIBAS_0091hrl0350ra,52.3347,4.78358,A9,729
RWS01_MONIBAS_0091hrl0353ra,52.3364,4.78044,A9,730
RWS01_MONIBAS_0091hrl0356ra,52.3384,4.77667,A9,731
RWS01_MONIBAS_0091hrl0362ra,52.3414,4.77008,A9,732
RWS01_MONIBAS_0091hrl0367ra,52.3441,4.76421,A9,733
RWS01_MONIBAS_0091hrl0370ra,52.346,4.76039,A9,734
RWS01_MONIBAS_0091hrl0374ra,52.3483,4.75576,A9,735
RWS01_MONIBAS_0091hrl0379ra,52.3512,4.75041,A9,736
RWS01_MONIBAS_0091hrl0384ra,52.354,4.74523,A9,737
RWS01_MONIBAS_0091hrl0390ra,52.3576,4.73862,A9,738
RWS01_MONIBAS_0091hrl0392ra,52.3588,4.73642,A9,739
RWS01_MONIBAS_0091hrl0395ra,52.3605,4.73311,A9,740
RWS01_MONIBAS_0091hrl0398ra,52.3623,4.7298,A9,741
RWS01_MONIBAS_0091hrl0402ra,52.3647,4.7254,A9,742
RWS01_MONIBAS_0091hrl0405ra,52.3666,4.72183,A9,743
RWS01_MONIBAS_0091hrl0409ra,52.3689,4.71761,A9,744
RWS01_MONIBAS_0091hrl0411ra,52.37,4.71534,A9,745
RWS01_MONIBAS_0091hrl0414ra,52.3718,4.71218,A9,746
RWS01_MONIBAS_0091hrl0418ra,52.3755,4.70877,A9,747
RWS01_MONIBAS_0091hrl0418rb,52.3755,4.70877,A9,748
RWS01_MONIBAS_0091hrl0420ra,52.3773,4.70844,A9,749
RWS01_MONIBAS_0091hrl0425ra,52.3811,4.70788,A9,750
RWS01_MONIBAS_0091hrl0429ra,52.3854,4.70716,A9,751
RWS01_MONIBAS_0091hrl0433ra,52.3883,4.70671,A9,752
RWS01_MONIBAS_0091hrl0437ra,52.392,4.70614,A9,753
RWS01_MONIBAS_0091hrl0443ra,52.3974,4.70526,A9,754
RWS01_MONIBAS_0091hrl0448ra,52.402,4.70449,A9,755
RWS01_MONIBAS_0091hrl0453ra,52.4059,4.70303,A9,756
RWS01_MONIBAS_0091hrl0456ra,52.4085,4.70167,A9,757
RWS01_MONIBAS_0091hrl0458ra,52.4111,4.70032,A9,758
RWS01_MONIBAS_0091hrl0462ra,52.4136,4.69895,A9,759
RWS01_MONIBAS_0091hrl0467ra,52.4177,4.69604,A9,760
RWS01_MONIBAS_0091hrl0471ra,52.4206,4.69257,A9,761
RWS01_MONIBAS_0091hrl0473ra,52.422,4.69025,A9,762
RWS01_MONIBAS_0091hrl0476ra,52.4238,4.68702,A9,763
RWS01_MONIBAS_0091hrl0478ra,52.4256,4.68405,A9,764
RWS01_MONIBAS_0091hrl0481ra,52.4277,4.68124,A9,765
RWS01_MONIBAS_0091hrl0484ra,52.4299,4.67881,A9,766
RWS01_MONIBAS_0091hrl0488ra,52.4328,4.67581,A9,767
RWS01_MONIBAS_0091hrl0490ra,52.4341,4.67445,A9,768
RWS01_MONIBAS_0091hrl0493ra,52.436,4.67248,A9,769
RWS01_MONIBAS_0091hrl0496ra,52.4388,4.6698,A9,770
RWS01_MONIBAS_0091hrl0500ra,52.4421,4.66773,A9,771
RWS01_MONIBAS_0091hrl0504ra,52.4453,4.6669,A9,772
RWS01_MONIBAS_0091hrl0509ra,52.4498,4.66725,A9,773
RWS01_MONIBAS_0091hrl0512ra,52.4524,4.66824,A9,774
RWS01_MONIBAS_0091hrr0059ra,52.3244,5.0047,A9,775
RWS01_MONIBAS_0091hrr0065ra,52.3201,5.00083,A9,776
RWS01_MONIBAS_0091hrr0068ra,52.3181,4.99759,A9,777
RWS01_MONIBAS_0091hrr0071ra,52.3161,4.99376,A9,778
RWS01_MONIBAS_0091hrr0075ra,52.3141,4.98891,A9,779
RWS01_MONIBAS_0091hrr0080ra,52.312,4.98298,A9,780
RWS01_MONIBAS_0091hrr0084ra,52.3103,4.97789,A9,781
RWS01_MONIBAS_0091hrr0089ra,52.3079,4.97089,A9,782
RWS01_MONIBAS_0091hrr0103ra,52.3019,4.95333,A9,783
RWS01_MONIBAS_0091hrr0110ra,52.2988,4.94374,A9,784
RWS01_MONIBAS_0091hrr0112ra,52.299,4.94093,A9,785
RWS01_MONIBAS_0091hrr0117ra,52.2974,4.93587,A9,786
