flowID,date,avg_flow,week_day,ref_flowID_dayWeek,ref_flowID_dayWeek_hourDay,dif_flowID_dayWeek,dif_flowID_dayWeek_hourDay
66,2016-07-18-18,664.06779661017,Monday,262.10886981159,747.229022292728,401.95892679858,-83.1612256825583
66,2016-07-18-19,235.789473684211,Monday,262.10886981159,256.046172143224,-26.3193961273794,-20.2566984590139
66,2016-07-18-20,159.428571428571,Monday,262.10886981159,155.150226967097,-102.680298383019,4.27834446147432
66,2016-07-18-21,123.75,Monday,262.10886981159,138.242243051067,-138.35886981159,-14.4922430510666
66,2016-07-18-22,122.448979591837,Monday,262.10886981159,126.463547632492,-139.659890219753,-4.01456804065499
66,2016-07-18-23,104.117647058824,Monday,262.10886981159,108.659475214875,-157.991222752766,-4.54182815605138
72,2016-07-18-16,828.387096774194,Monday,421.196820089413,879.626728110599,407.190276684781,-51.2396313364055
72,2016-07-18-17,995,Monday,421.196820089413,1150.05084745763,573.803179910588,-155.050847457627
72,2016-07-18-18,803,Monday,421.196820089413,855,381.803179910587,-52
72,2016-07-18-19,458.64406779661,Monday,421.196820089413,512.575403932807,37.4472477071976,-53.9313361361965
72,2016-07-18-20,403.90243902439,Monday,421.196820089413,373.178655091636,-17.2943810650224,30.7237839327545
72,2016-07-18-21,297.391304347826,Monday,421.196820089413,331.092721193883,-123.805515741587,-33.7014168460564
72,2016-07-18-22,270.508474576271,Monday,421.196820089413,273.604742422977,-150.688345513141,-3.09626784670621
72,2016-07-18-23,187.5,Monday,421.196820089413,200.093660091617,-233.696820089413,-12.5936600916167
78,2016-07-18-16,378.620689655172,Monday,178.39215997374,447.720490589419,200.228529681432,-69.0998009342467
78,2016-07-18-17,660,Monday,178.39215997374,864.428571428572,481.60784002626,-204.428571428571
78,2016-07-18-18,434.181818181818,Monday,178.39215997374,475.238597162117,255.789658208078,-41.056778980299
78,2016-07-18-19,121.395348837209,Monday,178.39215997374,150.487159917393,-56.9968111365307,-29.0918110801832
78,2016-07-18-20,110.769230769231,Monday,178.39215997374,102.638826322056,-67.6229292045092,8.13040444717464
78,2016-07-18-21,80,Monday,178.39215997374,86.7522275022275,-98.39215997374,-6.7522275022275
78,2016-07-18-22,77.5,Monday,178.39215997374,76.2847838660196,-100.89215997374,1.21521613398043
78,2016-07-18-23,76,Monday,178.39215997374,75.8557384644341,-102.39215997374,0.144261535565889
84,2016-07-18-16,1006.45161290323,Monday,496.872889514047,1059.77880184332,509.578723389179,-53.3271889400921
