flowID,avg_flow,ref_flowID_dayWeek,ref_flowID_dayWeek_hourDay,dif_flowID_dayWeek,dif_flowID_dayWeek_hourDay,dateID
30,60,262.440345882538,62.1428571428571,-202.440345882538,-2.14285714285714,752
30,67.0588235294118,262.440345882538,67.0772058823529,-195.381522353126,-0.018382352941174,725
30,145.116279069767,262.440345882538,171.901993355482,-117.32406681277,-26.7857142857143,726
30,492.631578947368,262.440345882538,639.228367528992,230.191233064831,-146.596788581624,727
30,744,262.440345882538,838.744350282486,481.559654117462,-94.7443502824858,728
30,484.705882352941,262.440345882538,458.34835530729,222.265536470404,26.3575270456514,729
30,357.5,262.440345882538,350.189061054579,95.0596541174625,7.3109389454209,730
30,433.333333333333,262.440345882538,347.22181372549,170.892987450796,86.1115196078432,731
30,343.636363636364,262.440345882538,351.705659536542,81.1960177538261,-8.06929590017825,732
30,361.176470588235,262.440345882538,323.330172068828,98.7361247056978,37.8462985194078,733
